Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
2,1,96,Luke,Joeckel,OT,"6'6""",306,Texas A&M,Jacksonville
1,2,96,Eric,Fisher  ,OT,"6'7¼""",306,Central Michigan,Kansas City
14,3,95,Star,Lotulelei  ,DT,"6'2½""",311,Utah,Carolina
9,4,95,Dee,Milliner,CB,"5'11?""",201,Alabama,NY Jets
23,5,95,Sharrif,Floyd,DT,"6'2?""",297,Florida,Minnesota
3,6,95,Dion,Jordan  ,OLB,"6'6¼""",248,Oregon,Miami
4,7,95,Lane,Johnson  ,OT,"6'6""",303,Oklahoma,Philadelphia
5,8,95,Ezekiel,Ansah  ,DE,"6'5¼""",271,BYU,Detroit
10,9,95,Chance,Warmack  ,OG,"6'2""",317,Alabama,Tennessee
7,10,94,Jonathan,Cooper  ,OG,"6'2?""",311,North Carolina,Arizona
6,11,93,Barkevious,Mingo,DE,"6'4¼""",241,LSU,Cleveland
8,12,93,Tavon,Austin  ,WR,"5'8½""",174,West Virginia,Los Angeles
21,13,93,Tyler,Eifert  ,TE,"6'5½""",250,Notre Dame,Cincinnati
13,14,93,Sheldon,Richardson,DT,"6'2½""",294,Missouri,NY Jets
15,15,93,Kenny,Vaccaro  ,S,"6'0""",214,Texas,New Orleans
11,16,92,D.J.,Fluker,OT,"6'4?""",339,Alabama,Los Angeles
,17,92,DJ,Hayden  ,CB,"5'11?""",191,Houston,
28,18,92,Sylvester,Williams  ,DT,"6'2?""",313,North Carolina,Denver
30,19,92,Alec,Ogletree,ILB,"6'2½""",242,Georgia,Los Angeles
17,20,91,Jarvis,Jones,OLB,"6'2?""",245,Georgia,Pittsburgh
38,21,91,Manti,Te'o  ,ILB,"6'1¼""",241,Notre Dame,Los Angeles
19,22,91,Justin,Pugh  ,OT,"6'4½""",307,Syracuse,NY Giants
24,23,90,Bjoern,Werner,DE,"6'3¼""",266,Florida State,Indianapolis
26,24,90,Datone,Jones  ,DE,"6'3?""",283,UCLA,Green Bay
34,25,90,Justin,Hunter,WR,"6'4""",196,Tennessee,Tennessee
20,26,89,Kyle,Long  ,OG,"6'6?""",313,Oregon,Chicago
32,27,89,Matt,Elam,S,"5'9?""",208,Florida,Baltimore
39,28,89,Geno,Smith  ,QB,"6'2?""",218,West Virginia,NY Jets
29,29,89,Cordarrelle,Patterson,WR,"6'1?""",216,Tennessee,Minnesota
42,30,89,Menelik,Watson,OT,"6'5?""",310,Florida State,Las Vegas
40,31,89,Cornellius,(Tank) Carradine ,DE,"6'4?""",276,Florida State,San Francisco
41,32,88,Robert,Woods,WR,"6'0?""",201,USC,Buffalo
22,33,88,Desmond,Trufant  ,CB,"5'11?""",190,Washington,Atlanta
61,34,88,Eddie,Lacy,RB,"5'11""",231,Alabama,Green Bay
35,35,88,Zach,Ertz,TE,"6'5""",249,Stanford,Philadelphia
110,36,88,Ryan,Nassib  ,QB,"6'2?""",227,Syracuse,NY Giants
33,37,88,Johnathan,Cyprien  ,S,"6'0¼""",217,Florida International,Jacksonville
76,38,88,Keenan,Allen,WR,"6'2""",206,California,Los Angeles
82,39,88,John,Jenkins  ,DT,"6'3?""",346,Georgia,New Orleans
25,40,87,Xavier,Rhodes,CB,"6'1½""",210,Florida State,Minnesota
18,41,87,Eric,Reid,S,"6'1¼""",213,LSU,San Francisco
53,42,87,Margus,Hunt  ,DE,"6'8?""",277,SMU,Cincinnati
98,43,87,Matt,Barkley  ,QB,"6'2½""",227,USC,Philadelphia
57,44,86,D.J.,Swearinger  ,S,"5'10½""",208,South Carolina,Houston
54,45,86,Jamar,Taylor  ,CB,"5'10?""",192,Boise State,Miami
45,46,86,Kevin,Minter,ILB,"5'11¾""",246,LSU,Arizona
27,47,86,DeAndre,Hopkins,WR,"6'1""",214,Clemson,Houston
