Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
4,1,97,Aaron,Curry  ,OLB,"6'1?""",254,Wake Forest,Seattle
2,2,97,Jason,Smith  ,OT,"6'5""",309,Baylor,Los Angeles
10,3,96,Michael,Crabtree  ,WR,"6'1?""",215,Texas Tech,San Francisco
9,4,96,B.J.,Raji  ,DT,"6'1½""",337,Boston College,Green Bay
8,5,96,Eugene,Monroe  ,OT,"6'5¼""",309,Virginia,Jacksonville
11,6,96,Aaron,Maybin,DE,"6'3¾""",249,Penn State,Buffalo
1,7,96,Matthew,Stafford  ,QB,"6'2¼""",225,Georgia,Detroit
5,8,95,Mark,Sanchez  ,QB,"6'2?""",227,USC,NY Jets
13,9,95,Brian,Orakpo  ,DE,"6'3""",263,Texas,Washington
6,10,95,Andre,Smith  ,OT,"6'4""",332,Alabama,Cincinnati
19,11,95,Jeremy,Maclin  ,WR,"6'0?""",198,Missouri,Philadelphia
12,12,94,Knowshon,Moreno  ,RB,"5'10?""",217,Georgia,Denver
14,13,94,Malcolm,Jenkins  ,CB,"6'0?""",204,Ohio State,New Orleans
3,14,94,Tyson,Jackson  ,DE,"6'4?""",296,LSU,Kansas City
18,15,93,Robert,Ayers  ,DE,"6'3?""",272,Tennessee,Denver
31,16,93,Chris,Wells,RB,"6'1""",235,Ohio State,Arizona
20,17,93,Brandon,Pettigrew  ,TE,"6'5?""",263,Oklahoma State,Detroit
43,18,92,Everette,Brown  ,DE,"6'1½""",256,Florida State,Carolina
15,19,92,Brian,Cushing  ,OLB,"6'2?""",243,USC,Houston
23,20,92,Michael,Oher  ,OT,"6'4½""",309,Ole Miss,Baltimore
26,21,91,Clay,Matthews  ,OLB,"6'3?""",240,USC,Green Bay
29,22,91,Hakeem,Nicks  ,WR,"6'0¾""",212,North Carolina,NY Giants
24,23,91,Peria,Jerry  ,DT,"6'1¾""",299,Ole Miss,Atlanta
38,24,91,Rey,Maualuga  ,ILB,"6'1¾""",249,USC,Cincinnati
7,25,90,Darrius,Heyward-Bey  ,WR,"6'0?""",210,Maryland,Las Vegas
25,26,90,Vontae,Davis  ,CB,"5'11?""",203,Illinois,Miami
22,27,89,Percy,Harvin  ,WR,"5'11?""",192,Florida,Minnesota
16,28,89,Larry,English  ,DE,"6'2?""",255,Northern Illinois,Los Angeles
33,29,89,Louis,Delmas  ,S,"5'11?""",202,Western Michigan,Detroit
27,30,89,Donald,Brown  ,RB,"5'10¼""",210,UConn,Indianapolis
39,31,89,Eben,Britton  ,OT,"6'6""",309,Arizona,Jacksonville
35,32,89,James,Laurinaitis  ,ILB,"6'1?""",244,Ohio State,Los Angeles
37,33,89,Alphonso,Smith  ,CB,"5'9""",193,Wake Forest,Denver
30,34,88,Kenny,Britt  ,WR,"6'2?""",218,Rutgers,Tennessee
41,35,88,Darius,Butler  ,CB,"5'10?""",183,UConn,New England
57,36,88,Paul,Kruger  ,OLB,"6'4¼""",263,Utah,Baltimore
53,37,88,LeSean,McCoy  ,RB,"5'10?""",198,Pittsburgh,Philadelphia
119,38,87,D.J.,Moore  ,CB,"5'8?""",192,Vanderbilt,Chicago
21,39,87,Alex,Mack  ,C,"6'3?""",311,California,Cleveland
45,40,87,Clint,Sintim  ,OLB,"6'2¾""",256,Virginia,NY Giants
28,41,86,Eric,Wood  ,C,"6'3?""",310,Louisville,Buffalo
32,42,86,Evander,Hood  ,DT,"6'2?""",300,Missouri,Pittsburgh
95,43,86,Rashad,Johnson  ,S,"5'11¼""",203,Alabama,Arizona
153,44,86,Cornelius,Ingram  ,TE,"6'3?""",245,Florida,Philadelphia
49,45,85,Max,Unger  ,C,"6'4?""",309,Oregon,Seattle
17,46,85,Josh,Freeman  ,QB,"6'5¾""",248,Kansas State,Tampa Bay
46,47,85,Connor,Barwin  ,DE,"6'3?""",256,Cincinnati,Houston
60,48,85,Will,Beatty  ,OT,"6'6""",307,UConn,NY Giants
125,49,84,Lawrence,Sidbury  ,DE,"6'2?""",266,Richmond,Atlanta
121,50,84,Shawn,Nelson  ,TE,"6'5""",240,Southern Mississippi,Buffalo
89,51,83,Jared,Cook  ,TE,"6'4¾""",246,South Carolina,Tennessee
70,52,83,Michael,Johnson  ,DE,"6'6?""",266,Georgia Tech,Cincinnati
50,53,83,Mohamed,Massaquoi  ,WR,"6'1½""",210,Georgia,Cleveland
61,54,82,Sean,Smith  ,CB,"6'3½""",214,Utah,Miami
51,55,82,Andy,Levitre  ,OG,"6'2?""",305,Oregon State,Buffalo
40,56,81,Ron,Brace  ,DT,"6'3""",330,Boston College,New England
55,57,81,William,Moore  ,S,"6'0?""",221,Missouri,Atlanta
42,58,81,Jairus,Byrd  ,CB,"5'10?""",207,Oregon,Buffalo
54,59,80,Phil,Loadholt  ,OT,"6'7¾""",332,Oklahoma,Minnesota
68,60,80,Jarron,Gilbert  ,DT,"6'5¼""",288,San Jose State,Chicago
59,61,79,Sherrod,Martin  ,CB,"6'1""",198,Troy,Carolina
34,62,79,Patrick,Chung  ,S,"5'11¼""",212,Oregon,New England
