Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
1,1,98,Jadeveon,Clowney,DE,"6'5¼""",266,South Carolina,Houston
2,2,97,Greg,Robinson,OT,"6'5""",332,Auburn,Los Angeles
5,3,96,Khalil,Mack  ,OLB,"6'2?""",251,Buffalo,Las Vegas
4,4,96,Sammy,Watkins,WR,"6'0¾""",211,Clemson,Buffalo
6,5,95,Jake,Matthews  ,OT,"6'5½""",308,Texas A&M,Atlanta
13,6,94,Aaron,Donald  ,DT,"6'0¾""",285,Pittsburgh,Los Angeles
7,7,94,Mike,Evans,WR,"6'4¾""",231,Texas A&M,Tampa Bay
11,8,94,Taylor,Lewan  ,OT,"6'7?""",309,Michigan,Tennessee
16,9,93,Zack,Martin  ,OT,"6'4¼""",308,Notre Dame,Dallas
12,10,93,Odell,Beckham Jr.,WR,"5'11¼""",198,LSU,NY Giants
10,11,92,Eric,Ebron,TE,"6'4?""",250,North Carolina,Detroit
24,12,92,Darqueze,Dennard  ,CB,"5'10?""",199,Michigan State,Cincinnati
21,13,92,Ha,Ha Clinton-Dix ,S,"6'1?""",208,Alabama,Green Bay
17,14,92,C.J.,Mosley  ,ILB,"6'2""",234,Alabama,Baltimore
14,15,92,Kyle,Fuller  ,CB,"5'11¾""",190,Virginia Tech,Chicago
66,16,92,Morgan,Moses  ,OT,"6'6""",314,Virginia,Washington
15,17,92,Ryan,Shazier,OLB,"6'1?""",237,Ohio State,Pittsburgh
3,18,91,Blake,Bortles,QB,"6'5""",232,UCF,Jacksonville
20,19,91,Brandin,Cooks,WR,"5'9¾""",189,Oregon State,New Orleans
8,20,91,Justin,Gilbert  ,CB,"6'0?""",202,Oklahoma State,Cleveland
18,21,91,Calvin,Pryor,S,"5'11?""",207,Louisville,NY Jets
22,22,90,Johnny,Manziel,QB,"5'11¾""",207,Texas A&M,Cleveland
25,23,90,Jason,Verrett  ,CB,"5'9½""",189,TCU,Los Angeles
39,24,90,Marqise,Lee,WR,"5'11¾""",192,USC,Jacksonville
9,25,90,Anthony,Barr  ,OLB,"6'4?""",255,UCLA,Minnesota
31,26,89,Bradley,Roby,CB,"5'11¼""",194,Ohio State,Denver
46,27,89,Stephon,Tuitt,DE,"6'5½""",304,Notre Dame,Pittsburgh
32,28,89,Teddy,Bridgewater,QB,"6'2?""",214,Louisville,Minnesota
23,29,89,Dee,Ford  ,DE,"6'2?""",244,Auburn,Kansas City
50,30,89,Jeremiah,Attaochu  ,OLB,"6'3¼""",252,Georgia Tech,Los Angeles
35,31,89,Joel,Bitonio  ,OT,"6'4¼""",302,Nevada,Cleveland
44,32,88,Cyrus,Kouandjio,OT,"6'6¾""",322,Alabama,Buffalo
57,33,88,Carlos,Hyde  ,RB,"5'11?""",230,Ohio State,San Francisco
33,34,88,Xavier,Su'a-Filo,OG,"6'4?""",307,UCLA,Houston
56,35,88,Cody,Latimer,WR,"6'2½""",215,Indiana,Denver
83,36,88,Louis,Nix III ,DT,"6'2?""",331,Notre Dame,Houston
70,37,87,Marcus,Martin,C,"6'3?""",320,USC,San Francisco
60,38,87,Kony,Ealy,DE,"6'4""",273,Missouri,Carolina
48,39,87,Timmy,Jernigan,DT,"6'1?""",299,Florida State,Baltimore
58,40,86,Stan,Jean-Baptiste  ,CB,"6'2?""",218,Nebraska,New Orleans
37,41,86,Ra'Shede,Hageman  ,DT,"6'5?""",310,Minnesota,Atlanta
27,42,86,Deone,Bucannon  ,S,"6'1""",211,Washington State,Arizona
34,43,86,Demarcus,Lawrence,OLB,"6'2?""",251,Boise State,Dallas
53,44,85,Davante,Adams,WR,"6'0?""",212,Fresno State,Green Bay
54,45,85,Bishop,Sankey,RB,"5'9½""",209,Washington,Tennessee
30,46,84,Jimmie,Ward  ,S,"5'10?""",193,Northern Illinois,San Francisco
49,47,84,Jace,Amaro,TE,"6'5?""",265,Texas Tech,NY Jets
63,48,84,Jarvis,Landry,WR,"5'11½""",205,LSU,Miami
42,49,83,Jordan,Matthews  ,WR,"6'3?""",212,Vanderbilt,Philadelphia
62,50,82,Jimmy,Garoppolo  ,QB,"6'2¼""",226,Eastern Illinois,New England
38,51,81,Austin,Seferian-Jenkins,TE,"6'5½""",262,Washington,Tampa Bay
72,52,80,Scott,Crichton,DE,"6'2?""",273,Oregon State,Minnesota
41,53,80,Lamarcus,Joyner  ,CB,"5'8""",184,Florida State,Los Angeles
40,54,80,Kyle,Van Noy ,OLB,"6'3?""",243,BYU,Detroit
19,55,80,Ja'Wuan,James  ,OT,"6'6""",311,Tennessee,Miami
79,56,80,Terrence,Brooks  ,S,"5'10?""",198,Florida State,Baltimore
55,57,79,Jeremy,Hill,RB,"6'0?""",233,LSU,Cincinnati
106,58,79,Bruce,Ellington,WR,"5'9?""",197,South Carolina,San Francisco
52,59,79,Troy,Niklas,TE,"6'6½""",270,Notre Dame,Arizona
164,60,78,AJ,McCarron  ,QB,"6'3¼""",220,Alabama,Cincinnati
75,61,78,Tre,Mason,RB,"5'8½""",207,Auburn,Los Angeles
61,62,78,Allen,Robinson,WR,"6'2?""",220,Penn State,Jacksonville
43,63,77,Weston,Richburg  ,C,"6'3?""",298,Colorado State,NY Giants
29,64,77,Dominique,Easley  ,DT,"6'1¾""",288,Florida,New England
92,65,76,Trai,Turner,OG,"6'2?""",310,LSU,Carolina
118,66,76,Martavis,Bryant,WR,"6'3¾""",211,Clemson,Pittsburgh
134,67,76,Brent,Urban  ,DT,"6'6?""",295,Virginia,Baltimore
135,68,75,Tom,Savage  ,QB,"6'3?""",228,Pittsburgh,Houston
28,69,75,Kelvin,Benjamin,WR,"6'5""",240,Florida State,Carolina
102,70,75,Bashaud,Breeland,CB,"5'11?""",197,Clemson,Washington
45,71,74,Paul,Richardson,WR,"6'0?""",175,Colorado,Seattle
116,72,73,Keith,McGill  ,CB,"6'3?""",211,Utah,Las Vegas
81,73,73,Gabe,Jackson  ,OG,"6'3¼""",336,Mississippi State,Las Vegas
59,74,73,Jack,Mewhort  ,OT,"6'6""",309,Ohio State,Indianapolis
127,75,72,Pierre,Desir  ,CB,"6'1""",198,Lindenwood,Cleveland
65,76,72,C.J.,Fiedorowicz  ,TE,"6'5½""",265,Iowa,Houston
103,77,71,Devonta,Freeman,RB,"5'8¼""",206,Florida State,Atlanta
112,78,71,DaQuan,Jones  ,DT,"6'3¾""",322,Penn State,Tennessee
77,79,70,Chris,Borland  ,ILB,"5'11½""",248,Wisconsin,San Francisco
26,80,70,Marcus,Smith  ,DE,"6'3?""",251,Louisville,Philadelphia
87,81,71,Phillip,Gaines  ,CB,"6'0?""",193,Rice,Kansas City
84,82,71,Kareem,Martin  ,DE,"6'5?""",272,North Carolina,Arizona
100,83,70,Brandon,Thomas,OG,"6'3¼""",317,Clemson,San Francisco
158,84,70,Caraun,Reid  ,DT,"6'2?""",302,Princeton,Detroit
101,85,70,Jaylen,Watkins  ,CB,"5'11½""",194,Florida,Philadelphia
69,86,70,Charles,Sims  ,RB,"6'0""",214,West Virginia,Tampa Bay
160,87,69,Ed,Stinson  ,DE,"6'3¼""",287,Alabama,Arizona
114,88,69,Aaron,Colvin  ,CB,"5'11?""",177,Oklahoma,Jacksonville
,89,69,Brandon,Coleman  ,WR,"6'6""",225,Rutgers,
111,90,69,Russell,Bodine,C,"6'3?""",310,North Carolina,Cincinnati
47,91,69,Trent,Murphy  ,OLB,"6'5?""",250,Stanford,Washington
51,92,69,Ego,Ferguson,DT,"6'2?""",315,LSU,Chicago
113,93,69,Andre,Williams  ,RB,"5'11?""",230,Boston College,NY Giants
144,94,68,Telvin,Smith  ,OLB,"6'3""",218,Florida State,Jacksonville
36,95,68,Derek,Carr  ,QB,"6'2?""",214,Fresno State,Las Vegas
94,96,68,Terrance,West,RB,"5'9¼""",225,Towson,Cleveland
129,97,68,Dontae,Johnson  ,CB,"6'2?""",200,NC State,San Francisco
97,98,68,Dri,Archer  ,RB,"5'7¾""",173,Kent State,Pittsburgh
90,99,68,Donte,Moncrief,WR,"6'2?""",221,Ole Miss,Indianapolis
131,100,67,Brock,Vereen  ,S,"5'11?""",199,Minnesota,Chicago
,101,67,Marcus,Roberson,CB,"6'0¼""",191,Florida,
,102,67,Antonio,Richardson,OT,"6'5¾""",336,Tennessee,
185,103,67,Robert,Herron  ,WR,"5'9?""",193,Wyoming,Tampa Bay
,104,67,Adrian,Hubbard,OLB,"6'6""",257,Alabama,
175,105,67,John,Urschel  ,OG,"6'3""",313,Penn State,Baltimore
,106,67,Jackson,Jeffcoat  ,DE,"6'3""",247,Texas,
220,107,67,Shamar,Stephen  ,DT,"6'4?""",309,UConn,Minnesota
122,108,66,Marqueston,Huff  ,CB,"5'11?""",196,Wyoming,Tennessee
123,109,66,Kevin,Norwood  ,WR,"6'2""",198,Alabama,Seattle
107,110,66,Justin,Ellis  ,DT,"6'1½""",334,Louisiana Tech,Las Vegas
,111,66,Christian,Jones  ,OLB,"6'3?""",240,Florida State,
159,112,65,Chris,Smith  ,DE,"6'1""",266,Arkansas,Jacksonville
73,113,65,Preston,Brown  ,ILB,"6'1¼""",251,Louisville,Buffalo
124,114,65,De'Anthony,Thomas,RB,"5'8?""",174,Oregon,Kansas City
182,115,65,Antone,Exum  ,CB,"5'11?""",213,Virginia Tech,Minnesota
,116,65,Kelcy,Quarles,DT,"6'3¾""",297,South Carolina,
141,117,64,Taylor,Hart  ,DE,"6'6?""",281,Oregon,Philadelphia
153,118,64,Cyril,Richardson  ,OG,"6'4¾""",329,Baylor,Buffalo
