Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
3,1,98,Gerald,McCoy  ,DT,"6'4?""",295,Oklahoma,Tampa Bay
2,2,97,Ndamukong,Suh  ,DT,"6'3?""",307,Nebraska,Detroit
1,3,97,Sam,Bradford  ,QB,"6'4¼""",236,Oklahoma,Los Angeles
5,4,97,Eric,Berry  ,S,"5'11?""",211,Tennessee,Kansas City
6,5,96,Russell,Okung  ,OT,"6'5¼""",307,Oklahoma State,Seattle
4,6,95,Trent,Williams  ,OT,"6'4?""",315,Oklahoma,Washington
9,7,95,C.J.,Spiller  ,RB,"5'10?""",196,Clemson,Buffalo
14,8,95,Earl,Thomas  ,S,"5'10¼""",208,Texas,Seattle
16,9,95,Derrick,Morgan  ,DE,"6'3""",266,Georgia Tech,Tennessee
15,10,94,Jason,Pierre-Paul,DE,"6'4¾""",270,South Florida,NY Giants
24,11,94,Dez,Bryant  ,WR,"6'2""",225,Oklahoma State,Dallas
13,12,94,Brandon,Graham  ,OLB,"6'1?""",268,Michigan,Philadelphia
8,13,94,Rolando,McClain  ,ILB,"6'3?""",254,Alabama,Las Vegas
11,14,93,Anthony,Davis  ,OT,"6'5""",323,Rutgers,San Francisco
26,15,93,Dan,Williams  ,DT,"6'2""",327,Tennessee,Arizona
7,16,93,Joe,Haden  ,CB,"5'10¾""",193,Florida,Cleveland
31,17,93,Jerry,Hughes  ,OLB,"6'1¾""",255,TCU,Indianapolis
18,18,93,Maurkice,Pouncey  ,C,"6'4½""",304,Florida,Pittsburgh
20,19,93,Kareem,Jackson  ,CB,"5'10½""",196,Alabama,Houston
17,20,93,Mike,Iupati  ,OG,"6'5?""",331,Idaho,San Francisco
43,21,92,Sergio,Kindle  ,OLB,"6'2?""",250,Texas,Baltimore
23,22,92,Bryan,Bulaga  ,OT,"6'5?""",314,Iowa,Green Bay
22,23,92,Demaryius,Thomas  ,WR,"6'3¼""",224,Georgia Tech,Denver
29,24,92,Kyle,Wilson  ,CB,"5'10""",194,Boise State,NY Jets
21,25,92,Jermaine,Gresham  ,TE,"6'5¼""",261,Oklahoma,Cincinnati
12,26,91,Ryan,Mathews  ,RB,"5'11?""",218,Fresno State,Los Angeles
64,27,91,Charles,Brown  ,OT,"6'5?""",303,USC,New Orleans
28,28,91,Jared,Odrick  ,DT,"6'5""",304,Penn State,Miami
27,29,90,Devin,McCourty  ,CB,"5'10¾""",193,Rutgers,New England
47,30,90,Daryl,Washington  ,OLB,"6'1¾""",230,TCU,Arizona
33,31,89,Rodger,Saffold  ,OT,"6'4?""",316,Indiana,Los Angeles
19,32,89,Sean,Weatherspoon  ,OLB,"6'1¼""",239,Missouri,Atlanta
49,33,89,Taylor,Mays  ,S,"6'3?""",203,USC,San Francisco
10,34,89,Tyson,Alualu  ,DT,"6'2?""",295,California,Jacksonville
48,35,89,Jimmy,Clausen  ,QB,"6'2?""",222,Notre Dame,Carolina
44,36,88,Lamarr,Houston  ,DT,"6'2¾""",305,Texas,Las Vegas
30,37,88,Jahvid,Best,RB,"5'10?""",199,California,Detroit
100,38,88,Everson,Griffen  ,DE,"6'3?""",273,USC,Minnesota
39,39,88,Arrelious,Benn  ,WR,"6'1""",219,Illinois,Tampa Bay
35,40,87,Brian,Price,DT,"6'1?""",303,UCLA,Tampa Bay
34,41,87,Chris,Cook  ,CB,"6'2""",212,Virginia,Minnesota
54,42,87,Carlos,Dunlap  ,DE,"6'5¾""",277,Florida,Cincinnati
55,43,87,Sean,Lee  ,ILB,"6'2?""",236,Penn State,Dallas
85,44,86,Colt,McCoy  ,QB,"6'1?""",216,Texas,Cleveland
68,45,86,Jon,Asamoah  ,OG,"6'4""",305,Illinois,Kansas City
37,46,85,Nate,Allen  ,S,"6'0½""",207,South Florida,Philadelphia
32,47,85,Patrick,Robinson  ,CB,"5'11¼""",190,Florida State,New Orleans
57,48,85,Terrence,Cody  ,DT,"6'3?""",354,Alabama,Baltimore
42,49,85,Rob,Gronkowski  ,TE,"6'6¼""",264,Arizona,New England
61,50,84,Vladimir,Ducasse  ,OG,"6'4?""",332,UMass,NY Jets
60,51,84,Golden,Tate  ,WR,"5'10¼""",199,Notre Dame,Seattle
46,52,83,Linval,Joseph  ,DT,"6'4½""",328,East Carolina,NY Giants
62,53,83,Brandon,Spikes  ,ILB,"6'2?""",249,Florida,New England
91,54,83,Navorro,Bowman  ,OLB,"6'0½""",242,Penn State,San Francisco
77,55,82,Damian,Williams  ,WR,"6'0?""",197,USC,Tennessee
51,56,81,Toby,Gerhart  ,RB,"6'0""",231,Stanford,Minnesota
106,57,81,Bruce,Campbell  ,OT,"6'6?""",314,Maryland,Las Vegas
40,58,80,Koa,Misi  ,OLB,"6'2?""",251,Utah,Miami
87,59,80,Eric,Decker  ,WR,"6'3?""",217,Minnesota,Denver
65,60,79,Jerome,Murphy  ,CB,"6'0¼""",196,South Florida,Los Angeles
73,61,79,John,Jerry  ,OG,"6'5?""",328,Ole Miss,Miami
36,62,79,Dexter,McCluster  ,RB,"5'8¾""",172,Ole Miss,Kansas City
90,63,78,Taylor,Price  ,WR,"6'0?""",204,Ohio,New England
124,64,78,Eric,Norwood  ,OLB,"6'0?""",245,South Carolina,Carolina
25,65,78,Tim,Tebow  ,QB,"6'2¾""",236,Florida,Denver
114,66,78,Dennis,Pitta  ,TE,"6'4½""",245,BYU,Baltimore
123,67,77,Al,Woods  ,DT,"6'3?""",309,LSU,New Orleans
185,68,77,Anthony,McCoy,TE,"6'4½""",259,USC,Seattle
78,69,77,Brandon,LaFell  ,WR,"6'2½""",211,LSU,Carolina
109,70,77,Corey,Wootton  ,DE,"6'6""",270,Northwestern,Chicago
66,71,77,Amari,Spievey,CB,"5'10?""",195,Iowa,Detroit
112,72,77,Joe,McKnight  ,RB,"5'11?""",198,USC,NY Jets
59,73,76,Montario,Hardesty  ,RB,"5'11¾""",225,Tennessee,Cleveland
52,74,75,Jason,Worilds  ,OLB,"6'1¼""",254,Virginia Tech,Pittsburgh
134,75,75,Ricky,Sapp  ,DE,"6'3?""",252,Clemson,Philadelphia
146,76,75,Cam,Thomas  ,DT,"6'4""",330,North Carolina,Los Angeles
96,77,74,Brandon,Ghee  ,CB,"5'11?""",192,Wake Forest,Cincinnati
156,78,74,David,Reed  ,WR,"6'0?""",191,Utah,Baltimore
72,79,74,Alex,Carrington  ,DE,"6'5¼""",285,Arkansas State,Buffalo
177,80,74,Carlton,Mitchell  ,WR,"6'2?""",215,South Florida,Cleveland
45,81,74,Zane,Beadles  ,OG,"6'4?""",310,Utah,Denver
120,82,74,Geno,Atkins  ,DT,"6'1?""",293,Georgia,Cincinnati
88,83,74,Andre,Roberts  ,WR,"5'10?""",195,The Citadel,Arizona
103,84,74,Perry,Riley  ,OLB,"6'1""",239,LSU,Washington
113,85,73,Aaron,Hernandez,TE,"6'2?""",245,Florida,New England
204,86,73,Tony,Pike  ,QB,"6'5¾""",223,Cincinnati,Carolina
69,87,73,Edwin,Veldheer  ,OT,"6'8?""",312,Hillsdale,Las Vegas
38,88,73,T.J.,Ward  ,S,"5'10½""",211,Oregon,Cleveland
135,89,73,Dominique,Franks  ,CB,"5'11""",194,Oklahoma,Atlanta
41,90,72,Torell,Troup  ,DT,"6'2¾""",314,UCF,Buffalo
70,91,72,Ed,Dickson  ,TE,"6'4¼""",249,Oregon,Baltimore
137,92,72,Perrish,Cox  ,CB,"5'11?""",195,Oklahoma State,Denver
82,93,72,Emmanuel,Sanders  ,WR,"5'10?""",186,SMU,Pittsburgh
116,94,72,Thaddeus,Gibson,OLB,"6'2""",243,Ohio State,Pittsburgh
58,95,72,Ben,Tate  ,RB,"5'11""",220,Auburn,Houston
95,96,71,Jimmy,Graham  ,TE,"6'6¼""",260,Miami,New Orleans
84,97,71,Jordan,Shipley  ,WR,"5'11¼""",193,Texas,Cincinnati
163,98,71,Reshad,Jones  ,S,"6'1¼""",214,Georgia,Miami
126,99,70,Akwasi,Owusu-Ansah  ,CB,"6'0¼""",207,Indiana (PA),Dallas
74,100,69,D'Anthony,Smith  ,DT,"6'2?""",304,Louisiana Tech,Jacksonville
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
,,,, ,,,,,
