Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
1,1,99,Andrew,Luck  ,QB,"6'4""",234,Stanford,Indianapolis
2,2,97,Robert,Griffin III ,QB,"6'2?""",231,Baylor,Washington
3,3,97,Trent,Richardson  ,RB,"5'9¼""",228,Alabama,Cleveland
6,4,97,Morris,Claiborne  ,CB,"5'11?""",188,LSU,Dallas
4,5,96,Matt,Kalil  ,OT,"6'6?""",306,USC,Minnesota
9,6,96,Luke,Kuechly  ,ILB,"6'3¼""",242,Boston College,Carolina
12,7,95,Fletcher,Cox,DT,"6'4""",298,Mississippi State,Philadelphia
7,8,95,Mark,Barron  ,S,"6'1""",213,Alabama,Tampa Bay
5,9,95,Justin,Blackmon  ,WR,"6'0?""",207,Oklahoma State,Jacksonville
16,10,94,Quinton,Coples  ,DE,"6'5¾""",284,North Carolina,NY Jets
21,11,94,Chandler,Jones  ,DE,"6'5?""",266,Syracuse,New England
8,12,94,Ryan,Tannehill  ,QB,"6'3?""",221,Texas A&M,Miami
14,13,94,Michael,Brockers,DT,"6'5""",322,LSU,Los Angeles
10,14,93,Stephon,Gilmore  ,CB,"6'0½""",190,South Carolina,Buffalo
13,15,93,Michael,Floyd  ,WR,"6'2?""",220,Notre Dame,Arizona
18,16,93,Melvin,Ingram  ,DE,"6'1½""",264,South Carolina,Los Angeles
24,17,93,David,DeCastro  ,OG,"6'4?""",316,Stanford,Pittsburgh
23,18,93,Riley,Reiff,OT,"6'5¾""",313,Iowa,Detroit
19,19,92,Shea,McClellin  ,OLB,"6'3?""",260,Boise State,Chicago
11,20,92,Dontari,Poe,DT,"6'3½""",346,Memphis,Kansas City
17,21,92,Dre,Kirkpatrick,CB,"6'1?""",185,Alabama,Cincinnati
25,22,91,Dont'a,Hightower,ILB,"6'2¼""",265,Alabama,New England
51,23,91,Jerel,Worthy  ,DT,"6'2?""",309,Michigan State,Green Bay
41,24,91,Cordy,Glenn  ,OT,"6'5¾""",345,Georgia,Buffalo
35,25,90,Courtney,Upshaw  ,DE,"6'1?""",272,Alabama,Baltimore
31,26,90,Doug,Martin  ,RB,"5'9¼""",223,Boise State,Tampa Bay
43,27,90,Stephen,Hill,WR,"6'4""",215,Georgia Tech,NY Jets
20,28,89,Kendall,Wright  ,WR,"5'10¼""",196,Baylor,Tennessee
29,29,89,Harrison,Smith  ,S,"6'1?""",213,Notre Dame,Minnesota
34,30,89,Coby,Fleener  ,TE,"6'6""",247,Stanford,Indianapolis
42,31,89,Jonathan,Martin  ,OT,"6'5?""",312,Stanford,Miami
26,32,89,Whitney,Mercilus  ,DE,"6'3?""",261,Illinois,Houston
53,33,89,Devon,Still  ,DT,"6'4?""",303,Penn State,Cincinnati
44,34,89,Jeff,Allen  ,OG,"6'3?""",307,Illinois,Kansas City
27,35,88,Kevin,Zeitler  ,OG,"6'3?""",314,Wisconsin,Cincinnati
58,36,88,Lavonte,David  ,OLB,"6'0?""",233,Nebraska,Tampa Bay
63,37,88,Rueben,Randle,WR,"6'2?""",210,LSU,NY Giants
28,38,88,Nick,Perry  ,DE,"6'2¾""",271,USC,Green Bay
112,39,87,Bobby,Massie,OT,"6'6?""",316,Ole Miss,Arizona
40,40,87,Amini,Silatolu  ,OG,"6'3?""",311,Midwestern State,Carolina
55,41,87,Peter,Konz  ,C,"6'5""",314,Wisconsin,Atlanta
57,42,87,Brock,Osweiler,QB,"6'6?""",242,Arizona State,Denver
38,43,87,Andre,Branch  ,DE,"6'4¼""",259,Clemson,Jacksonville
39,44,87,Janoris,Jenkins  ,CB,"5'10""",193,North Alabama,Los Angeles
93,45,87,Brandon,Thompson  ,DT,"6'2""",311,Clemson,Cincinnati
59,46,86,Vinny,Curry  ,DE,"6'3?""",266,Marshall,Philadelphia
