Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
3,1,94,Joey,Bosa,DE,"6'5¼""",269,Ohio State,Los Angeles
13,2,94,Laremy,Tunsil,OT,"6'5""",310,Ole Miss,Miami
5,3,93,Jalen,Ramsey,CB,"6'1¼""",209,Florida State,Jacksonville
4,4,93,Ezekiel,Elliott,RB,"5'11¾""",225,Ohio State,Dallas
6,5,93,Ronnie,Stanley  ,OT,"6'5¾""",312,Notre Dame,Baltimore
7,6,92,DeForest,Buckner  ,DE,"6'7""",291,Oregon,San Francisco
8,7,92,Jack,Conklin,OT,"6'5¾""",308,Michigan State,Tennessee
36,8,92,Myles,Jack,OLB,"6'1""",245,UCLA,Jacksonville
9,9,91,Leonard,Floyd,OLB,"6'5?""",244,Georgia,Chicago
2,10,91,Carson,Wentz  ,QB,"6'5¼""",237,North Dakota State,Philadelphia
1,11,91,Jared,Goff,QB,"6'4""",215,California,Los Angeles
12,12,91,Sheldon,Rankins  ,DT,"6'1?""",299,Louisville,New Orleans
20,13,91,Darron,Lee,OLB,"6'0¾""",232,Ohio State,NY Jets
23,14,91,Laquon,Treadwell,WR,"6'2""",221,Ole Miss,Minnesota
22,15,91,Josh,Doctson  ,WR,"6'2""",202,TCU,Washington
16,16,90,Taylor,Decker  ,OT,"6'7""",310,Ohio State,Detroit
19,17,90,Shaq,Lawson,DE,"6'2?""",269,Clemson,Buffalo
41,18,90,Reggie,Ragland  ,ILB,"6'1¼""",247,Alabama,Buffalo
49,19,90,Jarran,Reed  ,DT,"6'2?""",307,Alabama,Seattle
15,20,90,Corey,Coleman,WR,"5'10?""",194,Baylor,Cleveland
21,21,90,Will,Fuller,WR,"6'0?""",186,Notre Dame,Houston
24,22,90,William,Jackson III ,CB,"6'0?""",189,Houston,Cincinnati
11,23,89,Vernon,Hargreaves III,CB,"5'10½""",204,Florida,Tampa Bay
14,24,89,Karl,Joseph  ,S,"5'9?""",205,West Virginia,Las Vegas
10,25,89,Eli,Apple,CB,"6'0?""",199,Ohio State,NY Giants
30,26,89,Vernon,Butler  ,DT,"6'3?""",323,Louisiana Tech,Carolina
35,27,89,Hunter,Henry,TE,"6'4?""",250,Arkansas,Los Angeles
37,28,89,Chris,Jones,DT,"6'5¾""",310,Mississippi State,Kansas City
31,29,88,Germain,Ifedi  ,OT,"6'5¾""",324,Texas A&M,Seattle
61,30,88,Vonn,Bell,S,"5'10¾""",199,Ohio State,New Orleans
25,31,88,Artie,Burns,CB,"5'11?""",193,Miami,Pittsburgh
18,32,88,Ryan,Kelly  ,C,"6'4""",311,Alabama,Indianapolis
33,33,87,Kevin,Dodd,DE,"6'5""",277,Clemson,Tennessee
42,34,87,Kamalei,Correa,OLB,"6'2?""",243,Boise State,Baltimore
29,35,87,Robert,Nkemdiche,DT,"6'3½""",294,Ole Miss,Arizona
46,36,86,A'Shawn,Robinson,DT,"6'3?""",307,Alabama,Detroit
47,37,86,Michael,Thomas,WR,"6'2¾""",212,Ohio State,New Orleans
26,38,85,Paxton,Lynch,QB,"6'6?""",244,Memphis,Denver
55,39,84,Tyler,Boyd,WR,"6'1½""",197,Pittsburgh,Cincinnati
100,40,84,Connor,Cook  ,QB,"6'4""",217,Michigan State,Las Vegas
27,41,84,Kenny,Clark,DT,"6'2?""",314,UCLA,Green Bay
72,42,83,Jonathan,Bullard  ,DE,"6'3""",285,Florida,Chicago
84,43,83,Kendall,Fuller,CB,"5'11½""",187,Virginia Tech,Washington
17,44,83,Keanu,Neal,S,"6'0½""",211,Florida,Atlanta
122,45,83,Andrew,Billings,DT,"6'0?""",311,Baylor,Cincinnati
107,46,82,Chris,Moore  ,WR,"6'1""",206,Cincinnati,Baltimore
43,47,82,Austin,Johnson,DT,"6'4?""",314,Penn State,Tennessee
54,48,81,Mackensie,Alexander,CB,"5'10?""",190,Clemson,Minnesota
51,49,81,Christian,Hackenberg,QB,"6'4?""",223,Penn State,NY Jets
28,50,81,Joshua,Garnett  ,OG,"6'4?""",312,Stanford,San Francisco
85,51,81,Braxton,Miller  ,WR,"6'1?""",201,Ohio State,Houston
45,52,81,Derrick,Henry,RB,"6'2?""",247,Alabama,Tennessee
52,53,81,Deion,Jones  ,OLB,"6'0?""",222,LSU,Atlanta
48,54,81,Jason,Spriggs  ,OT,"6'5?""",301,Indiana,Green Bay
44,55,81,Jihad,Ward  ,DE,"6'5?""",297,Illinois,Las Vegas
39,56,80,Noah,Spence,OLB,"6'2½""",251,Eastern Kentucky,Tampa Bay
32,57,80,Emmanuel,Ogbah,DE,"6'4¼""",273,Oklahoma State,Cleveland
94,58,80,Nick,Vannett  ,TE,"6'6""",257,Ohio State,Seattle
56,59,79,Cody,Whitehair  ,OG,"6'3¾""",301,Kansas State,Chicago
103,60,79,Sheldon,Day  ,DT,"6'0?""",293,Notre Dame,Jacksonville
40,61,79,Sterling,Shepard  ,WR,"5'10¼""",194,Oklahoma,NY Giants
81,62,79,Austin,Hooper,TE,"6'3¾""",254,Stanford,Atlanta
50,63,79,Nick,Martin  ,C,"6'4?""",299,Notre Dame,Houston
71,64,79,Darian,Thompson  ,S,"6'1?""",208,Boise State,NY Giants
116,65,79,Hassan,Ridgeway,DT,"6'3?""",303,Texas,Indianapolis
130,66,78,Alex,Lewis  ,OT,"6'6""",312,Nebraska,Baltimore
86,67,78,Leonte,Carroo  ,WR,"5'11?""",211,Rutgers,Miami
63,68,78,Adam,Gotsis  ,DE,"6'4½""",287,Georgia Tech,Denver
184,69,78,Jerell,Adams  ,TE,"6'5?""",247,South Carolina,NY Giants
132,70,78,Willie,Henry  ,DT,"6'2¾""",303,Michigan,Baltimore
102,71,78,Joshua,Perry  ,ILB,"6'3¾""",254,Ohio State,Los Angeles
117,72,77,Pharoh,Cooper,WR,"5'11?""",203,South Carolina,Los Angeles
53,73,77,Su'a,Cravens,S,"6'0¾""",226,USC,Washington
60,74,77,Cyrus,Jones  ,CB,"5'9?""",197,Alabama,New England
75,75,77,Shilique,Calhoun  ,DE,"6'4?""",251,Michigan State,Las Vegas
34,76,77,Jaylon,Smith,OLB,"6'2""",223,Notre Dame,Dallas
80,77,77,Adolphus,Washington  ,DT,"6'3?""",301,Ohio State,Buffalo
67,78,76,Maliek,Collins,DT,"6'1?""",311,Nebraska,Dallas
134,79,76,Kenneth,Dixon  ,RB,"5'10?""",215,Louisiana Tech,Baltimore
38,80,76,Xavien,Howard,CB,"6'0?""",201,Baylor,Miami
65,81,76,Carl,Nassib  ,DE,"6'6?""",277,Penn State,Cleveland
161,82,76,Christian,Westerman  ,OG,"6'3?""",298,Arizona State,Cincinnati
154,83,75,Jordan,Payton  ,WR,"6'1?""",207,UCLA,Cleveland
74,84,75,Keivarae,Russell  ,CB,"5'11?""",192,Notre Dame,Kansas City
136,85,74,Devontae,Booker  ,RB,"5'10¾""",219,Utah,Denver
