Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
3,1,97,Marcell,Dareus,DT,"6'3?""",319,Alabama,Buffalo
2,2,97,Von,Miller  ,OLB,"6'2?""",246,Texas A&M,Denver
4,3,97,A.J.,Green  ,WR,"6'3?""",211,Georgia,Cincinnati
5,4,97,Patrick,Peterson  ,CB,"6'0¼""",219,LSU,Arizona
10,5,96,Blaine,Gabbert  ,QB,"6'4?""",234,Missouri,Jacksonville
14,6,96,Robert,Quinn  ,DE,"6'4""",265,North Carolina,Los Angeles
6,7,95,Julio,Jones,WR,"6'2¾""",220,Alabama,Atlanta
19,8,95,Prince,Amukamara  ,CB,"6'0""",206,Nebraska,NY Giants
24,9,95,Cameron,Jordan  ,DE,"6'4?""",287,California,New Orleans
9,10,95,Tyron,Smith  ,OT,"6'5""",307,USC,Dallas
13,11,94,Nick,Fairley  ,DT,"6'2?""",291,Auburn,Detroit
22,12,94,Anthony,Castonzo  ,OT,"6'7""",311,Boston College,Indianapolis
18,13,93,Corey,Liuget,DT,"6'2?""",298,Illinois,Los Angeles
7,14,93,Aldon,Smith  ,DE,"6'4¼""",263,Missouri,San Francisco
1,15,93,Cam,Newton  ,QB,"6'5""",248,Auburn,Carolina
11,16,93,J.J.,Watt  ,DE,"6'5?""",290,Wisconsin,Houston
16,17,92,Ryan,Kerrigan  ,DE,"6'3?""",267,Purdue,Washington
27,18,92,Jimmy,Smith  ,CB,"6'2¼""",211,Colorado,Baltimore
15,19,92,Mike,Pouncey  ,C,"6'5""",303,Florida,Miami
28,20,92,Mark,Ingram  ,RB,"5'9?""",215,Alabama,New Orleans
17,21,91,Nate,Solder  ,OT,"6'8¼""",319,Colorado,New England
51,22,91,Da'Quan,Bowers  ,DE,"6'3?""",280,Clemson,Tampa Bay
29,23,91,Gabe,Carimi  ,OT,"6'7""",314,Wisconsin,Chicago
30,24,91,Muhammad,Wilkerson  ,DE,"6'4?""",315,Temple,NY Jets
