Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
1,1,95,Myles,Garrett,DE,"6'4½""",272,Texas A&M,Cleveland
6,2,94,Jamal,Adams,S,"5'11¾""",214,LSU,NY Jets
3,3,94,Solomon,Thomas,DT,"6'2?""",273,Stanford,San Francisco
4,4,93,Leonard,Fournette,RB,"6'0½""",240,LSU,Jacksonville
17,5,93,Jonathan,Allen  ,DT,"6'2?""",286,Alabama,Washington
11,6,92,Marshon,Lattimore,CB,"6'0""",193,Ohio State,New Orleans
19,7,92,O.J.,Howard  ,TE,"6'5¾""",251,Alabama,Tampa Bay
31,8,92,Reuben,Foster  ,ILB,"6'0""",229,Alabama,San Francisco
8,9,92,Christian,McCaffrey,RB,"5'11¼""",202,Stanford,Carolina
15,10,92,Malik,Hooker,S,"6'1""",206,Ohio State,Indianapolis
13,11,92,Haason,Reddick  ,ILB,"6'1½""",237,Temple,Arizona
7,12,91,Mike,Williams,WR,"6'3?""",218,Clemson,Los Angeles
14,13,91,Derek,Barnett,DE,"6'3""",259,Tennessee,Philadelphia
29,14,91,David,Njoku,TE,"6'4""",246,Miami,Cleveland
5,15,91,Corey,Davis  ,WR,"6'2¾""",209,Western Michigan,Tennessee
38,16,90,Forrest,Lamp  ,OG,"6'3?""",309,Western Kentucky,Los Angeles
41,17,90,Dalvin,Cook,RB,"5'10?""",210,Florida State,Minnesota
22,18,90,Charles,Harris,OLB,"6'2¾""",253,Missouri,Miami
34,19,90,Cam,Robinson,OT,"6'6¼""",322,Alabama,Jacksonville
9,20,90,John,Ross,WR,"5'10¾""",188,Washington,Cincinnati
23,21,90,Evan,Engram  ,TE,"6'3?""",234,Ole Miss,NY Giants
33,22,89,Kevin,King  ,CB,"6'3""",200,Washington,Green Bay
16,23,89,Marlon,Humphrey,CB,"6'0¼""",197,Alabama,Baltimore
26,24,89,Takkarist,McKinley  ,DE,"6'2""",250,UCLA,Atlanta
21,25,89,Jarrad,Davis  ,ILB,"6'1?""",238,Florida,Detroit
27,26,89,Tre'Davious,White  ,CB,"5'11¼""",192,LSU,Buffalo
2,27,89,Mitchell,Trubisky,QB,"6'2?""",222,North Carolina,Chicago
12,28,88,Deshaun,Watson,QB,"6'2½""",221,Clemson,Houston
18,29,88,Adoree',Jackson,CB,"5'10""",186,USC,Tennessee
32,30,88,Ryan,Ramczyk,OT,"6'5?""",310,Wisconsin,New Orleans
46,31,88,Quincy,Wilson,CB,"6'1½""",211,Florida,Indianapolis
37,32,87,Zay,Jones  ,WR,"6'2?""",201,East Carolina,Buffalo
47,33,87,Tyus,Bowser  ,OLB,"6'2?""",247,Houston,Baltimore
20,34,87,Garett,Bolles,OT,"6'5""",297,Utah,Denver
92,35,87,Jourdan,Lewis  ,CB,"5'10¼""",188,Michigan,Dallas
39,36,87,Marcus,Maye  ,S,"5'11¾""",210,Florida,NY Jets
30,37,86,T.J.,Watt,OLB,"6'4½""",252,Wisconsin,Pittsburgh
28,38,86,Taco,Charlton  ,DE,"6'5?""",277,Michigan,Dallas
36,39,86,Budda,Baker,S,"5'9?""",195,Washington,Arizona
67,40,86,Alvin,Kamara,RB,"5'10¼""",214,Tennessee,New Orleans
35,41,86,Malik,McDowell,DT,"6'6¼""",295,Michigan State,Seattle
40,42,86,Curtis,Samuel,WR,"5'10?""",196,Ohio State,Carolina
61,43,86,Josh,Jones,S,"6'1?""",220,NC State,Green Bay
10,44,85,Patrick,Mahomes,QB,"6'2""",225,Texas Tech,Kansas City
73,45,85,Jordan,Willis  ,DE,"6'3¾""",255,Kansas State,Cincinnati
56,46,85,Obi,Melifonwu  ,S,"6'3?""",224,UConn,Las Vegas
48,47,84,Joe,Mixon,RB,"6'0¾""",228,Oklahoma,Cincinnati
25,48,84,Jabrill,Peppers,S,"5'10?""",213,Michigan,Cleveland
60,49,83,Chidobe,Awuzie  ,CB,"5'11?""",202,Colorado,Dallas
63,50,83,Dion,Dawkins  ,OG,"6'3?""",314,Temple,Buffalo
62,51,83,JuJu,Smith-Schuster,WR,"6'1?""",215,USC,Pittsburgh
