Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
49,80,75,Ben,Banogu,OLB,"6'3½""",250,TCU,Indianapolis
82,81,75,Nate,Davis,OG,"6'3¼""",316,Charlotte,Tennessee
168,82,74,D'Andre,Walker,OLB,"6'2⅜""",251,Georgia,Tennessee
84,83,74,Khalen,Saunders,DT,"6'0⅜""",324,Western Illinois,Kansas City
136,84,74,Michael,Jordan,OG,"6'5⅞""",312,Ohio State,Cincinnati
78,85,73,Michael,Deiter,OG,"6'5⅛""",309,Wisconsin,Miami
217,86,73,Kris,Boyd,CB,"5'11½""",201,Texas,Minnesota
58,87,73,Trysten,Hill,DT,"6'2¾""",308,UCF,Dallas
99,88,73,Mike,Edwards,S,"5'10½""",205,Kentucky,Tampa Bay
184,89,73,Travis,Fulgham,WR,"6'2½""",215,Old Dominion,Detroit
146,90,73,Amani,Oruwariye,CB,"6'1⅝""",205,Penn State,Detroit
116,91,73,Amani,Hooker,S,"5'11⅜""",210,Iowa,Tennessee
86,92,73,Kahale,Warring,TE,"6'5⅛""",252,San Diego State,Houston
43,93,72,Jahlani,Tavai,ILB,"6'2⅜""",250,Hawai'i,Detroit
89,94,72,Bobby,Okereke,OLB,"6'1⅜""",239,Stanford,Indianapolis
72,95,72,Germaine,Pratt,OLB,"6'2½""",240,NC State,Cincinnati
81,96,72,Will,Harris,S,"6'1""",207,Boston College,Detroit
88,97,72,Cody,Barton,OLB,"6'2½""",237,Utah,Seattle
113,98,72,Justice,Hill,RB,"5'9⅝""",198,Oklahoma State,Baltimore
111,99,72,Kendall,Sheffield,CB,"5'11⅜""",193,Ohio State,Atlanta
206,100,72,Kelvin,Harmon,WR,"6'2½""",221,NC State,Washington
107,101,71,Anthony,Nelson,DE,"6'7""",271,Iowa,Tampa Bay
69,102,71,Josh,Oliver,TE,"6'4⅝""",249,San Jose State,Jacksonville
47,103,71,Marquise,Blair,S,"6'1¼""",195,Utah,Seattle
,104,71,Gerald,Willis III,DT,"6'1¾""",302,Miami,
180,105,71,Corey,Ballentine,CB,"5'11""",196,Washburn,NY Giants
106,106,71,Maxx,Crosby,DE,"6'4⅞""",255,Eastern Michigan,Las Vegas
80,107,71,Sione,Takitaki,OLB,"6'1⅛""",238,BYU,Cleveland
87,108,70,Damien,Harris,RB,"5'10⅛""",216,Alabama,New England
68,109,70,Jachai,Polite,DE,"6'2⅝""",258,Florida,NY Jets
62,110,70,Andy,Isabella,WR,"5'8¾""",188,UMass,Arizona
156,111,70,Justin,Hollins,OLB,"6'5¼""",248,Oregon,Denver
171,112,70,Darius,Slayton,WR,"6'1""",190,Auburn,NY Giants
241,113,69,Jalen,Jelks,DE,"6'5⅜""",256,Oregon,Dallas
97,114,69,Bobby,Evans,OT,"6'4⅜""",312,Oklahoma,Los Angeles
139,115,69,Deionte,Thompson,S,"6'1""",195,Alabama,Arizona
102,116,69,Alexander,Mattison,RB,"5'10⅝""",221,Boise State,Minnesota
,117,69,Emanuel,Hall,WR,"6'1⅞""",201,Missouri,
96,118,69,Dawson,Knox,TE,"6'4⅜""",254,Ole Miss,Buffalo
165,119,68,Joe,Jackson,DE,"6'4¼""",275,Miami,Dallas
144,120,68,Marvell,Tell III,S,"6'2""",198,USC,Indianapolis
130,121,68,Drue,Tranquill,ILB,"6'2""",234,Notre Dame,Los Angeles
123,122,68,Ben,Powers,OG,"6'4""",307,Oklahoma,Baltimore
92,123,68,Chuma,Edoga,OT,"6'3½""",308,USC,NY Jets
100,124,68,Will,Grier,QB,"6'2½""",217,West Virginia,Carolina
70,125,68,Darrell,Henderson,RB,"5'8⅜""",208,Memphis,Los Angeles
94,126,68,Jamel,Dean,CB,"6'1""",206,Auburn,Tampa Bay
138,127,67,Shareef,Miller,DE,"6'4½""",254,Penn State,Philadelphia
181,128,67,Jaquan,Johnson,S,"5'10⅛""",191,Miami,Buffalo
155,129,67,Mack,Wilson,ILB,"6'1⅛""",240,Alabama,Cleveland
67,130,67,Jalen,Hurd,WR,"6'4¾""",226,Baylor,San Francisco
161,131,66,Charles,Omenihu,DE,"6'5⅜""",280,Texas,Houston
119,132,66,Sheldrick,Redwine,S,"6'0""",196,Miami,Cleveland
235,133,66,Dontavius,Russell,DT,"6'2¾""",319,Auburn,Jacksonville
,134,66,Te'Von,Coney,ILB,"6'0⅞""",234,Notre Dame,
101,135,66,Yodny,Cajuste,OT,"6'4⅞""",312,West Virginia,New England
,136,66,Tyree,Jackson,QB,"6'7""",249,Buffalo,
66,137,66,Diontae,Johnson,WR,"5'10½""",183,Toledo,Pittsburgh
167,138,65,Clayton,Thorson,QB,"6'4""",222,Northwestern,Philadelphia
,139,65,Terrill,Hanks,ILB,"6'2""",242,New Mexico State,
,140,65,Mitch,Hyatt,OT,"6'5⅜""",303,Clemson,
74,141,65,Devin,Singletary,RB,"5'7½""",203,Florida Atlantic,Buffalo
,142,65,Penny,Hart,WR,"5'8""",180,Georgia State,
134,143,64,Greg,Gaines,DT,"6'1""",312,Washington,Los Angeles
,144,64,Ryan,Bates,OT,"6'4½""",306,Penn State,
112,145,64,Bryce,Love,RB,"5'8⅞""",200,Stanford,Washington
,146,64,Preston,Williams,WR,"6'4¼""",211,Colorado State,
142,147,64,Ben,Burr-Kirven,ILB,"6'0""",230,Washington,Seattle
137,148,64,Foster,Moreau,TE,"6'4⅛""",253,LSU,Las Vegas
115,149,63,Christian,Miller,OLB,"6'3⅜""",247,Alabama,Carolina
,150,63,Nate,Herbig,OG,"6'3½""",335,Stanford,
228,151,63,Tommy,Sweeney,TE,"6'4½""",251,Boston College,Buffalo
,152,63,Anthony,Johnson,WR,"6'1⅞""",209,Buffalo,
129,153,62,Isaiah,Johnson,CB,"6'2⅛""",208,Houston,Las Vegas
109,154,62,Khari,Willis,S,"5'10⅞""",213,Michigan State,Indianapolis
125,155,62,Renell,Wren,DT,"6'4⅞""",318,Arizona State,Cincinnati
162,156,62,Cameron,Smith,ILB,"6'2""",238,USC,Minnesota
169,157,62,David,Edwards,OT,"6'6¼""",308,Wisconsin,Los Angeles
140,158,62,Ryquell,Armstead,RB,"5'11¼""",220,Temple,Jacksonville
174,159,62,Keesean,Johnson,WR,"6'1⅛""",201,Fresno State,Arizona
172,160,61,Jordan,Miller,CB,"6'0⅝""",186,Washington,Atlanta
159,161,61,Byron,Cowart,DT,"6'3""",298,Maryland,New England
,162,61,Terez,Hall,OLB,"6'1⅛""",230,Missouri,
,163,61,Beau,Benzschawel,OG,"6'6¼""",309,Wisconsin,
202,164,61,Isaiah,Prince,OT,"6'6½""",305,Ohio State,Miami
176,165,61,Kaden,Smith,TE,"6'5""",255,Stanford,San Francisco
132,166,61,Ugochukwu,Amadi,S,"5'9⅜""",199,Oregon,Seattle
212,167,60,Dennis,Daley,OT,"6'5""",317,South Carolina,Carolina
,168,60,Saivion,Smith,CB,"6'0⅞""",199,Alabama,
150,169,60,Kingsley,Keke,DT,"6'2⅝""",288,Texas A&M,Green Bay
188,170,60,David,Long Jr.,OLB,"5'11¼""",227,West Virginia,Tennessee
,171,60,Jonathan,Ledbetter,DE,"6'3¾""",280,Georgia,
153,172,60,Ross,Pierschbacher,OG,"6'3⅝""",307,Alabama,Washington
120,173,60,Gary,Jennings Jr.,WR,"6'1""",214,West Virginia,Seattle
121,174,60,Trevon,Wesco,TE,"6'3½""",267,West Virginia,NY Jets
,175,59,B.J.,Autry,OG,"6'2¾""",337,Jacksonville State,
,176,59,Hamp,Cheevers,CB,"5'9⅜""",169,Boston College,
,177,59,Paul,Adams,OT,"6'5⅞""",317,Missouri,
,178,59,Evan,Worthington,S,"6'1⅞""",212,Colorado,
,179,59,Wyatt,Ray,DE,"6'3¼""",257,Boston College,
,180,59,T.J.,Edwards,ILB,"6'0⅜""",230,Wisconsin,
128,181,59,Tony,Pollard,RB,"5'11⅝""",210,Memphis,Dallas
254,182,59,Caleb,Wilson,TE,"6'4¼""",240,UCLA,Arizona
196,183,58,Blessuan,Austin,CB,"6'0⅝""",198,Rutgers,NY Jets
160,184,58,Daylon,Mack,DT,"6'1""",336,Texas A&M,Baltimore
179,185,58,Lamont,Gaillard,C,"6'2⅝""",305,Georgia,Arizona
124,186,58,Phil,Haynes,OG,"6'3⅝""",322,Wake Forest,Seattle
135,187,58,John,Cominsky,DE,"6'5¼""",286,Charleston (WV),Atlanta
239,188,58,Dillon,Mitchell,WR,"6'1¼""",197,Oregon,Minnesota
,189,57,Derrek,Thomas,CB,"6'2⅞""",189,Baylor,
218,190,57,Mike,Weber,RB,"5'9⅝""",211,Ohio State,Dallas
224,191,57,Isaac,Nauta,TE,"6'3¼""",244,Georgia,Detroit
,192,56,Lukas,Denis,S,"5'11¼""",190,Boston College,
193,193,56,Olisaemeka,Udoh,OT,"6'5½""",323,Elon,Minnesota
223,194,56,Jordan,Brown,CB,"6'0⅜""",201,South Dakota State,Cincinnati
215,195,56,Terry,Beckner Jr.,DT,"6'3⅝""",296,Missouri,Tampa Bay
147,196,56,Vosean,Joseph,OLB,"6'1½""",230,Florida,Buffalo
211,197,56,Rodney,Anderson,RB,"6'0⅜""",224,Oklahoma,Cincinnati
,198,56,Dax,Raymond,TE,"6'4¾""",255,Utah State,
127,199,55,Iman,Marshall,CB,"6'0⅝""",207,USC,Baltimore
,200,55,Andrew,Wingard,S,"6'0⅛""",209,Wyoming,
,201,55,Chase,Hansen,OLB,"6'2⅞""",222,Utah,
143,202,55,Ryan,Connelly,ILB,"6'2⅛""",242,Wisconsin,NY Giants
,203,55,Elijah,Holyfield,RB,"5'10⅜""",217,Georgia,
231,204,55,Alize,Mack,TE,"6'4""",249,Notre Dame,New Orleans
,205,55,Antoine,Wesley,WR,"6'4⅛""",206,Texas Tech,
,206,54,Jonathan,Crawford,S,"6'1""",205,Indiana,
251,207,54,Dakota,Allen,ILB,"6'0¾""",232,Texas Tech,Los Angeles
,208,54,Andre,James,OT,"6'4⅛""",299,UCLA,
118,209,54,Hjalte,Froholdt,OG,"6'4⅝""",306,Arkansas,New England
,210,54,Malik,Carney,OLB,"6'2""",251,North Carolina,
117,211,54,Austin,Bryant,DE,"6'3⅞""",271,Clemson,Detroit
194,212,54,Dexter,Williams,RB,"5'11⅛""",212,Notre Dame,Green Bay
148,213,53,Dre,Greenlaw,OLB,"5'11½""",237,Arkansas,San Francisco
,214,53,Albert,Huggins,DT,"6'2⅞""",305,Clemson,
,215,53,Brandon,Knight,OG,"6'3¾""",314,Indiana,
,216,53,Jaylen,Smith,WR,"6'2¼""",219,Louisville,
,217,52,Darius,West,S,"5'10⅞""",208,Kentucky,
,218,52,Josiah,Tauaefa,ILB,"6'1¼""",232,UTSA,
,219,52,Chidi,Okeke,OT,"6'5⅛""",317,Tennessee State,
,220,52,Jamal,Peters,CB,"6'1¾""",218,Mississippi State,
,221,52,Porter,Gustin,OLB,"6'4½""",255,USC,
209,222,52,Demarcus,Christmas,DT,"6'3⅜""",294,Florida State,Seattle
,223,52,Karan,Higdon,RB,"5'9⅛""",206,Michigan,
247,224,52,Olabisi,Johnson,WR,"6'0½""",204,Colorado State,Minnesota
210,225,51,Deshaun,Davis,ILB,"5'11⅜""",234,Auburn,Cincinnati
,226,51,Yosuah,Nijman,OT,"6'6⅞""",324,Virginia Tech,
,227,51,Blace,Brown,CB,"6'0⅜""",194,Troy,
,228,51,Deion,Calhoun,OG,"6'2½""",310,Mississippi State,
,229,51,Carl,Granderson,DE,"6'4¾""",254,Wyoming,
,230,51,Jalin,Moore,RB,"5'10""",212,Appalachian State,
,231,51,Jazz,Ferguson,WR,"6'4⅝""",227,Northwestern State,
200,232,50,Emeke,Egbule,OLB,"6'2""",245,Houston,Los Angeles
240,233,50,Jackson,Barton,OT,"6'7¼""",310,Utah,Indianapolis
213,234,50,Donovan,Wilson,S,"6'0""",199,Texas A&M,Dallas
,235,50,Kevin,Givens,DT,"6'1¼""",285,Penn State,
234,236,50,Myles,Gaskin,RB,"5'9¼""",205,Washington,Miami
,237,50,Nyqwan,Murray,WR,"5'10¼""",191,Florida State,
246,238,49,Javon,Patterson,C,"6'2⅞""",307,Ole Miss,Indianapolis
158,239,49,Michael,Jackson,CB,"6'0⅝""",210,Miami,Dallas
178,240,49,Gardner,Minshew,QB,"6'0⅞""",225,Washington State,Jacksonville
177,241,49,Saquan,Hampton,S,"6'1¼""",206,Rutgers,New Orleans
190,242,49,Armon,Watts,DT,"6'4⅝""",300,Arkansas,Minnesota
,243,49,Tre,Lamar,ILB,"6'3⅜""",253,Clemson,
253,244,49,Jordan,Brailford,DE,"6'2⅝""",252,Oklahoma State,Washington
122,245,49,Benny,Snell Jr.,RB,"5'10⅜""",224,Kentucky,Pittsburgh
192,246,48,Isaiah,Buggs,DT,"6'3⅛""",306,Alabama,Pittsburgh
,247,48,Landis,Durham,OLB,"6'1⅞""",255,Texas A&M,
,248,48,Zedrick,Woods,S,"5'11""",205,Ole Miss,
,249,48,Otaro,Alaka,ILB,"6'3""",239,Texas A&M,
152,250,48,Qadree,Ollison,RB,"6'0⅝""",228,Pittsburgh,Atlanta
,251,48,Jakobi,Meyers,WR,"6'1⅝""",203,NC State,
201,252,47,Rashad,Fenton,CB,"5'11""",193,South Carolina,Kansas City
,253,47,D'Cota,Dixon,S,"5'9⅝""",204,Wisconsin,
245,254,47,Chris,Slayton,DT,"6'3⅝""",307,Syracuse,NY Giants
204,255,47,Travis,Homer,RB,"5'10⅜""",201,Miami,Seattle
,256,47,LJ,Scott,RB,"6'0⅜""",227,Michigan State,
,257,47,Greg,Dortch,WR,"5'7⅛""",173,Wake Forest,
,258,46,Alex,Bars,OG,"6'5⅞""",312,Notre Dame,
197,259,46,Trace,McSorley,QB,"6'0⅛""",202,Penn State,Baltimore
,260,46,Darrell,Williams,OLB,"6'2""",219,Auburn,
,261,46,Daniel,Wise,DT,"6'2⅝""",281,Kansas,
222,262,46,Kerrith,Whyte Jr.,RB,"5'10""",197,Florida Atlantic,Chicago
,263,46,Felton,Davis III,WR,"6'3½""",211,Michigan State,
,264,45,Cece,Jefferson,OLB,"6'1½""",266,Florida,
110,265,45,Mitch,Wishnowsky,P,"6'2⅛""",218,Utah,San Francisco
,266,45,Montre,Hartage,CB,"5'11⅜""",190,Northwestern,
219,267,45,Derwin,Gray,OG,"6'4½""",320,Maryland,Pittsburgh
154,268,45,Jordan,Scarlett,RB,"5'10⅝""",208,Florida,Carolina
,269,45,Alex,Wesley,WR,"5'11⅞""",190,Northern Colorado,
,270,44,Davante,Davis,CB,"6'2⅛""",202,Texas,
157,271,44,Blake,Cashman,ILB,"6'1⅛""",237,Minnesota,NY Jets
,272,44,Tyrel,Dodson,OLB,"6'0⅜""",237,Texas A&M,
,273,44,Amani,Bledsoe,DE,"6'4½""",280,Oklahoma,
237,274,44,Terry,Godwin,WR,"5'11⅜""",184,Georgia,Carolina
,275,43,Mark,Fields,CB,"5'9⅞""",192,Clemson,
,276,43,Jamal,Davis II,OLB,"6'3⅛""",243,Akron,
,277,43,David,Sills V,WR,"6'3¼""",211,West Virginia,
,278,42,Derrick,Baity Jr.,CB,"6'2⅛""",197,Kentucky,
225,279,42,Darryl,Johnson Jr.,OLB,"6'6""",253,North Carolina A&T,Buffalo
,280,42,Alex,Barnes,RB,"6'0⅜""",226,Kansas State,
,281,42,Tyre,Brady,WR,"6'2⅞""",211,Marshall,
195,282,41,Xavier,Crawford,CB,"5'10⅞""",187,Central Michigan,Houston
,283,41,JoJo,McIntosh,S,"6'0¾""",204,Washington,
226,284,41,Ty,Summers,ILB,"6'1⅜""",241,TCU,Green Bay
,285,41,Keenen,Brown,TE,"6'2½""",250,Texas State,
,286,41,James,Williams,RB,"5'9½""",197,Washington State,
,287,41,Lil'Jordan,Humphrey,WR,"6'3⅝""",210,Texas,
,288,40,Tyler,Jones,OG,"6'3""",306,NC State,
,289,40,Ryan,Pope,OT,"6'7""",320,San Diego State,
227,290,40,Jimmy,Moreland,CB,"5'9¾""",179,James Madison,Washington
151,291,40,Andrew,Van Ginkel,OLB,"6'3½""",241,Wisconsin,Miami
,292,40,Gary,Johnson,ILB,"5'11⅞""",226,Texas,
186,293,40,Ty,Johnson,RB,"5'10¾""",210,Maryland,Detroit
,294,40,Keelan,Doss,WR,"6'2⅛""",211,UC Davis,
141,295,40,Zach,Gentry,TE,"6'8⅛""",265,Michigan,Pittsburgh
,296,39,Darius,Williams,CB,"5'10⅝""",201,Colorado State-Pueblo,
,297,39,Cameron,Glenn,S,"5'11½""",209,Wake Forest,
,298,39,Clifton,Duck,CB,"5'9¼""",180,Appalachian State,
,299,39,Breckyn,Hager,OLB,"6'2¼""",242,Texas,
,300,39,Jesse,Burkett,C,"6'4""",303,Stanford,
,301,39,Jeff,Allison,ILB,"5'11¼""",228,Fresno State,
,302,39,Fred,Johnson,OG,"6'7⅛""",326,Florida,
,303,39,Tyler,Roemer,OT,"6'6⅜""",312,San Diego State,
,304,39,Kano,Dillon,TE,"6'4¾""",256,Oregon,
214,305,39,Darwin,Thompson,RB,"5'8""",198,Utah State,Kansas City
149,306,39,Hunter,Renfrow,WR,"5'10¼""",184,Clemson,Las Vegas
,307,38,Jordan,Wyatt,CB,"5'11¾""",190,SMU,
,308,38,Nick,Natour,OG,"6'4⅜""",296,SMU,
,309,38,Brett,Rypien,QB,"6'1⅝""",210,Boise State,
,310,38,Mike,Bell,S,"6'2¾""",210,Fresno State,
,311,38,Joe,Dineen Jr.,ILB,"6'2¼""",231,Kansas,
,312,38,Devine,Ozigbo,RB,"5'10¾""",222,Nebraska,
,313,38,Johnnie,Dixon,WR,"5'10⅜""",201,Ohio State,
,314,38,Damarkus,Lodge,WR,"6'1⅞""",202,Ole Miss,
,315,37,Ryan,Pulley,CB,"5'10⅝""",209,Arkansas,
,316,37,Kendall,Blanton,TE,"6'6¼""",262,Missouri,
,317,37,Joey,Alfieri,OLB,"6'2⅝""",235,Stanford,
,318,37,Mark,McLaurin,S,"6'1½""",212,Mississippi State,
,319,37,Khalil,Hodge,ILB,"6'1⅜""",234,Buffalo,
,320,37,Stanley,Morgan Jr.,WR,"6'0""",202,Nebraska,
175,321,36,Sutton,Smith,OLB,"6'0⅜""",233,Northern Illinois,Pittsburgh
252,322,36,Ken,Webster,CB,"5'10⅞""",203,Ole Miss,New England
,323,36,Malik,Gant,S,"5'11⅝""",209,Marshall,
,324,36,Kendall,Joseph,ILB,"5'11⅝""",233,Clemson,
,325,36,Markus,Jones,DE,"6'2⅞""",249,Angelo State,
,326,36,Wes,Hills,RB,"6'0⅞""",214,Slippery Rock,
,327,36,Cody,Thompson,WR,"6'1½""",205,Toledo,
145,328,35,Matt,Gay,K,"6'0""",232,Utah,Tampa Bay
163,329,35,Jake,Bailey,P,"6'1⅜""",200,Stanford,New England
166,330,35,Easton,Stick,QB,"6'1¼""",224,North Dakota State,Los Angeles
,331,35,Daniel,Helm,TE,"6'4⅛""",249,Duke,
,332,35,John,Battle,S,"6'0½""",201,LSU,
,333,35,Bryson,Allen-Williams,ILB,"6'0⅝""",236,South Carolina,
,334,35,Corbin,Kaufusi,DE,"6'8½""",279,BYU,
236,335,35,John,Ursua,WR,"5'9⅛""",178,Hawai'i,Seattle
199,336,34,Gerri,Green,OLB,"6'4""",252,Mississippi State,Indianapolis
,337,34,Kiy,Hester,S,"5'11¾""",209,Rutgers,
,338,34,Azeez,Al-Shaair,ILB,"6'0⅝""",234,Florida Atlantic,
,339,34,Ryan,Davis,WR,"5'9⅞""",189,Auburn,
,340,33,Brian,Peavy,CB,"5'8¼""",192,Iowa State,
,341,33,Ed,Alexander,DT,"6'1¼""",319,LSU,
,342,33,Alec,Ingold,FB,"6'0¾""",242,Wisconsin,
,343,33,Sam,Mustipher,C,"6'2¾""",304,Notre Dame,
,344,33,Iosua,Opeta,OG,"6'4¼""",301,Weber State,
,345,33,Chris,Johnson,S,"6'2½""",202,North Alabama,
,346,33,Natrez,Patrick,ILB,"6'2½""",244,Georgia,
,347,33,Jamell,Garcia-Williams,DE,"6'7½""",255,UAB,
,348,33,Taiwan,Deal,RB,"6'0¼""",226,Wisconsin,
,349,33,Tyron,Johnson,WR,"6'0⅞""",193,Oklahoma State,
,350,33,Anthony,Ratliff-Williams,WR,"5'11⅝""",195,North Carolina,
,351,32,Alijah,Holder,CB,"6'0¾""",191,Stanford,
,352,32,Garrett,Brumfield,OG,"6'2⅝""",289,LSU,
,353,32,Zack,Bailey,OG,"6'5⅛""",299,South Carolina,
,354,32,BJ,Blunt,OLB,"6'0¼""",220,McNeese,
,355,32,Donald,Parham,TE,"6'8⅜""",240,Stetson,
,356,32,Delvon,Randall,S,"5'11⅜""",211,Temple,
,357,32,Nate,Hall,ILB,"6'2¼""",225,Northwestern,
207,358,32,Ulysees,Gilbert III,ILB,"6'0⅛""",224,Akron,Pittsburgh
,359,32,Jacques,Patrick,RB,"6'2""",226,Florida State,
,360,32,Jeff,Smith,WR,"6'0""",191,Boston College,
,361,32,Jesper,Horsted,WR,"6'3¾""",229,Princeton,
,362,31,Martez,Ivey,OG,"6'5""",315,Florida,
,363,31,Lester,Cotton Sr.,OG,"6'3¾""",325,Alabama,
,364,31,William,Sweet,OT,"6'6""",313,North Carolina,
,365,31,Joe,Giles-Harris,OLB,"6'1¾""",234,Duke,
221,366,31,Donnie,Lewis Jr.,CB,"6'0¼""",190,Tulane,Cleveland
,367,31,Brandon,Snyder,S,"5'11⅜""",216,South Dakota State,
