Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
2,1,97,Saquon,Barkley,RB,"6'0""",233,Penn State,NY Giants
5,2,95,Bradley,Chubb  ,DE,"6'4?""",269,NC State,Denver
6,3,95,Quenton,Nelson  ,OG,"6'5""",325,Notre Dame,Indianapolis
3,4,94,Sam,Darnold,QB,"6'3?""",221,USC,NY Jets
8,5,94,Roquan,Smith,OLB,"6'0?""",236,Georgia,Chicago
4,6,93,Denzel,Ward,CB,"5'10?""",183,Ohio State,Cleveland
17,7,93,Derwin,James,S,"6'1¾""",215,Florida State,Los Angeles
11,8,93,Minkah,Fitzpatrick,S,"6'0?""",204,Alabama,Miami
10,9,92,Josh,Rosen,QB,"6'4""",226,UCLA,Arizona
7,10,92,Josh,Allen,QB,"6'4?""",237,Wyoming,Buffalo
1,11,91,Baker,Mayfield  ,QB,"6'0?""",215,Oklahoma,Cleveland
16,12,91,Tremaine,Edmunds,OLB,"6'4½""",253,Virginia Tech,Buffalo
9,13,91,Mike,McGlinchey  ,OT,"6'7?""",309,Notre Dame,San Francisco
12,14,91,Vita,Vea,DT,"6'4""",347,Washington,Tampa Bay
13,15,91,Da'Ron,Payne,DT,"6'2½""",311,Alabama,Washington
14,16,91,Marcus,Davenport  ,DE,"6'5¾""",264,UTSA,New Orleans
18,17,90,Jaire,Alexander,CB,"5'10¼""",196,Louisville,Green Bay
39,18,90,James,Daniels,C,"6'3?""",306,Iowa,Chicago
22,19,90,Rashaan,Evans  ,ILB,"6'1?""",232,Alabama,Tennessee
26,20,90,Calvin,Ridley,WR,"6'0½""",189,Alabama,Atlanta
29,21,90,Taven,Bryan,DT,"6'5""",291,Florida,Jacksonville
24,22,89,D.J.,Moore,WR,"6'0""",210,Maryland,Carolina
30,23,89,Mike,Hughes,CB,"5'10?""",189,UCF,Minnesota
20,24,89,Frank,Ragnow  ,C,"6'5?""",312,Arkansas,Detroit
34,25,89,Will,Hernandez  ,OG,"6'2?""",327,UTEP,NY Giants
41,26,88,Harold,Landry  ,OLB,"6'2?""",252,Boston College,Tennessee
45,27,88,Josh,Jackson,CB,"6'0?""",196,Iowa,Green Bay
25,28,88,Hayden,Hurst,TE,"6'4½""",250,South Carolina,Baltimore
32,29,87,Lamar,Jackson,QB,"6'2¼""",216,Louisville,Baltimore
15,30,87,Kolton,Miller,OT,"6'8?""",309,UCLA,Las Vegas
31,31,87,Sony,Michel  ,RB,"5'10?""",214,Georgia,New England
19,32,86,Leighton,Vander Esch,ILB,"6'4¼""",256,Boise State,Dallas
21,33,86,Billy,Price  ,C,"6'3¾""",305,Ohio State,Cincinnati
35,34,86,Nick,Chubb  ,RB,"5'10?""",227,Georgia,Cleveland
59,35,86,Derrius,Guice,RB,"5'10½""",224,LSU,Washington
49,36,86,Dallas,Goedert  ,TE,"6'4?""",256,South Dakota State,Philadelphia
50,37,86,Connor,Williams,OG,"6'5?""",296,Texas,Dallas
23,38,85,Isaiah,Wynn  ,OG,"6'2?""",313,Georgia,New England
68,39,85,Justin,Reid,S,"6'0½""",207,Stanford,Houston
33,40,85,Austin,Corbett  ,OG,"6'4?""",306,Nevada,Cleveland
93,41,85,Ronnie,Harrison,S,"6'2""",207,Alabama,Jacksonville
47,42,85,Christian,Kirk,WR,"5'10?""",201,Texas A&M,Arizona
96,43,85,Harrison,Phillips  ,DT,"6'3¼""",307,Stanford,Buffalo
40,44,84,Courtland,Sutton,WR,"6'3?""",218,SMU,Denver
55,45,84,Donte,Jackson,CB,"5'10½""",178,LSU,Carolina
51,46,84,Anthony,Miller  ,WR,"5'11?""",201,Memphis,Chicago
27,47,84,Rashaad,Penny  ,RB,"5'11""",220,San Diego State,Seattle
61,48,84,D.J.,Chark  ,WR,"6'2?""",199,LSU,Jacksonville
48,49,83,Uchenna,Nwosu  ,OLB,"6'2?""",251,USC,Los Angeles
60,50,83,James,Washington  ,WR,"5'11""",213,Oklahoma State,Pittsburgh
42,51,83,Mike,Gesicki  ,TE,"6'5½""",247,Penn State,Miami
66,52,83,Lorenzo,Carter  ,OLB,"6'4?""",250,Georgia,NY Giants
54,53,83,Jessie,Bates III,S,"6'1?""",200,Wake Forest,Cincinnati
58,54,83,Isaiah,Oliver,CB,"6'0¼""",201,Colorado,Atlanta
153,55,83,Tyrell,Crosby  ,OT,"6'4?""",309,Oregon,Detroit
