Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
1,1,97,Jameis,Winston,QB,"6'3¾""",231,Florida State,Tampa Bay
6,2,96,Leonard,Williams,DE,"6'4?""",302,USC,NY Jets
4,3,94,Amari,Cooper,WR,"6'0?""",211,Alabama,Las Vegas
3,4,93,Dante,Fowler Jr.,DE,"6'2?""",261,Florida,Jacksonville
2,5,93,Marcus,Mariota,QB,"6'3¾""",222,Oregon,Tennessee
5,6,93,Brandon,Scherff  ,OT,"6'4?""",319,Iowa,Washington
7,7,93,Kevin,White  ,WR,"6'2?""",215,West Virginia,Chicago
10,8,92,Todd,Gurley,RB,"6'0?""",222,Georgia,Los Angeles
14,9,92,DeVante,Parker  ,WR,"6'2?""",209,Louisville,Miami
11,10,91,Trae,Waynes,CB,"6'0?""",186,Michigan State,Minnesota
13,11,91,Andrus,Peat,OT,"6'6?""",313,Stanford,New Orleans
17,12,91,Arik,Armstead,DE,"6'7?""",292,Oregon,San Francisco
9,13,90,Ereck,Flowers,OT,"6'6¼""",329,Miami,NY Giants
12,14,90,Danny,Shelton  ,DT,"6'2?""",339,Washington,Cleveland
16,15,90,Kevin,Johnson  ,CB,"6'0¼""",188,Wake Forest,Houston
19,16,90,Cameron,Erving  ,C,"6'5½""",313,Florida State,Cleveland
15,17,90,Melvin,Gordon,RB,"6'0?""",215,Wisconsin,Los Angeles
60,18,90,Randy,Gregory,OLB,"6'4?""",235,Nebraska,Dallas
32,19,90,Malcom,Brown,DT,"6'2?""",319,Texas,New England
26,20,90,Breshad,Perriman,WR,"6'2""",212,UCF,Baltimore
18,21,90,Marcus,Peters,CB,"5'11?""",197,Washington,Kansas City
,22,90,La'el,Collins  ,OT,"6'4½""",305,LSU,
20,23,89,Nelson,Agholor,WR,"6'0?""",198,USC,Philadelphia
22,24,89,Bud,Dupree  ,OLB,"6'4""",269,Kentucky,Pittsburgh
8,25,89,Vic,Beasley  ,OLB,"6'3""",246,Clemson,Atlanta
39,26,89,Eddie,Goldman,DT,"6'3?""",336,Florida State,Chicago
29,27,88,Phillip,Dorsett  ,WR,"5'9¾""",185,Miami,Indianapolis
37,28,88,Devin,Smith  ,WR,"6'0?""",196,Ohio State,NY Jets
45,29,88,Eric,Kendricks  ,ILB,"6'0¼""",232,UCLA,Minnesota
70,30,88,Jaelen,Strong,WR,"6'2?""",217,Arizona State,Houston
23,31,88,Shane,Ray,OLB,"6'2?""",245,Missouri,Denver
24,32,88,D.J.,Humphries,OT,"6'5""",307,Florida,Arizona
33,33,88,Landon,Collins,S,"6'0""",228,Alabama,NY Giants
79,34,88,Eli,Harold,OLB,"6'3?""",247,Virginia,San Francisco
21,35,88,Cedric,Ogbuehi  ,OT,"6'5¼""",306,Texas A&M,Cincinnati
110,36,88,T.J.,Clemmings  ,OT,"6'4¾""",309,Pittsburgh,Minnesota
27,37,88,Byron,Jones  ,CB,"6'0?""",199,UConn,Dallas
30,38,87,Damarious,Randall  ,S,"5'10?""",196,Arizona State,Green Bay
53,39,87,Jake,Fisher  ,OT,"6'6?""",306,Oregon,Cincinnati
41,40,87,Devin,Funchess,WR,"6'4¼""",232,Michigan,Carolina
48,41,87,Denzel,Perryman  ,ILB,"5'10¾""",236,Miami,Los Angeles
44,42,86,Hau'Oli,Kikaha  ,OLB,"6'2?""",253,Washington,New Orleans
38,43,86,Preston,Smith  ,DE,"6'4?""",271,Mississippi State,Washington
54,44,85,Ameer,Abdullah  ,RB,"5'8¾""",205,Nebraska,Detroit
42,45,85,Jalen,Collins,CB,"6'1½""",203,LSU,Atlanta
52,46,85,Jordan,Phillips,DT,"6'5¼""",329,Oklahoma,Miami
34,47,84,Donovan,Smith  ,OT,"6'5?""",338,Penn State,Tampa Bay
35,48,84,Mario,Edwards Jr.,DE,"6'2?""",279,Florida State,Las Vegas
55,49,83,Maxx,Williams,TE,"6'3?""",249,Minnesota,Baltimore
31,50,83,Stephone,Anthony  ,ILB,"6'2?""",243,Clemson,New Orleans
137,51,83,Grady,Jarrett  ,DT,"6'0¾""",304,Clemson,Atlanta
69,52,82,Tyler,Lockett  ,WR,"5'9?""",182,Kansas State,Seattle
28,53,82,Laken,Tomlinson  ,OG,"6'3?""",323,Duke,Detroit
47,54,82,Eric,Rowe  ,CB,"6'0¾""",205,Utah,Philadelphia
74,55,82,Owa,Odighizuwa  ,DE,"6'3½""",267,UCLA,NY Giants
180,56,82,Michael,Bennett  ,DT,"6'2""",293,Ohio State,Jacksonville
90,57,81,Carl,Davis  ,DT,"6'4?""",320,Iowa,Baltimore
78,58,81,P.J.,Williams,CB,"6'0""",194,Florida State,New Orleans
40,59,80,Dorial,Green-Beckham,WR,"6'5?""",237,Missouri,Tennessee
50,60,80,Ronald,Darby,CB,"5'10?""",193,Florida State,Buffalo
101,61,80,Trey,Flowers  ,DE,"6'2?""",266,Arkansas,New England
43,62,80,Benardrick,McKinney,ILB,"6'4?""",246,Mississippi State,Houston
68,63,80,Clive,Walford  ,TE,"6'4""",251,Miami,Las Vegas
36,64,79,T.J.,Yeldon,RB,"6'1¼""",226,Alabama,Jacksonville
77,65,78,Duke,Johnson,RB,"5'9?""",207,Miami,Cleveland
73,66,78,Tevin,Coleman,RB,"5'11?""",206,Indiana,Atlanta
51,67,78,Nate,Orchard  ,OLB,"6'3¼""",250,Utah,Cleveland
56,68,78,Senquez,Golson  ,CB,"5'8?""",176,Ole Miss,Pittsburgh
25,69,78,Shaq,Thompson,OLB,"6'0?""",228,Washington,Carolina
67,70,77,A.J.,Cann  ,OG,"6'2¾""",313,South Carolina,Jacksonville
62,71,77,Quinten,Rollins  ,CB,"5'11?""",195,Miami (OH),Green Bay
87,72,77,Sammie,Coates  ,WR,"6'1?""",212,Auburn,Pittsburgh
139,73,77,Rashad,Greene  ,WR,"5'11?""",182,Florida State,Jacksonville
99,74,77,Paul,Dawson  ,OLB,"6'0?""",235,TCU,Cincinnati
58,75,77,Markus,Golden  ,DE,"6'2?""",260,Missouri,Arizona
85,76,75,Tyler,Kroft,TE,"6'5½""",246,Rutgers,Cincinnati
93,77,75,Henry,Anderson  ,DE,"6'6¼""",294,Stanford,Indianapolis
107,78,73,Justin,Hardy  ,WR,"5'10¼""",192,East Carolina,Atlanta
,79,73,Anthony,Harris  ,S,"6'0?""",183,Virginia,
111,80,73,Tre,Jackson  ,OG,"6'3¾""",330,Florida State,New England
