Year,Player,FPTS
2016,Antonio Brown SUS,307.3
2016,Jordy Nelson,304.7
2016,Mike Evans,304.1
2016,Odell Beckham Jr.,296.6
2016,T.Y. Hilton,273.8
2016,Julio Jones,259.9
2016,Michael Thomas,255.7
2016,Doug Baldwin,253.6
2016,Davante Adams,246.7
2016,Brandin Cooks,246.3
2016,Larry Fitzgerald,243.8
2016,Michael Crabtree,239.3
2016,Jarvis Landry,231.3
2016,Amari Cooper,230.9
2016,Julian Edelman,230.3
2016,Demaryius Thomas,226.3
2016,Golden Tate,223.1
2016,Tyrell Williams,216.9
2016,Terrelle Pryor,213.44
2016,Emmanuel Sanders,212.6
2016,Rishard Matthews,211.5
2016,Mike Wallace,202.8
2016,Pierre Garcon,201.1
2016,Allen Robinson II,199.3
2016,Tyreek Hill,199
2016,DeAndre Hopkins,197.4
2016,Kelvin Benjamin,197.1
2016,Kenny Britt,196.2
2016,Adam Thielen,195.2
2016,Stefon Diggs,193.3
2016,Jamison Crowder,191.5
2016,Willie Snead IV,191.5
2016,Cole Beasley,189
2016,A.J. Green,186.4
2016,Brandon LaFell,186
2016,Sterling Shepard,184.4
2016,Steve Smith,183.9
2016,DeSean Jackson,180.5
2016,Dez Bryant,180
2016,Cameron Meredith,179.48
2016,Anquan Boldin,173.4
2016,Marqise Lee,172.4
2016,Marvin Jones Jr.,172.3
2016,Jordan Matthews,171.5
2016,Quincy Enunwa,169.8
2016,Kenny Stills,168.6
2016,Dontrelle Inman,163
2016,Ted Ginn Jr.,159
2016,Brandon Marshall,155.8
2016,DeVante Parker,154.4
2016,Mohamed Sanu Sr.,148.8
2016,Randall Cobb,148.3
2016,Tavon Austin,146.8
2016,Jeremy Kerley,146.7
2016,Alshon Jeffery PUP,146.1
2016,Taylor Gabriel,140
2016,JJ Nelson,139.1
2016,Adam Humphries,133
2016,Travis Benjamin,132.4
2016,Chris Hogan,128.9
2016,Eli Rogers,126
2016,Terrance Williams,125.4
2016,Tyler Lockett,124.1
2016,Tyler Boyd,124.1
2016,Will Fuller V,122.2
2016,Robert Woods,118.9
2016,Michael Floyd,115.8
2016,Brian Quick,115.4
2016,Robby Anderson,114.9
2016,Cordarrelle Patterson,113.6
2016,Seth Roberts,111.7
2016,Jeremy Maclin,109.5
2016,Tajaé Sharpe,105.3
2016,John Brown,103.7
2016,Donte Moncrief,102.6
2016,Victor Cruz,101.6
2016,Breshad Perriman,101.1
2016,Allen Hurns,100.7
2016,Phillip Dorsett II,98.8
2016,Jermaine Kearse,98.1
2016,Chris Conley,97
2016,Malcolm Mitchell,96.1
2016,Corey Coleman,93.3
2016,Marquise Goodwin,90.1
2016,Kendall Wright,90.1
2016,Nelson Agholor,87.9
2016,Dorial Green-Beckham,87.2
2016,Devin Funchess,86.1
2016,Andrew Hawkins,83.4
2016,Sammy Watkins,83
2016,Albert Wilson,81.9
2016,Eddie Royal,81.9
2016,Sammie Coates,77.9
2016,Quinton Patton,77.8
2016,Brandon Coleman,72.1
2016,Russell Shepard,70
2016,Danny Amendola,69.3
2016,Kamar Aiken,67.8
2016,Justin Hardy,65.3
2016,Torrey Smith,64.7
2016,Aldrick Robinson,64.3
2016,Corey Brown,59.2
2016,Bryan Walters,57.5
2016,Josh Bellamy PUP,56.9
2016,Deonte Thompson,56.9
2016,Paul Richardson,56.3
2016,Brice Butler,55.9
2016,Justin Hunter,52.9
2016,Cobi Hamilton,52.4
2016,Rod Streater,49.1
2016,Jordan Taylor,46.9
2016,Chester Rogers,46.3
2016,Andre Holmes,44.6
2016,Geronimo Allison,44.2
2016,Charone Peake,43.6
2016,Charles Johnson,43.2
2016,Darrius Heyward-Bey,41.4
2016,Eric Decker,40.4
2016,Jordan Norwood,39.4
2016,Kevin White,38.6
2016,Ricardo Louis,38.5
2016,Jalin Marshall,38.2
2016,Bennie Fowler,37.5
2016,Cody Core,37
2016,Andre Roberts,36.8
2016,Tanner McEvoy,36.72
2016,Jeff Janis,36.1
2016,Harry Douglas,36
2016,Jaron Brown,35.7
2016,Josh Huff,34.8
2016,Vincent Jackson,32.3
2016,Marquess Wilson,31
2016,Braxton Miller,30.9
2016,Andre Johnson,29.5
2016,Roger Lewis,28.7
2016,Freddie Martino,28.2
2016,Walter Powell,28.2
2016,Jaelen Strong,27.1
2016,Chris Harper,26.3
2016,Cecil Shorts,26.2
2016,Brandon Tate,24.5
2016,Jarius Wright,23.7
2016,Neal Sterling,23
2016,James Wright,23
2016,Arrelious Benn,22.6
2016,Pharoh Cooper,22.6
2016,Paul Turner,21.6
2016,Brittan Golden,20.2
2016,Greg Salas,18.9
2016,Markus Wheaton,17.1
2016,Keith Mumphery,16.9
2016,Ryan Grant,16.6
2016,Demarcus Ayers,16.1
2016,Tommylee Lewis,15.7
2016,Cody Latimer,15.6
2016,Maurice Harris,14.6
2016,TJ Jones,14.3
2016,Lucky Whitehead,14
2016,Aaron Burbridge,13.8
2016,Jeremy Ross,13.7
2016,Rashard Higgins,13.7
2016,Chris Moore,13.5
2016,De'Anthony Thomas,13.4
2016,Alex Erickson,13.1
2016,Keenan Allen,12.3
2016,Leonte Carroo,11.9
2016,Bryce Treggs,11.7
2016,Wendall Williams,11.5
2016,Nick Williams,10.9
2016,Trevor Davis,9.4
2016,Josh Doctson,8.6
2016,Johnny Holton,7.7
2016,Quan Bray,7.3
2016,Michael Campanaro,7.2
2016,Ifeanyi Momah,7
2016,Tavarres King,7
2016,Bradley Marquez,6.9
2016,Dwayne Harris,6.3
