Year,Player,FPTS
2010,Roddy White,316.2
2010,Brandon Lloyd,286
2010,Reggie Wayne,280.5
2010,Dwayne Bowe,278.6
2010,Greg Jennings,274.4
2010,Calvin Johnson,266.2
2010,Andre Johnson,256.6
2010,Hakeem Nicks,250.2
2010,Mike Wallace,249.6
2010,Steve Johnson,247.3
2010,Larry Fitzgerald,241.7
2010,Santana Moss,235.9
2010,Miles Austin,228.4
2010,Marques Colston,228.3
2010,Jeremy Maclin,228
2010,Terrell Owens,224.3
2010,Mike Williams,221.5
2010,Wes Welker,213.8
2010,Mario Manningham,206.6
2010,Percy Harvin,204.5
2010,Brandon Marshall,203.7
2010,DeSean Jackson,203
2010,Lance Moore,188.3
2010,Anquan Boldin,187.66
2010,Davone Bess,186.7
2010,Braylon Edwards,185.8
2010,Derrick Mason,183.2
2010,Pierre Garcon,182
2010,Danny Amendola,178
2010,Mike Thomas,177.4
2010,Deion Branch,176.8
2010,Johnny Knox,175.2
2010,Chad Johnson,174.1
2010,Kenny Britt,173.5
2010,Austin Collie,168.9
2010,Michael Crabtree,165.1
2010,Jabar Gaffney,164.5
2010,Hines Ward,162.3
2010,Santonio Holmes,160.3
2010,Nate Burleson,157.6
2010,Mike Williams,152.1
2010,Anthony Armstrong,147.1
2010,Nate Washington,145.9
2010,James Jones,145.9
2010,Malcom Floyd,144.7
2010,Kevin Walter,143.1
2010,Eddie Royal,141.8
2010,Mike Sims-Walker,139.2
2010,Robert Meachem,139.2
2010,Dez Bryant,135.1
2010,Steve Breaston,134.98
2010,Jordan Shipley,130
2010,Brandon Gibson,129.8
2010,Donald Driver,129.5
2010,Jacoby Jones,127.9
2010,Josh Morgan,125.5
2010,Earl Bennett,121
2010,Steve Smith,118.9
2010,Roy Williams,118
2010,Lee Evans,116.8
2010,Jason Avant,116.3
2010,Louis Murphy,116.2
2010,Devin Hester,114.5
2010,Brian Hartline,111.2
2010,Steve Smith,110.3
2010,Jacoby Ford,109.5
2010,Jordy Nelson,109.2
2010,Ben Obomanu,109.1
2010,David Gettis,106
2010,Michael Jenkins,103.5
2010,Blair White,101.5
2010,Mohamed Massaquoi,99.16
2010,Randy Moss,97.3
2010,Brandon LaFell,96.8
2010,Jerricho Cotchery,96
2010,Brandon Tate,89.4
2010,TJ Houshmandzadeh,87.8
2010,Roscoe Parrish,87.3
2010,Devery Henderson,87.2
2010,Patrick Crayton,85.4
2010,David Nelson,84.3
2010,Arrelious Benn,80
2010,Laurent Robinson,79
2010,Brian Robiskie,78
2010,Chansi Stuckey,77.5
2010,Emmanuel Sanders,75.6
2010,Darrius Heyward-Bey,71.4
2010,Brandon Stokley,66.4
2010,Mark Clayton,66.2
2010,Legedu Naanee,65.9
2010,Joshua Cribbs,65.56
2010,Andre Roberts,64.7
2010,Jerome Simpson,61.9
2010,Early Doucet,61.6
2010,Demaryius Thomas,58.4
2010,Vincent Jackson,58.2
2010,Andre Caldwell,57.3
2010,Antwaan Randle El,57.18
2010,Sidney Rice,57
2010,Harry Douglas,56.9
2010,Danario Alexander,56.6
2010,Brian Finneran,53.6
2010,Craig Davis,52.9
2010,Justin Gage,52.6
2010,Bernard Berrian,52.4
2010,Derek Hagan,52.3
2010,Micheal Spurlock,52
2010,Seyi Ajirotutu,51.2
2010,Greg Camarillo,50
2010,Chris Chambers,49.3
2010,Sammie Stroughter,48
2010,Brad Smith,46.54
2010,Donald Jones,45.4
2010,Golden Tate,44.1
2010,Jason Hill,41.8
2010,Bryant Johnson,41
2010,Damian Williams,38.4
2010,Greg Lewis,36.7
2010,Kelley Washington,36.3
2010,Ted Ginn Jr.,35.4
2010,Terrance Copper,33.7
2010,Antonio Brown SUS,32.7
2010,Chad Hall,31.4
2010,Joey Galloway,29.3
2010,Ruvell Martin,28.8
2010,Marlon Moore,26.4
2010,Sam Hurd,26
2010,Devin Aromashodu,24.9
2010,Riley Cooper,24.6
2010,Verran Tucker,23.4
2010,Rashied Davis,23.4
2010,Naaman Roosevelt,23.2
2010,David Anderson,22.7
2010,Max Komar,21.7
2010,Dezmon Briscoe,21.3
2010,Maurice Stovall,21.1
2010,Eric Decker,20.6
2010,JohnnieLee Higgins,20.3
2010,David Clowney,19.4
2010,Tiquan Underwood,19.1
2010,Stephen Williams,19.1
2010,Roydell Williams,18.9
2010,Dominique Zeigler,18.8
2010,Kassim Osgood,18
2010,Julian Edelman,17
2010,Chaz Schilens,15
2010,Adrian Arrington,14.9
2010,Brett Swain,13.2
2010,Donte' Stallworth,12.7
2010,Roberto Wallace,12.2
2010,Eric Weems,12.1
2010,Anthony Gonzalez,11.7
2010,Ramses Barden,11.4
2010,Lavelle Hawkins,11.1
2010,Mardy Gilyard,10.3
2010,B James,10
2010,Preston Parker,8.9
2010,Terrence Austin,7.7
2010,Stefan Logan,7.5
2010,Taylor Price,7.1
2010,Kevin Ogletree,6.4
2010,Dwayne Jarrett,6
2010,Derrick Williams,6
2010,Nick Miller,5
2010,Patrick Turner,4.6
2010,Michael Clayton,3.9
2010,DeMarco Cosby,3.6
2010,Brandon Banks,3.6
2010,Yamon Figurs,3.3
2010,Hank Baskett,2.8
2010,Matt Willis,2.7
2010,K Curtis,2.2
2010,Paul Hubbard,1.8
2010,Kyle Williams,1.8
2010,Sam Aiken,1.7
2010,Manuel Johnson,1.6
2010,David Reed,1.5
2010,Richard Goodman,1.5
2010,Duke Calhoun,1.4
2010,G Banks,1.2
2010,Carlton Mitchell,0.9
2010,Armanti Edwards,0.7
