Year,Player,FPTS
2008,Andre Johnson,320.5
2008,Larry Fitzgerald,311.1
2008,Calvin Johnson,281
2008,Roddy White,266.6
2008,Greg Jennings,265.2
2008,Brandon Marshall,260.1
2008,Anquan Boldin,259.5
2008,Steve Smith,258.1
2008,Antonio Bryant,250
2008,Wes Welker,248.1
2008,Terrell Owens,235.5
2008,Reggie Wayne,234.5
2008,Randy Moss,231.8
2008,Dwayne Bowe,230.2
2008,Eddie Royal,229.9
2008,Lance Moore,229.8
2008,Hines Ward,227.7
2008,Santana Moss,220.1
2008,Vincent Jackson,215.7
2008,Derrick Mason,214
2008,TJ Houshmandzadeh,207.3
2008,Donald Driver,205.6
2008,Kevin Walter,200.2
2008,Laveranues Coles,197.9
2008,Steve Breaston,196.4
2008,Jerricho Cotchery,187.6
2008,Bernard Berrian,187
2008,Isaac Bruce,186.2
2008,Muhsin Muhammad,185.3
2008,Lee Evans,184.9
2008,DeSean Jackson,174.8
2008,Ted Ginn Jr.,166.3
2008,Santonio Holmes,166
2008,Braylon Edwards,164.3
2008,Torry Holt,161.6
2008,Marques Colston,153
2008,Marvin Harrison,151.6
2008,Donnie Avery,151.3
2008,M Jones,151.1
2008,Mark Clayton,147.88
2008,Michael Jenkins,147.7
2008,Anthony Gonzalez,147.4
2008,Antwaan Randle El,140.64
2008,Devin Hester,137.6
2008,Justin Gage,135.1
2008,Devery Henderson,132.6
2008,Chad Johnson,131
2008,Bobby Wade,129.5
2008,Greg Camarillo,128.4
2008,Nate Washington,122.9
2008,Josh Reed,121.7
2008,Steve Smith,120.4
2008,Brandon Stokley,119.8
2008,Domenik Hixon,119.2
2008,Patrick Crayton,119.1
2008,B Johnson,117.6
2008,Davone Bess,114.7
2008,Dennis Northcutt,109.4
2008,I Hilliard,109.4
2008,Chris Chambers,109.3
2008,Plaxico Burress,104.4
2008,Jerheme Urban,103.52
2008,Rashied Davis,98.9
2008,Jabar Gaffney,98.8
2008,Malcom Floyd,97.5
2008,Bobby Engram,95.9
2008,Brandon Jones,95.4
2008,Deion Branch,95.2
2008,Hank Baskett,95
2008,Roy Williams,92.3
2008,Mark Bradley,91.48
2008,R Williams,91.4
2008,Michael Clayton,90.9
2008,Chansi Stuckey,86
2008,JohnnieLee Higgins,84
2008,Kevin Curtis,84
2008,K Robinson,82.6
2008,Jason Avant,81.7
2008,Jordy Nelson,81.6
2008,B Lloyd,76.4
2008,Jason Hill,74.2
2008,Harry Douglas,71.9
2008,Josh Morgan,69.9
2008,J McCareins,68
2008,Robert Meachem,66.9
2008,D Looker,60.78
2008,Miles Austin,58.8
2008,Arnaz Battle,57.6
2008,David Anderson,55.1
2008,James Jones,53.4
2008,Sidney Rice,53.1
2008,Chris Henry,53
2008,Roscoe Parrish,52.1
2008,Reggie Brown,49.8
2008,G Lewis,49.7
2008,Chaz Schilens,49.4
2008,R Curry,49.2
2008,D O'Neal,48
2008,Devard Darling,47.7
2008,M Booker,47.4
2008,A Lelie,42.7
2008,Brian Finneran,41.9
2008,Javon Walker,40.6
2008,Donte' Stallworth,39.6
2008,Sinorice Moss,39.3
2008,Antonio Chatman,38.8
2008,Devin Thomas,38.3
2008,Ruvell Martin,37.9
2008,Mike Sims-Walker,37.7
2008,John Standeford,37.4
2008,D Jackson,37
2008,Keenan Burton,37
2008,Damian Williams,37
2008,Mike Furrey,36.1
2008,Syndric Steptoe,35.2
2008,J Porter,35.1
2008,Andre Davis,34.3
2008,D Patten,33.2
2008,Joshua Cribbs,32.82
2008,Steve Johnson,32.8
2008,J Hardy,29.7
2008,D Hackett,29.1
2008,Brad Smith,28.42
2008,W Demps,27
2008,Joey Galloway,26.8
2008,Andre Caldwell,24.1
2008,D Hall,23.4
2008,J Thrash,23.1
2008,Early Doucet,23
2008,Dwayne Jarrett,21.9
2008,A Allison,21
2008,Derek Stanley,19.9
2008,J Owens,19.6
2008,Courtney Taylor,18.8
2008,K Colbert,18.2
2008,Sam Aiken,18.1
2008,Billy McMullen,17.4
2008,Nate Burleson,17
2008,Legedu Naanee,16.4
2008,W Franklin,15.3
2008,Dominique Zeigler,14.7
2008,Troy Williamson,14.1
2008,Michael Bumpus,13.8
2008,Lavelle Hawkins,13.8
2008,K Colbert,11.4
2008,Yamon Figurs,11.3
2008,Limas Sweed,10.4
2008,Laurent Robinson,10.2
2008,Craig Davis,9.9
2008,A Becht,9.9
2008,G Holt,9.6
2008,Jeff Webb,9.6
2008,Jacoby Jones,8.6
2008,D Hagan,8.1
2008,J Tuman,7.1
2008,Logan Payne,6.9
2008,Pierre Garcon,6.3
2008,Glenn Martinez,6.2
2008,Brandon London,6
2008,G Wrighster,5.5
2008,R Ferguson,5.5
2008,Mario Manningham,5.4
2008,Mark Jones,5.2
2008,Chris Davis,5.1
2008,Malcolm Kelly,4.8
2008,D Clowney,3.6
2008,Maurice Stovall,3.5
2008,B Middleton,3.3
2008,Chad Jackson,2.9
2008,S Sanders,2.8
2008,Brian Clark,2.2
2008,M Hagans,2.1
2008,Roy Hall,1.9
2008,Paul Williams,1.7
2008,Dallas Baker,1.6
2008,Eric Weems,1.4
2008,D Bennett,1.4
2008,Kelley Washington,1.3
2008,Jerome Simpson,1.2
