Year,Player,FPTS
2012,Calvin Johnson,342.4
2012,Brandon Marshall,334.6
2012,A.J. Green,299.8
2012,Dez Bryant,299.7
2012,Andre Johnson,295.8
2012,Demaryius Thomas,291.4
2012,Wes Welker,289.4
2012,Eric Decker,269.4
2012,Roddy White,269.1
2012,Reggie Wayne,269
2012,Julio Jones,261.8
2012,Vincent Jackson,260.4
2012,Victor Cruz,255.2
2012,Marques Colston,254.4
2012,Michael Crabtree,250.3
2012,Randall Cobb,234.6
2012,James Jones,226.4
2012,Mike Williams,217.72
2012,Steve Johnson,217.6
2012,Steve Smith,215.1
2012,Lance Moore,205.1
2012,Brandon Lloyd,195.1
2012,Jeremy Maclin,194.7
2012,Mike Wallace,194.3
2012,Miles Austin,194.3
2012,Cecil Shorts,192.5
2012,Brian Hartline,186.3
2012,Justin Blackmon,184.8
2012,Torrey Smith,183.4
2012,Anquan Boldin,183.4
2012,T.Y. Hilton,181
2012,Larry Fitzgerald,174.8
2012,Andre Roberts,172.8
2012,Antonio Brown SUS,171.1
2012,Sidney Rice,168.4
2012,Jordy Nelson,167.5
2012,Malcom Floyd,167.4
2012,Denarius Moore,166.6
2012,Percy Harvin,161.3
2012,Golden Tate,160.72
2012,Josh Gordon SUS,158.5
2012,Donnie Avery,157
2012,Dwayne Bowe,155.1
2012,Brandon Gibson,150.1
2012,Kendall Wright,149
2012,Jeremy Kerley,147.18
2012,Danny Amendola,146.4
2012,Santana Moss,145.7
2012,Danario Alexander,144.8
2012,Davone Bess,144.8
2012,Nate Washington,144.6
2012,Greg Little,143.2
2012,Hakeem Nicks,140.2
2012,Brandon LaFell,139.2
2012,Pierre Garcon,138.2
2012,Darrius Heyward-Bey,133.2
2012,Chris Givens,133
2012,Andrew Hawkins,131.3
2012,Brandon Stokley,129.4
2012,Kenny Britt,127.9
2012,DeSean Jackson,126.3
2012,Josh Morgan,119.5
2012,Jason Avant,117.8
2012,Rod Streater,115.4
2012,Michael Floyd,111.2
2012,Leonard Hankerson,110.8
2012,Donald Jones,109.3
2012,Emmanuel Sanders,109
2012,Domenik Hixon,107.7
2012,Kevin Walter,104.8
2012,Kevin Ogletree,100.5
2012,Mario Manningham,97.3
2012,Titus Young,96.9
2012,Michael Jenkins,96.9
2012,Greg Jennings,96.6
2012,Randy Moss,89.4
2012,Harry Douglas,83.9
2012,Doug Baldwin,83.6
2012,Tiquan Underwood,82.6
2012,Austin Pettis,80.1
2012,Alshon Jeffery PUP,78.7
2012,Earl Bennett,78.5
2012,Jacoby Jones,77.2
2012,Louis Murphy,70.9
2012,Nate Burleson,69.8
2012,TJ Graham,69.7
2012,Chaz Schilens,66.9
2012,Rueben Randle,66.8
2012,Jarius Wright,66.1
2012,Joseph Morgan,66
2012,Riley Cooper,65.8
2012,Julian Edelman,65
2012,Ryan Broyles,65
2012,Travis Benjamin,64.4
2012,Stephen Hill,64.2
2012,Mohamed Sanu Sr.,63.82
2012,Damian Williams,62.4
2012,Devery Henderson,60.9
2012,Jonathan Baldwin,58.5
2012,Brad Smith,56.8
2012,Armon Binns,55.7
2012,Eddie Royal,54.6
2012,Aldrick Robinson,54.1
2012,Devin Hester,53.8
2012,Jordan Shipley,51.4
2012,Jerome Simpson,51.4
2012,Santonio Holmes,51.2
2012,Early Doucet,49.6
2012,Micheal Spurlock,49
2012,Marvin Jones Jr.,48.8
2012,Dwayne Harris,47.2
2012,Laurent Robinson,47.2
2012,Robert Meachem,46.1
2012,Derek Hagan,45.9
2012,Braylon Edwards,43.9
2012,Kyle Williams,43.3
2012,Mohamed Massaquoi,42.4
2012,Damaris Johnson,41.8
2012,Mike Thomas,40.5
2012,Clyde Gates,39.6
2012,Juron Criner,39.1
2012,Brian Quick,38.6
2012,Brandon Tate,38.1
2012,Jerricho Cotchery,37.5
2012,Ramses Barden,36
2012,LaVon Brazill,33.6
2012,Deion Branch,30.5
2012,Keshawn Martin,29.8
2012,Devin Aromashodu,29.2
2012,Cole Beasley,27.8
2012,Donald Driver,27.7
2012,Lestar Jean,27.1
2012,Steve Smith,27.1
2012,Jordan Norwood,26.8
2012,Terrelle Pryor,26.5
2012,Kris Durham,26.5
2012,Rishard Matthews,26.1
2012,Tandon Doss,25.3
2012,Marlon Moore,24.5
2012,Kevin Elliott,20.8
2012,Matt Willis,19
2012,Josh Cooper,18.6
2012,Armanti Edwards,17.1
2012,Terrance Copper,16
2012,Stephen Burton,14.5
2012,Brian Robiskie,14.4
2012,DeVier Posey,14.4
2012,Steve Breaston,14.4
2012,Drew Davis,14
2012,Kealoha Pilares,13.9
2012,Donte' Stallworth,13.3
2012,Plaxico Burress,13.2
2012,Brandon Banks,13.1
2012,Jamar Newsome,12.3
2012,Ryan Whalen,12.3
2012,David Reed,11.6
2012,Joshua Cribbs,11.5
2012,Devon Wylie,11.3
2012,Lavelle Hawkins,11.2
2012,Ben Obomanu,10.9
2012,Michael Preston,10.9
2012,Jabar Gaffney,10.8
2012,Jason Hill,9.5
2012,Greg Camarillo,8.4
2012,Charly Martin,8.2
2012,Arrelious Benn,8.2
2012,Ruvell Martin,8.1
2012,Deonte Thompson,8.1
2012,Jarrett Boykin,7.7
2012,Seyi Ajirotutu,7.5
2012,Toney Clemons,7.1
2012,Stefan Logan,6.5
2012,Jermaine Kearse,6.1
2012,Jerrel Jernigan,5.8
2012,David Nelson,5.1
2012,Eric Weems,4.7
2012,Kris Adams,4.6
2012,Dezmon Briscoe,4.3
2012,Andre Caldwell,4.2
2012,Anthony Armstrong,4.2
2012,Mardy Gilyard,3.5
2012,Chris Owusu,3.4
2012,Andre Holmes,3.1
2012,Sammie Stroughter,2.4
2012,Jordan White,2.3
2012,Courtney Roby,1.9
2012,LaRon Byrd,1.8
2012,Dane Sanzenbacher,1.7
2012,Trindon Holliday,1.7
2012,Austin Collie,1.6
2012,Legedu Naanee,0.9
2012,Ted Ginn Jr.,0.8
2012,Preston Parker,0.7
2012,David Gilreath,0.7
2012,Nathan Palmer,0.6
