Year,Player,FPTS
2009,Andre Johnson,314.9
2009,Randy Moss,287.4
2009,Wes Welker,285.4
2009,Reggie Wayne,284.4
2009,Larry Fitzgerald,284.2
2009,Miles Austin,278.8
2009,Brandon Marshall,276.9
2009,Steve Smith,271
2009,Roddy White,266.5
2009,Sidney Rice,260.2
2009,DeSean Jackson,249.3
2009,Hines Ward,245.7
2009,Vincent Jackson,239.8
2009,Santonio Holmes,232.4
2009,Chad Johnson,229.9
2009,Marques Colston,228
2009,Derrick Mason,218
2009,Anquan Boldin,213.6
2009,Donald Driver,211.4
2009,Steve Smith,209.4
2009,Greg Jennings,207.3
2009,Calvin Johnson,198.7
2009,Mike Sims-Walker,189.9
2009,Percy Harvin,188.5
2009,TJ Houshmandzadeh,186.1
2009,Terrell Owens,179.3
2009,Robert Meachem,177.4
2009,Santana Moss,177
2009,Austin Collie,169.7
2009,Mario Manningham,167.2
2009,Jerricho Cotchery,163.8
2009,Hakeem Nicks,162.8
2009,Davone Bess,158.9
2009,Nate Burleson,158.6
2009,Jeremy Maclin,156.6
2009,Mike Wallace,153.4
2009,Devin Hester,148.6
2009,Pierre Garcon,148.5
2009,Chris Chambers,148
2009,Lee Evans,147.2
2009,Steve Breaston,146.6
2009,Devery Henderson,144.7
2009,Nate Washington,141.4
2009,Bernard Berrian,140.8
2009,Earl Bennett,139.7
2009,Jabar Gaffney,139.2
2009,Roy Williams,137.6
2009,Braylon Edwards,137
2009,Donnie Avery,134.9
2009,Patrick Crayton,130
2009,Dwayne Bowe,129.9
2009,Josh Morgan,128.8
2009,Kevin Walter,128.7
2009,Malcom Floyd,128.6
2009,Kenny Britt,128.1
2009,Laveranues Coles,125.4
2009,Johnny Knox,123.7
2009,Antonio Bryant,123
2009,Torry Holt,121.2
2009,Michael Crabtree,120.5
2009,Jason Avant,119.7
2009,Michael Jenkins,119.5
2009,Muhsin Muhammad,117.1
2009,Louis Murphy,113.2
2009,Mohamed Massaquoi,112.1
2009,Andre Caldwell,110.4
2009,Jacoby Jones,108.9
2009,Brian Hartline,108.5
2009,James Jones,106
2009,Mike Thomas,105.9
2009,Greg Camarillo,105.2
2009,Deion Branch,99.9
2009,Antwaan Randle El,99
2009,Mark Clayton,94.8
2009,Bryant Johnson,94.7
2009,Ted Ginn Jr.,94.2
2009,Kelley Washington,89.2
2009,Bobby Wade,85.8
2009,Justin Gage,84.3
2009,Julian Edelman,79.4
2009,Danny Amendola,79.4
2009,Joshua Cribbs,78.32
2009,Devin Aromashodu,77.8
2009,Chaz Schilens,77.5
2009,Brandon Stokley,75.7
2009,Devin Thomas,75.3
2009,David Anderson,75
2009,Dennis Northcutt,74.7
2009,Chansi Stuckey,74.4
2009,Brandon Gibson,72.8
2009,Eddie Royal,71.6
2009,Mark Bradley,71.04
2009,Sammie Stroughter,70.4
2009,Maurice Stovall,66.6
2009,Sam Aiken,64.6
2009,Jordy Nelson,64
2009,Legedu Naanee,61.74
2009,Josh Reed,60.1
2009,Malcolm Kelly,59.7
2009,Keenan Burton,50.3
2009,Chris Henry,47.6
2009,Michael Clayton,47
2009,Isaac Bruce,46.6
2009,JohnnieLee Higgins,45.4
2009,Early Doucet,44.4
2009,Dwayne Jarrett,42.6
2009,Lance Moore,41.3
2009,Brad Smith,41.08
2009,Marty Booker,40.8
2009,Mike Furrey,40
2009,David Clowney,39.2
2009,Lance Long,37.7
2009,Jerheme Urban,36.6
2009,Laurent Robinson,35.7
2009,Domenik Hixon,35.7
2009,Jason Hill,30
2009,Darrius Heyward-Bey,29.3
2009,Damian Williams,28.2
2009,Sam Hurd,25.1
2009,Eric Weems,24.3
2009,Reggie Brown,24.2
2009,Derek Hagan,24.1
2009,Greg Lewis,23.6
2009,Brian Finneran,22.1
2009,Brandon Lloyd,19.7
2009,Nate Hughes,18
2009,Lavelle Hawkins,18
2009,Brian Robiskie,17.6
2009,Kevin Ogletree,17.2
2009,Todd Watkins,17
2009,Jarett Dillard,16.6
2009,Ruvell Martin,15.9
2009,Kevin Curtis,13.7
2009,Joey Galloway,13.7
2009,Brian Clark,12.5
2009,Andre Davis,11.9
2009,Craig Davis,11.6
2009,Bobby Engram,11.1
2009,Terrance Copper,10.8
2009,Kenny Moore,9.9
2009,Derrick Williams,9.6
2009,DeMarco Cosby,9.3
2009,Rashied Davis,8.5
2009,Hank Baskett,8.4
2009,Marko Mitchell,7.2
2009,Sinorice Moss,6.8
2009,Ben Obomanu,6.1
2009,Arnaz Battle,5
2009,Troy Williamson,4.4
2009,Wallace Wright,4.1
2009,Steve Johnson,3
2009,Brandon Jones,2.8
2009,Kassim Osgood,2.7
2009,Ramses Barden,2.6
2009,Tyler Grisham,2.4
2009,Jaymar Johnson,1.9
2009,James Hardy,1.9
2009,Mark Jones,1.9
2009,Tim Carter,1.6
2009,Charly Martin,1.6
2009,John Standeford,1.5
2009,Limas Sweed,1.5
2009,Jordan Kent,1.5
2009,Yamon Figurs,1.5
2009,Brandon Tate,1.1
2009,Roscoe Parrish,0.8
2009,Matthew Slater,0.6
2009,Micheal Spurlock,0.3
