Year,Player,FPTS
2015,Antonio Brown SUS,382.2
2015,Julio Jones,381.1
2015,Brandon Marshall,339.2
2015,DeAndre Hopkins,331.1
2015,Odell Beckham Jr.,319.3
2015,Allen Robinson II,304
2015,Larry Fitzgerald,280.5
2015,A.J. Green,273.7
2015,Jarvis Landry,269.36
2015,Doug Baldwin,268.9
2015,Demaryius Thomas,267.4
2015,Calvin Johnson,261.4
2015,Brandin Cooks,253.6
2015,Eric Decker,252.7
2015,Jeremy Maclin,243.2
2015,Michael Crabtree,231.2
2015,Jordan Matthews,230.7
2015,Allen Hurns,225.1
2015,Emmanuel Sanders,224.4
2015,Sammy Watkins,218.8
2015,Amari Cooper,212.7
2015,T.Y. Hilton,211.4
2015,Mike Evans,210.6
2015,Golden Tate,209.4
2015,Randall Cobb,208.9
2015,John Brown,207.5
2015,Kamar Aiken,197.4
2015,Tavon Austin,192.7
2015,Travis Benjamin,191.8
2015,James Jones,191
2015,Pierre Garcon,185.7
2015,Rueben Randle,184.7
2015,Ted Ginn Jr.,183.9
2015,Willie Snead IV,183.4
2015,Marvin Jones Jr.,173.9
2015,Donte Moncrief,173.3
2015,Michael Floyd,172.9
2015,Julian Edelman,172.5
2015,Martavis Bryant SUS,170.2
2015,Anquan Boldin,169.9
2015,Keenan Allen,161.5
2015,Alshon Jeffery PUP,158.7
2015,Terrance Williams,154
2015,Tyler Lockett,153.4
2015,Markus Wheaton,150.9
2015,Stefon Diggs,149.3
2015,Danny Amendola,148.34
2015,Jermaine Kearse,147.5
2015,Nate Washington,136.8
2015,Rishard Matthews,133.6
2015,Jamison Crowder,133.6
2015,Cole Beasley,131.6
2015,Steve Smith,131
2015,Torrey Smith,125.3
2015,Kenny Britt,122.1
2015,Marques Colston,121
2015,Robert Woods,118.2
2015,Andre Johnson,115.3
2015,Dorial Green-Beckham,112.9
2015,Steve Johnson,112.7
2015,Seth Roberts,112
2015,Brian Hartline,110.3
2015,Cecil Shorts,109.94
2015,Vincent Jackson,107.3
2015,Jerricho Cotchery,107.1
2015,Devin Funchess,106.3
