Year,Player,FPTS
2013,Demaryius Thomas,319
2013,Josh Gordon SUS,314.4
2013,Antonio Brown SUS,308.9
2013,A.J. Green,306.6
2013,Brandon Marshall,305.5
2013,Calvin Johnson,303.2
2013,Dez Bryant,292.4
2013,Alshon Jeffery PUP,283.6
2013,Eric Decker,279.8
2013,Andre Johnson,279.7
2013,Pierre Garcon,277.5
2013,DeSean Jackson,269.4
2013,Jordy Nelson,264.4
2013,Julian Edelman,251.7
2013,Anquan Boldin,246
2013,Vincent Jackson,242.4
2013,Larry Fitzgerald,236.2
2013,T.Y. Hilton,220.9
2013,Keenan Allen,219.6
2013,Kendall Wright,213.9
2013,Wes Welker,208.8
2013,Torrey Smith,203.8
2013,Brian Hartline,201.6
2013,Harry Douglas,199.7
2013,Mike Wallace,199.3
2013,Marques Colston,199.3
2013,Michael Floyd,199.1
2013,Victor Cruz,194.8
2013,Marvin Jones Jr.,188.7
2013,Golden Tate,186.9
2013,Riley Cooper,184.3
2013,Emmanuel Sanders,181.5
2013,Rod Streater,172.5
2013,Greg Jennings,172.4
2013,Nate Washington,167.9
2013,Jerricho Cotchery,165.7
2013,Steve Smith,162.5
2013,Cecil Shorts,161.7
2013,Doug Baldwin,158.4
2013,Eddie Royal,158.2
2013,James Jones,156.7
2013,Dwayne Bowe,154.3
2013,Roddy White,150.1
2013,Cordarrelle Patterson,149.7
2013,Terrance Williams,146
2013,Hakeem Nicks,145.6
2013,Denarius Moore,145.5
2013,Marlon Brown,145.2
2013,Terrelle Pryor,143.52
2013,Brandon LaFell,143.2
2013,DeAndre Hopkins,142.2
2013,Jarrett Boykin,141.1
2013,Rueben Randle,136.1
2013,Steve Johnson,130.7
2013,Danny Amendola,129.4
2013,Kenny Stills,127.1
2013,Jerome Simpson,126.6
2013,Tavon Austin,124.9
2013,Ted Ginn Jr.,124.5
2013,Robert Woods,120.3
2013,Jeremy Kerley,114.4
2013,Aaron Dobson,112.9
2013,Ace Sanders,110.64
2013,Donnie Avery,110.2
2013,Julio Jones,109.7
2013,Randall Cobb,106.1
2013,Mohamed Sanu Sr.,105.1
2013,Reggie Wayne,102.8
2013,Kenbrell Thompkins,102.6
2013,Andre Roberts,102.1
2013,Austin Pettis,101.9
2013,Greg Little,99.5
2013,Rishard Matthews,97.8
2013,Santana Moss,97.7
2013,Kris Durham,97
2013,Jacoby Jones,94.5
2013,Vincent Brown,94.2
2013,Lance Moore,92.7
2013,Jason Avant,92.7
2013,Tiquan Underwood,92
2013,David Nelson,90.3
2013,Nate Burleson,90.3
2013,Davone Bess,90.2
2013,Chris Givens,89.7
2013,Cole Beasley,87.8
2013,Jarius Wright,87.4
2013,Mike Brown,86.6
2013,Leonard Hankerson,85.5
2013,Jerrel Jernigan,83.6
2013,Earl Bennett,82.3
2013,Brandon Gibson,80.6
2013,Jermaine Kearse,78.6
2013,Justin Hunter,77.4
2013,Justin Blackmon,76.4
2013,Santonio Holmes,74.6
2013,Andre Holmes,74.1
2013,TJ Graham,70.5
2013,Darrius Heyward-Bey,68.5
2013,Aldrick Robinson,66.1
2013,Marquise Goodwin,62.6
2013,Stephen Hill,62.2
2013,Griff Whalen,61.9
2013,Robert Meachem,60.3
2013,Brian Quick,60.2
2013,Kevin Ogletree,59.9
2013,Keshawn Martin,57.3
2013,Mike Williams,55.6
2013,Andre Caldwell,54.7
2013,Sidney Rice,54.1
2013,Michael Crabtree,53.4
2013,Kerry Taylor,50.9
2013,Stedman Bailey,48.9
2013,Miles Austin,48.4
2013,Tandon Doss,47.5
2013,Darius Johnson,47
2013,Drew Davis,45.6
2013,Da'Rick Rogers,45.2
2013,Josh Morgan,42.7
2013,LaVon Brazill,40.1
2013,Junior Hemingway,35.5
2013,Andrew Hawkins,32.2
2013,Jaron Brown,31
2013,Damian Williams,30.8
2013,DeVier Posey,30.5
2013,Dwayne Harris,27.6
2013,Kyle Williams,25.6
2013,Brandon Stokley,24.5
2013,Chris Owusu,24.4
2013,Clyde Gates,24.2
2013,Jacoby Ford,22.4
2013,Greg Salas,22.3
2013,AJ Jenkins,21.6
2013,Josh Boyce,21.1
2013,Malcom Floyd,20.9
2013,Michael Preston,20.7
2013,Jeremy Ross,20.7
2013,Kenny Britt,20.6
2013,Deonte Thompson,19.6
2013,Brice Butler,19.3
2013,Domenik Hixon,18.5
2013,Chris Hogan,18.3
2013,Travis Benjamin,18
2013,Brittan Golden,17.6
2013,Mario Manningham,17.5
2013,Jeff Maehl,16.7
2013,Ryan Broyles,16.5
2013,M White,15.6
2013,Seyi Ajirotutu,15.4
2013,Josh Cooper,15
2013,Stephen Burton,14.7
2013,Marlon Moore,14.1
2013,Louis Murphy,13.7
2013,Ricardo Lockette,13
2013,Markus Wheaton,12.4
2013,Austin Collie,12.3
2013,Dane Sanzenbacher,12.1
2013,Nick Toon,10.8
2013,Derek Moye,10
2013,Joshua Cribbs,9.62
2013,Patrick Edwards,9.6
2013,Quinton Patton,9
2013,Eric Page,8.2
2013,Lestar Jean,7.5
2013,Nick Williams,6.5
2013,Juron Criner,6.2
2013,Jonathan Baldwin,5.8
2013,Lamaar Thomas,5.1
2013,Brad Smith,4.9
2013,Jeremy Ebert,4.8
2013,Skye Dawson,4.7
2013,Chad Hall,4
2013,Marcus Easley,3.3
2013,Marquess Wilson,3.3
2013,Brian Tyms,3.2
2013,Kassim Osgood,2.7
2013,Percy Harvin,2.7
2013,Tori Gurley,2.5
2013,Kevin Cone,2.2
2013,Armanti Edwards,2
2013,Eric Weems,1.8
2013,Ben Obomanu,1.8
2013,Brandon Tate,1.6
2013,Damaris Johnson,1.4
2013,David Reed,1.2
