Year,Player,FPTS
2017,Antonio Brown SUS,310.3
2017,DeAndre Hopkins,309.8
2017,Keenan Allen,284.2
2017,Larry Fitzgerald,261.44
2017,Jarvis Landry,260
2017,Michael Thomas,258.5
2017,Julio Jones,251.9
2017,Adam Thielen,239.7
2017,Tyreek Hill,239.2
2017,A.J. Green,226.8
2017,Marvin Jones Jr.,225.1
2017,Golden Tate,224.5
2017,Doug Baldwin,223.3
2017,Davante Adams,222.5
2017,Brandin Cooks,221.2
2017,Demaryius Thomas,205.9
2017,Mike Evans,203.1
2017,Robby Anderson,200
2017,Stefon Diggs,198.2
2017,Alshon Jeffery PUP,195.9
2017,Devin Funchess,195
2017,Nelson Agholor,193.5
2017,JuJu Smith-Schuster,191.7
2017,Dez Bryant,186.4
2017,Cooper Kupp,176.9
2017,Jermaine Kearse,176
2017,T.Y. Hilton,175.6
2017,Kenny Stills,174.7
2017,Mohamed Sanu Sr.,174.34
2017,Michael Crabtree,171.8
2017,Marquise Goodwin,168.6
2017,Robert Woods,163.3
2017,Jamison Crowder,160.3
2017,Ted Ginn Jr.,159.6
2017,Randall Cobb,159.4
2017,Amari Cooper,158.4
2017,Rishard Matthews,156.2
2017,Mike Wallace,151.2
2017,Paul Richardson,150.3
2017,Marqise Lee,147.9
2017,Sammy Watkins,146.3
2017,Sterling Shepard,144.5
2017,Danny Amendola,138.9
2017,DeSean Jackson,138.6
2017,Tyrell Williams,137.8
2017,Jordy Nelson,137.2
2017,Kelvin Benjamin,135.2
2017,Keelan Cole,132.8
2017,Martavis Bryant SUS,132.5
2017,DeVante Parker,130
2017,Adam Humphries,128.7
2017,Kendall Wright,126.4
2017,Ryan Grant,126.3
2017,Brandon LaFell,124.8
2017,Travis Benjamin,124.3
2017,Josh Doctson,119.8
2017,Tyler Lockett,118.3
2017,Eric Decker,116.3
2017,Albert Wilson,116
2017,Emmanuel Sanders,114.5
2017,Will Fuller V,113.2
2017,Terrance Williams,111.3
2017,Chris Hogan,109.6
2017,Deonte Thompson,105
2017,Jaron Brown,102.7
