Year,Player,FPTS
2014,Antonio Brown SUS,380.9
2014,Demaryius Thomas,340.9
2014,Jordy Nelson,327.9
2014,Dez Bryant,316
2014,Emmanuel Sanders,301.8
2014,Julio Jones,297.4
2014,Odell Beckham Jr.,295
2014,Randall Cobb,293.4
2014,Jeremy Maclin,278.9
2014,Alshon Jeffery PUP,261.6
2014,Golden Tate,259.1
2014,T.Y. Hilton,258.5
2014,Mike Evans,245.1
2014,DeAndre Hopkins,231
2014,Calvin Johnson,226.7
2014,Kelvin Benjamin,225.8
2014,Julian Edelman,222.6
2014,Anquan Boldin,219.6
2014,Steve Smith,219.5
2014,Mike Wallace,212.8
2014,Roddy White,212.1
2014,Brandon LaFell,210.6
2014,DeSean Jackson,209.6
2014,A.J. Green,205.3
2014,Jordan Matthews,202.2
2014,Eric Decker,200.2
2014,Sammy Watkins,198
2014,Torrey Smith,191.7
2014,Andre Johnson,190.6
2014,Rueben Randle,182.8
2014,Jarvis Landry,181.4
2014,Eddie Royal,181.2
2014,Vincent Jackson,180.2
2014,Mohamed Sanu Sr.,179.26
2014,Brandon Marshall,179.1
2014,Marques Colston,177.2
2014,Keenan Allen,175.3
2014,Kenny Stills,173.9
2014,Malcom Floyd,173.6
2014,James Jones,173.6
2014,Greg Jennings,169.2
2014,Kendall Wright,167.9
2014,Doug Baldwin,167.3
2014,Michael Floyd,165.3
2014,Robert Woods,164.9
2014,Michael Crabtree,162.2
2014,Pierre Garcon,161.2
2014,Andrew Hawkins,159
2014,Allen Hurns,154.7
2014,Reggie Wayne,151.9
2014,Larry Fitzgerald,151.4
2014,Terrance Williams,147.1
2014,John Brown,147
2014,Kenny Britt,142.2
2014,Andre Holmes,140.3
2014,Brandin Cooks,139.3
2014,Dwayne Bowe,135.4
2014,Markus Wheaton,131.3
2014,Martavis Bryant SUS,130.1
2014,Percy Harvin,129.5
2014,Riley Cooper,128.7
2014,Harry Douglas,120.6
2014,Jarius Wright,119.9
2014,Cecil Shorts,117.98
2014,Allen Robinson II,116.8
2014,Nate Washington,116.7
2014,Miles Austin,115.8
2014,Jerricho Cotchery,114
2014,Devin Hester,108
2014,Wes Welker,107.4
2014,Taylor Gabriel,106.1
2014,Chris Hogan,103.6
2014,Hakeem Nicks,102.5
2014,Davante Adams,100.6
2014,Jermaine Kearse,99.88
2014,Cole Beasley,99
2014,Brian Hartline,98.4
2014,Steve Johnson,96.5
