Year,Player,FPTS
2011,Calvin Johnson,359.2
2011,Wes Welker,335.9
2011,Victor Cruz,289.8
2011,Jordy Nelson,284.3
2011,Roddy White,277.6
2011,Larry Fitzgerald,269.1
2011,Steve Smith,264
2011,Percy Harvin,261.9
2011,Mike Wallace,243
2011,Marques Colston,240.3
2011,Brandon Marshall,238.7
2011,Hakeem Nicks,232
2011,Vincent Jackson,229.7
2011,Dwayne Bowe,228.1
2011,Nate Washington,224.8
2011,Steve Johnson,218.4
2011,A.J. Green,218
2011,Greg Jennings,215.9
2011,Dez Bryant,208.3
2011,Laurent Robinson,205.8
2011,Julio Jones,201.5
2011,Pierre Garcon,199.5
2011,Brandon Lloyd,196.6
2011,Antonio Brown SUS,195.9
2011,Reggie Wayne,195
2011,Jabar Gaffney,190.7
2011,Michael Crabtree,185
2011,Darrius Heyward-Bey,183.5
2011,DeSean Jackson,180.2
2011,Torrey Smith,180
2011,Jeremy Maclin,177
2011,Nate Burleson,173.2
2011,Lance Moore,166.7
2011,Santonio Holmes,165.1
2011,Anquan Boldin,163.7
2011,Malcom Floyd,158.6
2011,David Nelson,156.8
2011,Mike Williams,156.4
2011,Plaxico Burress,154.2
2011,Steve Breaston,154
2011,Doug Baldwin,153.6
2011,Early Doucet,152.9
2011,Eric Decker,151.3
2011,Deion Branch,151.2
2011,Titus Young,148.2
2011,Jerome Simpson,146.5
2011,Greg Little,145.4
2011,James Jones,143.5
2011,Miles Austin,143.2
2011,Robert Meachem,139.8
2011,Denarius Moore,136.9
2011,Damian Williams,134.2
2011,Santana Moss,128.4
2011,Andre Roberts,124.3
2011,Jason Avant,121.9
2011,Johnny Knox,119.7
2011,Davone Bess,119.6
2011,Donald Driver,117.5
2011,Joshua Cribbs,117.3
2011,Brandon LaFell,115.3
2011,Mario Manningham,115.3
2011,Demaryius Thomas,111.6
2011,Austin Collie,111.4
2011,Dezmon Briscoe,109.7
2011,Preston Parker,107.1
2011,Kevin Walter,104.4
2011,Lavelle Hawkins,100
2011,Roy Williams,99.7
2011,Michael Jenkins,98.6
2011,Legedu Naanee,97.78
2011,Brian Hartline,96.8
2011,Jacoby Jones,95.9
2011,Devery Henderson,95.2
