Year,Player,FPTS
2018,DeAndre Hopkins,333.5
2018,Davante Adams,329.6
2018,Tyreek Hill,328
2018,Julio Jones,325.9
2018,Antonio Brown SUS,323.7
2018,Michael Thomas,315.5
2018,Adam Thielen,307.3
2018,JuJu Smith-Schuster,296.9
2018,Mike Evans,290.4
2018,Stefon Diggs,266.3
2018,Robert Woods,265.6
2018,Keenan Allen,260.1
2018,Brandin Cooks,243.2
2018,T.Y. Hilton,239
2018,Odell Beckham Jr.,230.34
2018,Tyler Lockett,222.4
2018,Tyler Boyd,221.1
2018,Jarvis Landry,217.12
2018,Amari Cooper,215.4
2018,Julian Edelman,207.42
2018,Kenny Golladay,207.1
2018,Calvin Ridley,206.8
2018,Emmanuel Sanders,198.22
2018,Adam Humphries,188.7
2018,Larry Fitzgerald,185.68
2018,Alshon Jeffery PUP,185.3
2018,Chris Godwin,185.2
2018,Corey Davis PUP,183.6
2018,Golden Tate,182.9
2018,Sterling Shepard,182.5
2018,Mohamed Sanu Sr.,182.4
2018,Mike Williams,180.2
2018,Dede Westbrook,173.5
2018,Nelson Agholor,165.4
2018,Zay Jones,165.2
2018,D.J. Moore,157
2018,Demaryius Thomas,156.7
2018,Jordy Nelson,156.7
2018,Robby Anderson,156.4
2018,Allen Robinson II,153.3
2018,Taylor Gabriel,151.9
2018,DeSean Jackson,151.3
2018,Cole Beasley,150.2
2018,A.J. Green,149.4
2018,John Brown,143.9
2018,Doug Baldwin,141.8
2018,Josh Gordon SUS,138.7
2018,Tyrell Williams,137.8
2018,Curtis Samuel,136.8
2018,Courtland Sutton,136.3
2018,Cooper Kupp,135.1
2018,Kenny Stills,134.42
2018,Willie Snead IV,134.4
2018,Michael Crabtree,132.7
2018,Antonio Callaway SUS,132.3
2018,Donte Moncrief,130.8
2018,Danny Amendola,127.42
2018,Christian Kirk,123.5
2018,Devin Funchess,122.9
2018,Anthony Miller,120.22
2018,Rashard Higgins,118.2
2018,Chester Rogers,117.1
2018,Marvin Jones Jr.,115.8
2018,Sammy Watkins,115.1
2018,Kendrick Bourne,114.7
2018,Marquez Valdes-Scantling,111
2018,Josh Doctson,109.2
2018,Seth Roberts,106.9
2018,Will Fuller V,106.3
2018,Chris Hogan,106.2
2018,Dante Pettis,103.5
2018,David Moore,101
2018,Tre'Quan Smith,100.7
2018,Josh Reynolds,100
2018,Robert Foster,99.1
2018,Michael Gallup,97.7
2018,Jarius Wright,97.6
2018,Albert Wilson,96.78
2018,Chris Conley,91.4
2018,Cordarrelle Patterson,90.5
2018,Keelan Cole,89.1
2018,Taywan Taylor,87.6
2018,Marquise Goodwin,87.4
2018,Quincy Enunwa,86.9
2018,Randall Cobb,86.3
2018,John Ross III,84.9
2018,Jamison Crowder,82.8
2018,Phillip Dorsett II,81.9
2018,Jermaine Kearse,80.1
2018,Dontrelle Inman,76.4
2018,Demarcus Robinson,74.8
2018,Ryan Grant,74.4
2018,Tajaé Sharpe,71.2
2018,Laquon Treadwell,71.2
2018,Aldrick Robinson,70.1
2018,Ryan Switzer,69.4
2018,Kelvin Benjamin,69
2018,Zach Pascal,66.8
2018,DaeSean Hamilton,66.3
2018,Keke Coutee,62.7
2018,Geronimo Allison,62.3
2018,Breshad Perriman,62.2
2018,Jordan Matthews,62
2018,Allen Hurns,61.5
2018,DeVante Parker,60.9
2018,Jaron Brown,60.6
2018,Jakeem Grant,60.3
2018,Tim Patrick,60.2
2018,Bruce Ellington,59.6
2018,Maurice Harris,59.4
2018,Paul Richardson,59.1
2018,Pierre Garcon,58.6
2018,Trent Taylor,55.5
2018,Equanimeous St. Brown,54.3
2018,Terrelle Pryor,53.1
2018,Ted Ginn Jr.,52.5
2018,Isaiah McKenzie,52.5
2018,Torrey Smith,50
2018,TJ Jones,50
2018,Chris Moore,46.3
2018,Trent Sherfield,46
2018,Keith Kirkwood,45.9
2018,Martavis Bryant SUS,45.9
2018,James Washington,43.7
2018,DeAndre Carter,42.3
2018,Bennie Fowler,41.9
2018,Chad Williams,41
2018,Russell Shepard,40.8
2018,Travis Benjamin,40.7
2018,Tavon Austin,39.5
2018,Justin Hardy,39.3
2018,Brandon LaFell,37.5
2018,Cody Core,37
2018,Alex Erickson,36.9
2018,Marcell Ateman,36.4
2018,Cody Latimer,36
2018,Josh Bellamy PUP,33.7
2018,Deonte Thompson,33.1
2018,Marvin Hall,30.9
2018,Austin Carr,30.7
2018,Brandon Marshall,30.6
2018,DJ Chark Jr.,29.4
2018,Andre Holmes,29.2
2018,Michael Floyd,28
2018,Damion Ratley,27.4
2018,Richie James Jr.,26
2018,Andy Jones,25
2018,Cameron Meredith,24.4
2018,Jake Kumerow,24.3
2018,Deontay Burnett,24.3
2018,Brandon Powell,24.3
2018,Andre Roberts,23.9
2018,Taquan Mizzell,23.4
2018,Trey Quinn,22.5
2018,Darius Jennings,22.14
2018,Marcus Johnson,22
2018,Eli Rogers,21.5
2018,Vyncint Smith,20.1
2018,Leonte Carroo,18.8
2018,Brice Butler,18
2018,Cameron Batson,16.3
2018,Tommylee Lewis,14
2018,JJ Nelson,13.4
2018,Kevin White,13.2
2018,Corey Coleman,12.6
2018,De'Anthony Thomas,12.5
2018,Russell Gage,12.3
2018,Kamar Aiken,11.3
2018,Dwayne Harris,11.2
2018,Neal Sterling,10.7
2018,Noah Brown PUP,10.4
2018,Rashad Greene,10
2018,Jesus Wilson,9.2
2018,Derrick Willies,9.1
2018,Jawill Davis,8
2018,Chad Beebe,7.9
2018,Auden Tate,7.5
2018,Rishard Matthews,7.4
2018,Javon Wims,7.2
2018,Ray-Ray McCloud III,7
2018,Jalen Tolliver,6.7
2018,Shelton Gibson,5.8
2018,Justin Hunter,5.1
2018,Brian Quick,4.8
2018,Charone Peake,4.5
2018,Malik Turner,4
2018,Terrance Williams,3.8
2018,Nick Williams,3.7
2018,KhaDarel Hodge,3.7
2018,River Cracraft,3.4
2018,Brandon Zylstra,3.3
2018,Gehrig Dieter,3.2
2018,Brendan Langley,3
2018,Jeremy Kerley,2.7
2018,Tim White,2.4
2018,Sammie Coates,2.2
2018,Josh Malone,2.2
2018,Victor Bolden,2
2018,Cam Phillips,1.9
2018,Darvin Kidsy Jr.,1.8
2018,Damiere Byrd,1.8
2018,Keon Hatcher,1.8
2018,Marcus Kemp,1.7
2018,Allen Lazard,1.7
2018,Justin Watson,1.5
2018,J'Mon Moore,1.5
2018,Jehu Chesson,1.3
2018,Darrius Heyward-Bey,1.2
