,careergames,careerRec,careerRecYds,careerYPC,careerRecTds,careerRushAtt,careerRushYds,careerYPA,careerRushTds,careerPlays,careerTotalYds,careerYPT,careerTotalTds,Player,Year,School,Conf,Class,Pos,dr_1games,dr_1Rec,dr_1RecYds,dr_1YPC,dr_1RecTds,dr_1RushAtt,dr_1RushYds,dr_1YPA,dr_1RushTds,dr_1Plays,dr_1TotalYds,dr_1YPT,dr_1TotalTds,dr_2games,dr_2Rec,dr_2RecYds,dr_2YPC,dr_2RecTds,dr_2RushAtt,dr_2RushYds,dr_2YPA,dr_2RushTds,dr_2Plays,dr_2TotalYds,dr_2YPT,dr_2TotalTds,dr_3games,dr_3Rec,dr_3RecYds,dr_3YPC,dr_3RecTds,dr_3RushAtt,dr_3RushYds,dr_3YPA,dr_3RushTds,dr_3Plays,dr_3TotalYds,dr_3YPT,dr_3TotalTds
0,,218.0,3086.0,14.2,25.0,8.0,82.0,10.3,0.0,226,3168,14.0,25,B.J. Cunningham,2011,Michigan State,Big Ten,SR,WR,14.0,79.0,1306.0,16.5,12.0,3.0,26.0,8.7,0.0,82,1332,16.2,12,12.0,50.0,611.0,12.2,9.0,1.0,0.0,0.0,0.0,51,611,12.0,9,12.0,48.0,641.0,13.4,4.0,,,,,48,641,13.4,4
0,,209.0,2859.0,13.7,32.0,17.0,129.0,7.6,0.0,226,2988,13.2,32,Juron Criner,2011,Arizona,Pac-12,SR,WR,11.0,75.0,956.0,12.7,11.0,1.0,0.0,0.0,0.0,76,956,12.6,11,13.0,82.0,1233.0,15.0,11.0,8.0,66.0,8.3,0.0,90,1299,14.4,11,13.0,45.0,582.0,12.9,9.0,8.0,63.0,7.9,0.0,53,645,12.2,9
0,,165.0,2658.0,16.1,8.0,13.0,45.0,3.5,0.0,178,2703,15.2,8,Danny Coale,2011,Virginia Tech,ACC,SR,WR,14.0,60.0,904.0,15.1,3.0,4.0,26.0,6.5,0.0,64,930,14.5,3,14.0,39.0,732.0,18.8,3.0,1.0,-3.0,-3.0,0.0,40,729,18.2,3,13.0,30.0,614.0,20.5,2.0,2.0,8.0,4.0,0.0,32,622,19.4,2
0,,133.0,2066.0,15.5,15.0,,,,,133,2066,15.5,15,Greg Childs,2011,Arkansas,SEC,SR,WR,11.0,21.0,240.0,11.4,0.0,,,,,21,240,11.4,0,8.0,46.0,659.0,14.3,6.0,,,,,46,659,14.3,6,13.0,48.0,894.0,18.6,7.0,,,,,48,894,18.6,7
0,,349.0,4586.0,13.1,45.0,15.0,97.0,6.5,1.0,364,4683,12.9,46,Ryan Broyles,2011,Oklahoma,Big 12,SR,WR,9.0,83.0,1157.0,13.9,10.0,1.0,3.0,3.0,0.0,84,1160,13.8,10,14.0,131.0,1622.0,12.4,14.0,,,,,131,1622,12.4,14,12.0,89.0,1120.0,12.6,15.0,11.0,83.0,7.5,1.0,100,1203,12.0,16
0,,187.0,2515.0,13.4,18.0,31.0,239.0,7.7,1.0,218,2754,12.6,19,LaVon Brazill,2011,Ohio,MAC,SR,WR,14.0,72.0,1150.0,16.0,11.0,5.0,73.0,14.6,1.0,77,1223,15.9,12,3.0,12.0,78.0,6.5,0.0,3.0,5.0,1.7,0.0,15,83,5.5,0,13.0,53.0,702.0,13.2,6.0,14.0,86.0,6.1,0.0,67,788,11.8,6
0,,253.0,3564.0,14.1,40.0,8.0,84.0,10.5,1.0,261,3648,14.0,41,Justin Blackmon,2011,Oklahoma State,Big 12,JR,WR,13.0,122.0,1522.0,12.5,18.0,4.0,7.0,1.8,0.0,126,1529,12.1,18,12.0,111.0,1782.0,16.1,20.0,4.0,77.0,19.3,1.0,115,1859,16.2,21,13.0,20.0,260.0,13.0,2.0,,,,,20,260,13.0,2
0,,131.0,2146.0,16.4,13.0,25.0,126.0,5.0,1.0,156,2272,14.6,14,Travis Benjamin,2011,Miami (FL),ACC,SR,WR,11.0,41.0,609.0,14.9,3.0,8.0,19.0,2.4,0.0,49,628,12.8,3,13.0,43.0,743.0,17.3,3.0,3.0,44.0,14.7,0.0,46,787,17.1,3,13.0,29.0,501.0,17.3,4.0,9.0,21.0,2.3,0.0,38,522,13.7,4
0,,164.0,2410.0,14.7,17.0,27.0,248.0,9.2,2.0,191,2658,13.9,19,Joe Adams,2011,Arkansas,SEC,SR,WR,13.0,54.0,652.0,12.1,3.0,10.0,139.0,13.9,1.0,64,791,12.4,4,12.0,50.0,813.0,16.3,6.0,6.0,32.0,5.3,0.0,56,845,15.1,6,10.0,29.0,568.0,19.6,7.0,5.0,31.0,6.2,1.0,34,599,17.6,8
0,,252.0,2930.0,11.6,32.0,14.0,142.0,10.1,0.0,266,3072,11.5,32,Robert Woods,2012,USC,Pac-12,JR,WR,13.0,76.0,846.0,11.1,11.0,1.0,76.0,76.0,0.0,77,922,12.0,11,12.0,111.0,1292.0,11.6,15.0,7.0,16.0,2.3,0.0,118,1308,11.1,15,13.0,65.0,792.0,12.2,6.0,6.0,50.0,8.3,0.0,71,842,11.9,6
