,careergames,careerRec,careerRecYds,careerYPC,careerRecTds,careerRushAtt,careerRushYds,careerYPA,careerRushTds,careerPlays,careerTotalYds,careerYPT,careerTotalTds,Player,Year,School,Conf,Class,Pos,dr_1games,dr_1Rec,dr_1RecYds,dr_1YPC,dr_1RecTds,dr_1RushAtt,dr_1RushYds,dr_1YPA,dr_1RushTds,dr_1Plays,dr_1TotalYds,dr_1YPT,dr_1TotalTds,dr_2games,dr_2Rec,dr_2RecYds,dr_2YPC,dr_2RecTds,dr_2RushAtt,dr_2RushYds,dr_2YPA,dr_2RushTds,dr_2Plays,dr_2TotalYds,dr_2YPT,dr_2TotalTds,dr_3games,dr_3Rec,dr_3RecYds,dr_3YPC,dr_3RecTds,dr_3RushAtt,dr_3RushYds,dr_3YPA,dr_3RushTds,dr_3Plays,dr_3TotalYds,dr_3YPT,dr_3TotalTds
0,,202.0,2901.0,14.4,16.0,11.0,77.0,7.0,0.0,213,2978,14.0,16,Devin Street,2013,Pitt,ACC,SR,WR,10.0,51.0,854.0,16.7,7.0,3.0,6.0,2.0,0.0,54,860,15.9,7,13.0,73.0,975.0,13.4,5.0,3.0,30.0,10.0,0.0,76,1005,13.2,5,13.0,53.0,754.0,14.2,2.0,2.0,25.0,12.5,0.0,55,779,14.2,2
0,,177.0,2479.0,14.0,17.0,6.0,36.0,6.0,0.0,183,2515,13.7,17,Allen Robinson,2013,Penn State,Big Ten,JR,WR,12.0,97.0,1432.0,14.8,6.0,6.0,36.0,6.0,0.0,103,1468,14.3,6,12.0,77.0,1018.0,13.2,11.0,,,,,77,1018,13.2,11,11.0,3.0,29.0,9.7,0.0,,,,,3,29,9.7,0
0,,156.0,2412.0,15.5,21.0,9.0,38.0,4.2,0.0,165,2450,14.8,21,Paul Richardson,2013,Colorado,Pac-12,JR,WR,12.0,83.0,1343.0,16.2,10.0,1.0,7.0,7.0,0.0,84,1350,16.1,10,9.0,39.0,555.0,14.2,5.0,2.0,24.0,12.0,0.0,41,579,14.1,5,12.0,34.0,514.0,15.1,6.0,6.0,7.0,1.2,0.0,40,521,13.0,6
0,,187.0,3102.0,16.6,24.0,11.0,136.0,12.4,0.0,198,3238,16.4,24,Tevin Reese,2013,Baylor,Big 12,SR,WR,8.0,38.0,867.0,22.8,8.0,0.0,0.0,,0.0,38,867,22.8,8,13.0,53.0,957.0,18.1,9.0,4.0,21.0,5.3,0.0,57,978,17.2,9,13.0,51.0,877.0,17.2,7.0,5.0,102.0,20.4,0.0,56,979,17.5,7
0,,81.0,1275.0,15.7,12.0,0.0,0.0,,0.0,81,1275,15.7,12,Kevin Norwood,2013,Alabama,SEC,,WR,12.0,38.0,568.0,14.9,7.0,0.0,0.0,,0.0,38,568,14.9,7,13.0,29.0,461.0,15.9,4.0,,,,,29,461,15.9,4,11.0,11.0,190.0,17.3,0.0,,,,,11,190,17.3,0
0,,156.0,2371.0,15.2,20.0,0.0,0.0,,0.0,156,2371,15.2,20,Donte Moncrief,2013,Ole Miss,SEC,JR,WR,13.0,59.0,938.0,15.9,6.0,0.0,0.0,,0.0,59,938,15.9,6,13.0,66.0,979.0,14.8,10.0,,,,,66,979,14.8,10,12.0,31.0,454.0,14.6,4.0,,,,,31,454,14.6,4
0,,262.0,3759.0,14.3,24.0,9.0,115.0,12.8,1.0,271,3874,14.3,25,Jordan Matthews,2013,Vanderbilt,SEC,SR,WR,13.0,112.0,1477.0,13.2,7.0,6.0,54.0,9.0,0.0,118,1531,13.0,7,13.0,94.0,1323.0,14.1,8.0,3.0,61.0,20.3,1.0,97,1384,14.3,9,13.0,41.0,778.0,19.0,5.0,,,,,41,778,19.0,5
0,,248.0,3655.0,14.7,29.0,24.0,146.0,6.1,0.0,272,3801,14.0,29,Marqise Lee,2013,USC,Pac-12,JR,WR,11.0,57.0,791.0,13.9,4.0,6.0,7.0,1.2,0.0,63,798,12.7,4,13.0,118.0,1721.0,14.6,14.0,13.0,106.0,8.2,0.0,131,1827,13.9,14,12.0,73.0,1143.0,15.7,11.0,5.0,33.0,6.6,0.0,78,1176,15.1,11
0,,135.0,2042.0,15.1,17.0,2.0,3.0,1.5,0.0,137,2045,14.9,17,Cody Latimer,2013,Indiana,Big Ten,JR,WR,12.0,72.0,1096.0,15.2,9.0,0.0,0.0,,0.0,72,1096,15.2,9,12.0,51.0,805.0,15.8,6.0,,,,,51,805,15.8,6,8.0,12.0,141.0,11.8,2.0,2.0,3.0,1.5,0.0,14,144,10.3,2
0,,137.0,1809.0,13.2,15.0,0.0,0.0,,0.0,137,1809,13.2,15,Jarvis Landry,2013,LSU,SEC,JR,WR,13.0,77.0,1193.0,15.5,10.0,0.0,0.0,,0.0,77,1193,15.5,10,13.0,56.0,573.0,10.2,5.0,,,,,56,573,10.2,5,14.0,4.0,43.0,10.8,0.0,,,,,4,43,10.8,0
0,,144.0,2366.0,16.4,24.0,18.0,242.0,13.4,2.0,162,2608,16.1,26,Josh Huff,2013,Oregon,Pac-12,SR,WR,13.0,62.0,1140.0,18.4,12.0,6.0,28.0,4.7,0.0,68,1168,17.2,12,11.0,32.0,493.0,15.4,7.0,,,,,32,493,15.4,7,12.0,31.0,430.0,13.9,2.0,,,,,31,430,13.9,2
0,,152.0,2025.0,13.3,20.0,54.0,310.0,5.7,0.0,206,2335,11.3,20,Robert Herron,2013,Wyoming,MWC,SR,WR,12.0,72.0,932.0,12.9,9.0,2.0,12.0,6.0,0.0,74,944,12.8,9,8.0,31.0,657.0,21.2,8.0,4.0,10.0,2.5,0.0,35,667,19.1,8,12.0,43.0,379.0,8.8,3.0,8.0,53.0,6.6,0.0,51,432,8.5,3
0,,196.0,2769.0,14.1,21.0,5.0,3.0,0.6,0.0,201,2772,13.8,21,Ryan Grant,2013,Tulane,CUSA,SR,WR,13.0,77.0,1039.0,13.5,9.0,0.0,0.0,,0.0,77,1039,13.5,9,12.0,76.0,1149.0,15.1,6.0,,,,,76,1149,15.1,6,1.0,1.0,27.0,27.0,1.0,,,,,1,27,27.0,1
0,,173.0,2704.0,15.6,17.0,17.0,97.0,5.7,0.0,190,2801,14.7,17,Jeremy Gallon,2013,Michigan,Big Ten,SR,WR,13.0,89.0,1373.0,15.4,9.0,3.0,4.0,1.3,0.0,92,1377,15.0,9,13.0,49.0,829.0,16.9,4.0,11.0,67.0,6.1,0.0,60,896,14.9,4,13.0,31.0,453.0,14.6,3.0,3.0,26.0,8.7,0.0,34,479,14.1,3
0,,151.0,2499.0,16.5,17.0,0.0,0.0,,0.0,151,2499,16.5,17,Mike Evans,2013,Texas A&M,SEC,SO,WR,13.0,69.0,1394.0,20.2,12.0,0.0,0.0,,0.0,69,1394,20.2,12,13.0,82.0,1105.0,13.5,5.0,,,,,82,1105,13.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,115.0,1526.0,13.3,15.0,3.0,-1.0,-0.3,0.0,118,1525,12.9,15,Quincy Enunwa,2013,Nebraska,Big Ten,SR,WR,12.0,51.0,753.0,14.8,12.0,3.0,-1.0,-0.3,0.0,54,752,13.9,12,14.0,42.0,470.0,11.2,1.0,,,,,42,470,11.2,1,13.0,21.0,293.0,14.0,2.0,,,,,21,293,14.0,2
0,,106.0,1586.0,15.0,16.0,25.0,148.0,5.9,1.0,131,1734,13.2,17,Bruce Ellington,2013,South Carolina,SEC,JR,WR,12.0,49.0,775.0,15.8,8.0,3.0,14.0,4.7,0.0,52,789,15.2,8,13.0,40.0,600.0,15.0,7.0,5.0,28.0,5.6,0.0,45,628,14.0,7,13.0,17.0,211.0,12.4,1.0,17.0,106.0,6.2,1.0,34,317,9.3,2
0,,226.0,3272.0,14.5,24.0,61.0,340.0,5.6,2.0,287,3612,12.6,26,Brandin Cooks,2013,Oregon State,Pac-12,JR,WR,13.0,128.0,1730.0,13.5,16.0,32.0,217.0,6.8,2.0,160,1947,12.2,18,13.0,67.0,1151.0,17.2,5.0,19.0,82.0,4.3,0.0,86,1233,14.3,5,12.0,31.0,391.0,12.6,3.0,10.0,41.0,4.1,0.0,41,432,10.5,3
0,,229.0,2506.0,10.9,14.0,51.0,238.0,4.7,2.0,280,2744,9.8,16,Michael Campanaro,2013,Wake Forest,ACC,SR,WR,8.0,67.0,803.0,12.0,6.0,4.0,10.0,2.5,0.0,71,813,11.5,6,10.0,79.0,763.0,9.7,6.0,16.0,82.0,5.1,1.0,95,845,8.9,7,12.0,73.0,833.0,11.4,2.0,2.0,23.0,11.5,0.0,75,856,11.4,2
0,,61.0,1354.0,22.2,13.0,1.0,17.0,17.0,0.0,62,1371,22.1,13,Martavis Bryant,2013,Clemson,ACC,JR,WR,13.0,42.0,828.0,19.7,7.0,0.0,0.0,,0.0,42,828,19.7,7,10.0,10.0,305.0,30.5,4.0,1.0,17.0,17.0,0.0,11,322,29.3,4,14.0,9.0,221.0,24.6,2.0,,,,,9,221,24.6,2
0,,84.0,1506.0,17.9,19.0,2.0,33.0,16.5,0.0,86,1539,17.9,19,Kelvin Benjamin,2013,Florida State,ACC,SO,WR,14.0,54.0,1011.0,18.7,15.0,0.0,0.0,,0.0,54,1011,18.7,15,14.0,30.0,495.0,16.5,4.0,2.0,33.0,16.5,0.0,32,528,16.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,143.0,2340.0,16.4,12.0,7.0,77.0,11.0,0.0,150,2417,16.1,12,"Odell Beckham, Jr.",2013,LSU,SEC,,WR,13.0,59.0,1152.0,19.5,8.0,5.0,58.0,11.6,0.0,64,1210,18.9,8,13.0,43.0,713.0,16.6,2.0,,,,,43,713,16.6,2,14.0,41.0,475.0,11.6,2.0,2.0,19.0,9.5,0.0,43,494,11.5,2
0,,233.0,3031.0,13.0,38.0,0.0,0.0,,0.0,233,3031,13.0,38,Davante Adams,2013,Fresno State,MWC,SO,WR,13.0,131.0,1719.0,13.1,24.0,0.0,0.0,,0.0,131,1719,13.1,24,13.0,102.0,1312.0,12.9,14.0,,,,,102,1312,12.9,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,202.0,3140.0,15.5,23.0,28.0,291.0,10.4,2.0,230,3431,14.9,25,Jared Abbrederis,2013,Wisconsin,Big Ten,SR,WR,13.0,78.0,1081.0,13.9,7.0,6.0,119.0,19.8,2.0,84,1200,14.3,9,13.0,49.0,837.0,17.1,5.0,8.0,83.0,10.4,0.0,57,920,16.1,5,14.0,55.0,933.0,17.0,8.0,11.0,62.0,5.6,0.0,66,995,15.1,8
0,,144.0,1954.0,13.6,15.0,0.0,0.0,,0.0,144,1954,13.6,15,Kevin White,2014,West Virginia,Big 12,SR,WR,13.0,109.0,1447.0,13.3,10.0,0.0,0.0,,0.0,109,1447,13.3,10,10.0,35.0,507.0,14.5,5.0,0.0,0.0,,0.0,35,507,14.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,51.0,971.0,19.0,9.0,0.0,0.0,,0.0,51,971,19.0,9,Darren Waller,2014,Georgia Tech,ACC,SR,WR,10.0,26.0,442.0,17.0,6.0,0.0,0.0,,0.0,26,442,17.0,6,9.0,17.0,367.0,21.6,3.0,0.0,0.0,,0.0,17,367,21.6,3,14.0,8.0,162.0,20.3,0.0,,,,,8,162,20.3,0
0,,157.0,2287.0,14.6,17.0,0.0,0.0,,0.0,157,2287,14.6,17,Jaelen Strong,2014,Arizona State,Pac-12,JR,WR,12.0,82.0,1165.0,14.2,10.0,0.0,0.0,,0.0,82,1165,14.2,10,14.0,75.0,1122.0,15.0,7.0,0.0,0.0,,0.0,75,1122,15.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,121.0,2503.0,20.7,30.0,1.0,2.0,2.0,0.0,122,2505,20.5,30,Devin Smith,2014,Ohio State,Big Ten,SR,WR,14.0,33.0,931.0,28.2,12.0,0.0,0.0,,0.0,33,931,28.2,12,14.0,44.0,660.0,15.0,8.0,0.0,0.0,,0.0,44,660,15.0,8,12.0,30.0,618.0,20.6,6.0,1.0,2.0,2.0,0.0,31,620,20.0,6
0,,56.0,1060.0,18.9,11.0,4.0,115.0,28.8,1.0,60,1175,19.6,12,DeAndre Smelter,2014,Georgia Tech,ACC,SR,WR,10.0,35.0,715.0,20.4,7.0,3.0,103.0,34.3,1.0,38,818,21.5,8,12.0,21.0,345.0,16.4,4.0,1.0,12.0,12.0,0.0,22,357,16.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,115.0,2243.0,19.5,16.0,1.0,0.0,0.0,0.0,116,2243,19.3,16,Breshad Perriman,2014,UCF,American,JR,WR,13.0,50.0,1044.0,20.9,9.0,1.0,0.0,0.0,0.0,51,1044,20.5,9,12.0,39.0,811.0,20.8,4.0,0.0,0.0,,0.0,39,811,20.8,4,14.0,26.0,388.0,14.9,3.0,,,,,26,388,14.9,3
0,,156.0,2775.0,17.8,33.0,0.0,0.0,,0.0,156,2775,17.8,33,DeVante Parker,2014,Louisville,ACC,SR,WR,6.0,43.0,855.0,19.9,5.0,0.0,0.0,,0.0,43,855,19.9,5,12.0,55.0,885.0,16.1,12.0,0.0,0.0,,0.0,55,885,16.1,12,13.0,40.0,744.0,18.6,10.0,,,,,40,744,18.6,10
0,,88.0,1348.0,15.3,7.0,14.0,125.0,8.9,1.0,102,1473,14.4,8,Keith Mumphery,2014,Michigan State,Big Ten,SR,WR,12.0,26.0,495.0,19.0,3.0,6.0,85.0,14.2,1.0,32,580,18.1,4,12.0,18.0,299.0,16.6,3.0,2.0,2.0,1.0,0.0,20,301,15.1,3,13.0,42.0,515.0,12.3,1.0,6.0,38.0,6.3,0.0,48,553,11.5,1
0,,172.0,2125.0,12.4,15.0,39.0,334.0,8.6,4.0,211,2459,11.7,19,Ty Montgomery,2014,Stanford,Pac-12,SR,WR,11.0,61.0,604.0,9.9,3.0,23.0,144.0,6.3,1.0,84,748,8.9,4,14.0,61.0,958.0,15.7,10.0,13.0,159.0,12.2,2.0,74,1117,15.1,12,11.0,26.0,213.0,8.2,0.0,1.0,-11.0,-11.0,0.0,27,202,7.5,0
0,,148.0,2022.0,13.7,16.0,0.0,0.0,,0.0,148,2022,13.7,16,Vince Mayle,2014,Washington State,Pac-12,SR,WR,12.0,106.0,1483.0,14.0,9.0,0.0,0.0,,0.0,106,1483,14.0,9,11.0,42.0,539.0,12.8,7.0,0.0,0.0,,0.0,42,539,12.8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,249.0,3710.0,14.9,29.0,22.0,192.0,8.7,0.0,271,3902,14.4,29,Tyler Lockett,2014,Kansas State,Big 12,SR,WR,13.0,106.0,1515.0,14.3,11.0,3.0,17.0,5.7,0.0,109,1532,14.1,11,12.0,81.0,1262.0,15.6,11.0,2.0,10.0,5.0,0.0,83,1272,15.3,11,13.0,44.0,687.0,15.6,4.0,7.0,55.0,7.9,0.0,51,742,14.5,4
0,,149.0,2247.0,15.1,15.0,6.0,51.0,8.5,1.0,155,2298,14.8,16,Tony Lippett,2014,Michigan State,Big Ten,SR,WR,13.0,65.0,1198.0,18.4,11.0,2.0,51.0,25.5,1.0,67,1249,18.6,12,12.0,44.0,613.0,13.9,2.0,1.0,3.0,3.0,0.0,45,616,13.7,2,13.0,36.0,392.0,10.9,2.0,2.0,0.0,0.0,0.0,38,392,10.3,2
0,,387.0,4541.0,11.7,35.0,1.0,7.0,7.0,1.0,388,4548,11.7,36,Justin Hardy,2014,East Carolina,American,SR,WR,13.0,121.0,1494.0,12.3,10.0,1.0,7.0,7.0,1.0,122,1501,12.3,11,13.0,114.0,1284.0,11.3,8.0,0.0,0.0,,0.0,114,1284,11.3,8,13.0,88.0,1105.0,12.6,11.0,,,,,88,1105,12.6,11
0,,270.0,3830.0,14.2,29.0,9.0,81.0,9.0,1.0,279,3911,14.0,30,Rashad Greene,2014,Florida State,ACC,SR,WR,14.0,99.0,1365.0,13.8,7.0,1.0,-2.0,-2.0,0.0,100,1363,13.6,7,14.0,76.0,1128.0,14.8,9.0,1.0,9.0,9.0,0.0,77,1137,14.8,9,14.0,57.0,741.0,13.0,6.0,4.0,30.0,7.5,1.0,61,771,12.6,7
0,,87.0,1278.0,14.7,17.0,6.0,19.0,3.2,0.0,93,1297,13.9,17,Dorial Green-Beckham,2013,Missouri,SEC,SO,WR,14.0,59.0,883.0,15.0,12.0,1.0,3.0,3.0,0.0,60,886,14.8,12,11.0,28.0,395.0,14.1,5.0,5.0,16.0,3.2,0.0,33,411,12.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,126.0,1715.0,13.6,15.0,8.0,23.0,2.9,0.0,134,1738,13.0,15,Devin Funchess,2014,Michigan,Big Ten,JR,WR,11.0,62.0,733.0,11.8,4.0,2.0,-11.0,-5.5,0.0,64,722,11.3,4,13.0,49.0,748.0,15.3,6.0,6.0,34.0,5.7,0.0,55,782,14.2,6,13.0,15.0,234.0,15.6,5.0,,,,,15,234,15.6,5
0,,121.0,2132.0,17.6,17.0,7.0,2.0,0.3,0.0,128,2134,16.7,17,Phillip Dorsett,2014,Miami (FL),ACC,SR,WR,12.0,36.0,871.0,24.2,10.0,2.0,-6.0,-3.0,0.0,38,865,22.8,10,7.0,13.0,272.0,20.9,2.0,0.0,0.0,,0.0,13,272,20.9,2,12.0,58.0,842.0,14.5,4.0,5.0,8.0,1.6,0.0,63,850,13.5,4
0,,150.0,2227.0,14.8,14.0,32.0,187.0,5.8,0.0,182,2414,13.3,14,Stefon Diggs,2014,Maryland,Big Ten,JR,WR,10.0,62.0,792.0,12.8,5.0,5.0,28.0,5.6,0.0,67,820,12.2,5,7.0,34.0,587.0,17.3,3.0,7.0,45.0,6.4,0.0,41,632,15.4,3,11.0,54.0,848.0,15.7,6.0,20.0,114.0,5.7,0.0,74,962,13.0,6
0,,165.0,2292.0,13.9,7.0,0.0,0.0,,0.0,165,2292,13.9,7,Geremy Davis,2014,Connecticut,American,SR,WR,10.0,44.0,521.0,11.8,3.0,0.0,0.0,,0.0,44,521,11.8,3,12.0,71.0,1085.0,15.3,3.0,0.0,0.0,,0.0,71,1085,15.3,3,12.0,44.0,613.0,13.9,1.0,,,,,44,613,13.9,1
0,,283.0,3641.0,12.9,23.0,21.0,135.0,6.4,1.0,304,3776,12.4,24,Jamison Crowder,2014,Duke,ACC,SR,WR,13.0,85.0,1044.0,12.3,6.0,2.0,9.0,4.5,0.0,87,1053,12.1,6,14.0,108.0,1360.0,12.6,8.0,8.0,71.0,8.9,1.0,116,1431,12.3,9,13.0,76.0,1074.0,14.1,8.0,3.0,13.0,4.3,0.0,79,1087,13.8,8
0,,228.0,3463.0,15.2,31.0,6.0,51.0,8.5,0.0,234,3514,15.0,31,Amari Cooper,2014,Alabama,SEC,JR,WR,14.0,124.0,1727.0,13.9,16.0,5.0,23.0,4.6,0.0,129,1750,13.6,16,11.0,45.0,736.0,16.4,4.0,1.0,28.0,28.0,0.0,46,764,16.6,4,14.0,59.0,1000.0,16.9,11.0,,,,,59,1000,16.9,11
0,,117.0,1938.0,16.6,20.0,0.0,0.0,,0.0,117,1938,16.6,20,Chris Conley,2014,Georgia,SEC,SR,WR,13.0,36.0,657.0,18.3,8.0,0.0,0.0,,0.0,36,657,18.3,8,11.0,45.0,651.0,14.5,4.0,0.0,0.0,,0.0,45,651,14.5,4,14.0,20.0,342.0,17.1,6.0,,,,,20,342,17.1,6
0,,82.0,1757.0,21.4,13.0,0.0,0.0,,0.0,82,1757,21.4,13,Sammie Coates,2014,Auburn,SEC,JR,WR,12.0,34.0,741.0,21.8,4.0,0.0,0.0,,0.0,34,741,21.8,4,13.0,42.0,902.0,21.5,7.0,0.0,0.0,,0.0,42,902,21.5,7,12.0,6.0,114.0,19.0,2.0,,,,,6,114,19.0,2
0,,43.0,523.0,12.2,4.0,4.0,4.0,1.0,0.0,47,527,11.2,4,Kaelin Clay,2014,Utah,Pac-12,SR,WR,13.0,43.0,523.0,12.2,4.0,4.0,4.0,1.0,0.0,47,527,11.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,155.0,2295.0,14.8,19.0,22.0,160.0,7.3,2.0,177,2455,13.9,21,Da'Ron Brown,2014,Northern Illinois,MAC,SR,WR,14.0,68.0,1065.0,15.7,6.0,10.0,108.0,10.8,1.0,78,1173,15.0,7,12.0,46.0,752.0,16.3,9.0,7.0,45.0,6.4,0.0,53,797,15.0,9,14.0,17.0,156.0,9.2,2.0,4.0,4.0,1.0,1.0,21,160,7.6,3
0,,181.0,2689.0,14.9,21.0,6.0,109.0,18.2,1.0,187,2798,15.0,22,Kenny Bell,2014,Nebraska,Big Ten,SR,WR,13.0,47.0,788.0,16.8,6.0,0.0,0.0,,0.0,47,788,16.8,6,13.0,52.0,577.0,11.1,4.0,1.0,1.0,1.0,0.0,53,578,10.9,4,14.0,50.0,863.0,17.3,8.0,2.0,8.0,4.0,0.0,52,871,16.8,8
0,,92.0,1497.0,16.3,13.0,7.0,61.0,8.7,0.0,99,1558,15.7,13,Mario Alford,2014,West Virginia,Big 12,SR,WR,13.0,65.0,945.0,14.5,11.0,2.0,14.0,7.0,0.0,67,959,14.3,11,9.0,27.0,552.0,20.4,2.0,5.0,47.0,9.4,0.0,32,599,18.7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,178.0,2572.0,14.4,20.0,7.0,18.0,2.6,0.0,185,2590,14.0,20,Nelson Agholor,2014,USC,Pac-12,JR,WR,13.0,104.0,1313.0,12.6,12.0,4.0,3.0,0.8,0.0,108,1316,12.2,12,14.0,56.0,918.0,16.4,6.0,2.0,8.0,4.0,0.0,58,926,16.0,6,13.0,18.0,341.0,18.9,2.0,1.0,7.0,7.0,0.0,19,348,18.3,2
0,,202.0,2393.0,11.8,21.0,6.0,-10.0,-1.7,0.0,208,2383,11.5,21,Laquon Treadwell,2015,Ole Miss,SEC,JR,WR,13.0,82.0,1153.0,14.1,11.0,1.0,-5.0,-5.0,0.0,83,1148,13.8,11,9.0,48.0,632.0,13.2,5.0,2.0,-7.0,-3.5,0.0,50,625,12.5,5,13.0,72.0,608.0,8.4,5.0,3.0,2.0,0.7,0.0,75,610,8.1,5
0,,113.0,1602.0,14.2,18.0,0.0,0.0,,0.0,113,1602,14.2,18,Michael Thomas,2015,Ohio State,Big Ten,JR,WR,13.0,56.0,781.0,13.9,9.0,0.0,0.0,,0.0,56,781,13.9,9,15.0,54.0,799.0,14.8,9.0,0.0,0.0,,0.0,54,799,14.8,9,11.0,3.0,22.0,7.3,0.0,,,,,3,22,7.3,0
0,,233.0,3482.0,14.9,26.0,17.0,109.0,6.4,1.0,250,3591,14.4,27,Sterling Shepard,2015,Oklahoma,Big 12,SR,WR,13.0,86.0,1288.0,15.0,11.0,1.0,5.0,5.0,0.0,87,1293,14.9,11,11.0,51.0,970.0,19.0,5.0,8.0,41.0,5.1,0.0,59,1011,17.1,5,12.0,51.0,603.0,11.8,7.0,6.0,44.0,7.3,1.0,57,647,11.4,8
0,,277.0,3486.0,12.6,16.0,4.0,11.0,2.8,0.0,281,3497,12.4,16,Tajae Sharpe,2015,Massachusetts,MAC,SR,WR,12.0,111.0,1319.0,11.9,5.0,1.0,-3.0,-3.0,0.0,112,1316,11.8,5,12.0,85.0,1281.0,15.1,7.0,3.0,14.0,4.7,0.0,88,1295,14.7,7,12.0,61.0,680.0,11.1,4.0,0.0,0.0,,0.0,61,680,11.1,4
0,,105.0,1353.0,12.9,9.0,3.0,6.0,2.0,0.0,108,1359,12.6,9,Demarcus Robinson,2015,Florida,SEC,JR,WR,12.0,47.0,520.0,11.1,2.0,2.0,3.0,1.5,0.0,49,523,10.7,2,11.0,53.0,810.0,15.3,7.0,1.0,3.0,3.0,0.0,54,813,15.1,7,4.0,5.0,23.0,4.6,0.0,0.0,0.0,,0.0,5,23,4.6,0
0,,99.0,1172.0,11.8,10.0,2.0,-9.0,-4.5,0.0,101,1163,11.5,10,Charone Peake,2015,Clemson,ACC,SR,WR,14.0,50.0,716.0,14.3,5.0,0.0,0.0,,0.0,50,716,14.3,5,6.0,12.0,129.0,10.8,2.0,0.0,0.0,,0.0,12,129,10.8,2,2.0,8.0,84.0,10.5,1.0,0.0,0.0,,0.0,8,84,10.5,1
0,,201.0,2701.0,13.4,14.0,0.0,0.0,,0.0,201,2701,13.4,14,Jordan Payton,2015,UCLA,Pac-12,SR,WR,13.0,78.0,1105.0,14.2,5.0,0.0,0.0,,0.0,78,1105,14.2,5,13.0,67.0,954.0,14.2,7.0,0.0,0.0,,0.0,67,954,14.2,7,12.0,38.0,440.0,11.6,1.0,0.0,0.0,,0.0,38,440,11.6,1
0,,119.0,2301.0,19.3,26.0,4.0,26.0,6.5,0.0,123,2327,18.9,26,Chris Moore,2015,Cincinnati,American,SR,WR,11.0,40.0,870.0,21.8,7.0,2.0,10.0,5.0,0.0,42,880,21.0,7,11.0,30.0,673.0,22.4,8.0,0.0,0.0,,0.0,30,673,22.4,8,13.0,45.0,645.0,14.3,9.0,2.0,16.0,8.0,0.0,47,661,14.1,9
0,,174.0,2350.0,13.5,16.0,9.0,55.0,6.1,0.0,183,2405,13.1,16,Malcolm Mitchell,2015,Georgia,SEC,SR,SE,13.0,58.0,865.0,14.9,5.0,0.0,0.0,,0.0,58,865,14.9,5,8.0,31.0,248.0,8.0,3.0,0.0,0.0,,0.0,31,248,8.0,3,13.0,40.0,572.0,14.3,4.0,5.0,17.0,3.4,0.0,45,589,13.1,4
0,,98.0,1338.0,13.7,8.0,68.0,578.0,8.5,2.0,166,1916,11.5,10,Ricardo Louis,2015,Auburn,SEC,SR,WR,13.0,46.0,716.0,15.6,3.0,29.0,158.0,5.4,1.0,75,874,11.7,4,12.0,21.0,261.0,12.4,3.0,18.0,220.0,12.2,1.0,39,481,12.3,4,14.0,28.0,325.0,11.6,2.0,19.0,198.0,10.4,0.0,47,523,11.1,2
0,,74.0,1432.0,19.4,9.0,3.0,30.0,10.0,0.0,77,1462,19.0,9,Kolby Listenbee,2015,Texas Christian,Big 12,SR,WR,10.0,30.0,597.0,19.9,5.0,1.0,11.0,11.0,0.0,31,608,19.6,5,13.0,41.0,753.0,18.4,4.0,2.0,19.0,9.5,0.0,43,772,18.0,4,2.0,2.0,23.0,11.5,0.0,0.0,0.0,,0.0,2,23,11.5,0
0,,143.0,1706.0,11.9,27.0,2.0,15.0,7.5,0.0,145,1721,11.9,27,Kenny Lawler,2015,California,Pac-12,JR,WR,12.0,52.0,658.0,12.7,13.0,2.0,15.0,7.5,0.0,54,673,12.5,13,11.0,54.0,701.0,13.0,9.0,0.0,0.0,,0.0,54,701,13.0,9,11.0,37.0,347.0,9.4,5.0,0.0,0.0,,0.0,37,347,9.4,5
0,,238.0,3648.0,15.3,31.0,2.0,21.0,10.5,0.0,240,3669,15.3,31,Rashard Higgins,2015,Colorado State,MWC,JR,WR,12.0,74.0,1061.0,14.3,8.0,2.0,21.0,10.5,0.0,76,1082,14.2,8,12.0,96.0,1750.0,18.2,17.0,0.0,0.0,,0.0,96,1750,18.2,17,14.0,68.0,837.0,12.3,6.0,0.0,0.0,,0.0,68,837,12.3,6
