ID,careerRec,careerRecYds,careerYPC,careerRecTds,careerRushAtt,careerRushYds,careerYPA,careerRushTds,careerPlays,careerTotalYds,careerYPT,careerTotalTds,Player_x,Conf,Class,dr_1games,dr_1Rec,dr_1RecYds,dr_1YPC,dr_1RecTds,dr_1RushAtt,dr_1RushYds,dr_1YPA,dr_1RushTds,dr_1Plays,dr_1TotalYds,dr_1YPT,dr_1TotalTds,dr_2games,dr_2Rec,dr_2RecYds,dr_2YPC,dr_2RecTds,dr_2RushAtt,dr_2RushYds,dr_2YPA,dr_2RushTds,dr_2Plays,dr_2TotalYds,dr_2YPT,dr_2TotalTds,dr_3games,dr_3Rec,dr_3RecYds,dr_3YPC,dr_3RecTds,dr_3RushAtt,dr_3RushYds,dr_3YPA,dr_3RushTds,dr_3Plays,dr_3TotalYds,dr_3YPT,dr_3TotalTds,FirstNm,LastNm,Age,Wt,Forty,Vertical,BenchReps,BroadJump,ThreeCone,Shuttle,pickNum,year,height,FPTS
55,112,2004,17.9,18,10,105,10.5,1,122,2109,17.3,19,Denarius Moore,SEC,SR,13,47,981,20.9,9,7,82,11.7,1,54,1063,19.7,10,13,40,540,13.5,7,3,23,7.7,0,43,563,13.1,7,12,11,271,24.6,2,0,0,0,0,11,271,24.6,2,DENARIUS,MOORE,22,194,4.43,36,13,118,6.78,4.15,148,2011,72,449
62,166,2619,15.8,23,7,105,15,0,173,2724,15.7,23,A.J. Green,SEC,JR,9,57,848,14.9,9,3,44,14.7,0,60,892,14.9,9,10,53,808,15.2,6,0,0,0,0,53,808,15.2,6,13,56,963,17.2,8,4,61,15.3,0,60,1024,17.1,8,AJ,GREEN,22,211,4.48,34.5,18,126,6.91,4.21,4,2011,76,824.4
91,349,4586,13.1,45,15,97,6.5,1,364,4683,12.9,46,Ryan Broyles,Big 12,SR,9,83,1157,13.9,10,1,3,3,0,84,1160,13.8,10,14,131,1622,12.4,14,0,0,0,0,131,1622,12.4,14,12,89,1120,12.6,15,11,83,7.5,1,100,1203,12,16,RYAN,BROYLES,23,192,4.57,35.96571429,21,121.2294118,6.886183206,4.220289855,54,2012,70,86
131,173,2704,15.6,17,17,97,5.7,0,190,2801,14.7,17,Jeremy Gallon,Big Ten,SR,13,89,1373,15.4,9,3,4,1.3,0,92,1377,15,9,13,49,829,16.9,4,11,67,6.1,0,60,896,14.9,4,13,31,453,14.6,3,3,26,8.7,0,34,479,14.1,3,JEREMY,GALLON,24,185,4.49,35.96571429,15,121.2294118,6.886183206,4.220289855,244,2014,67,0
1,101,1910,18.9,15,11,94,8.5,0,112,2004,17.9,15,Mike Wallace,SEC,SR,13,39,784,20.1,7,10,92,9.2,0,49,876,17.9,7,12,38,716,18.8,6,0,0,0,0,38,716,18.8,6,12,24,410,17.1,2,1,2,2,0,25,412,16.5,2,MIKE,WALLACE,22,199,4.33,40,14,129,6.9,4.27,84,2009,72,646
276,146,2153,14.7,18,25,93,3.7,1,171,2246,13.1,19,Jauan Jennings,SEC,SR,13,59,969,16.4,8,13,51,3.9,1,72,1020,14.2,9,11,30,438,14.6,3,0,0,0,0,30,438,14.6,3,1,3,17,5.7,0,0,0,0,0,3,17,5.7,0,JAUAN,JENNINGS,23,215,4.72,29,15.5,119,7.116666667,4.35125,217,2020,75,0
11,153,2763,18.1,22,5,92,18.4,0,158,2855,18.1,22,Marko Mitchell,WAC,SR,13,61,1141,18.7,10,4,45,11.3,0,65,1186,18.2,10,13,53,1129,21.3,8,1,47,47,0,54,1176,21.8,8,13,39,493,12.6,4,0,0,0,0,39,493,12.6,4,MARKO,MITCHELL,23,218,4.43,32,9,116,7.04,4.33,243,2009,76,7.2
58,138,1750,12.7,20,16,88,5.5,0,154,1838,11.9,20,Ronald Johnson,Pac-10,SR,13,64,692,10.8,8,5,25,5,0,69,717,10.4,8,8,34,378,11.1,3,1,4,4,0,35,382,10.9,3,13,33,570,17.3,8,6,32,5.3,0,39,602,15.4,8,RONALD,JOHNSON,22,199,4.46,35.96571429,16,121.2294118,6.886183206,4.220289855,182,2011,71,0
184,83,1297,15.6,10,5,87,17.4,0,88,1384,15.7,10,Cody Core,SEC,SR,12,37,644,17.4,4,1,1,1,0,38,645,17,4,13,41,558,13.6,6,4,86,21.5,0,45,644,14.3,6,6,4,91,22.8,0,0,0,0,0,4,91,22.8,0,CODY,CORE,21,205,4.47,31.5,14,119,6.886183206,4.220289855,199,2016,75,74
268,103,1327,12.9,14,9,87,9.7,0,112,1414,12.6,14,Donovan Peoples-Jones,Big Ten,JR,11,34,438,12.9,6,2,-7,-3.5,0,36,431,12,6,13,47,612,13,8,3,37,12.3,0,50,649,13,8,13,22,277,12.6,0,4,57,14.3,0,26,334,12.8,0,DONOVAN,PEOPLES-JONES,21,212,4.48,44.5,15.5,139,7.116666667,4.35125,187,2020,74,0
282,98,1658,16.9,13,17,87,5.1,1,115,1745,15.2,14,KJ Hamler,Big Ten,SO,13,56,904,16.1,8,13,43,3.3,0,69,947,13.7,8,13,42,754,18,5,4,44,11,1,46,798,17.3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,KJ,HAMLER,20,178,4.49,37.10714286,15,125.1111111,7.116666667,4.35125,46,2020,69,0
