ID,careerRec,careerRecYds,careerYPC,careerRecTds,careerRushAtt,careerRushYds,careerYPA,careerRushTds,careerPlays,careerTotalYds,careerYPT,careerTotalTds,Player_x,Conf,Class,dr_1games,dr_1Rec,dr_1RecYds,dr_1YPC,dr_1RecTds,dr_1RushAtt,dr_1RushYds,dr_1YPA,dr_1RushTds,dr_1Plays,dr_1TotalYds,dr_1YPT,dr_1TotalTds,dr_2games,dr_2Rec,dr_2RecYds,dr_2YPC,dr_2RecTds,dr_2RushAtt,dr_2RushYds,dr_2YPA,dr_2RushTds,dr_2Plays,dr_2TotalYds,dr_2YPT,dr_2TotalTds,dr_3games,dr_3Rec,dr_3RecYds,dr_3YPC,dr_3RecTds,dr_3RushAtt,dr_3RushYds,dr_3YPA,dr_3RushTds,dr_3Plays,dr_3TotalYds,dr_3YPT,dr_3TotalTds,FirstNm,LastNm,Age,Wt,Forty,Vertical,BenchReps,BroadJump,ThreeCone,Shuttle,pickNum,year,height,FPTS
93,253,3564,14.1,40,8,84,10.5,1,261,3648,14,41,Justin Blackmon,Big 12,JR,13,122,1522,12.5,18,4,7,1.8,0,126,1529,12.1,18,12,111,1782,16.1,20,4,77,19.3,1,115,1859,16.2,21,13,20,260,13,2,0,0,0,0,20,260,13,2,JUSTIN,BLACKMON,22,207,4.46,35.96571429,14,121.2294118,6.886183206,4.220289855,5,2012,73,261.2
87,218,3086,14.2,25,8,82,10.3,0,226,3168,14,25,B.J. Cunningham,Big Ten,SR,14,79,1306,16.5,12,3,26,8.7,0,82,1332,16.2,12,12,50,611,12.2,9,1,0,0,0,51,611,12,9,12,48,641,13.4,4,0,0,0,0,48,641,13.4,4,BJ,CUNNINGHAM,22,211,4.52,31.5,12,116,7.1,4.220289855,183,2012,73,0
155,270,3830,14.2,29,9,81,9,1,279,3911,14,30,Rashad Greene,ACC,SR,14,99,1365,13.8,7,1,-2,-2,0,100,1363,13.6,7,14,76,1128,14.8,9,1,9,9,0,77,1137,14.8,9,14,57,741,13,6,4,30,7.5,1,61,771,12.6,7,RASHAD,GREENE,22,182,4.53,36.5,14.82580645,122,6.88,4.12,139,2015,71,46.5
118,202,2901,14.4,16,11,77,7,0,213,2978,14,16,Devin Street,ACC,SR,10,51,854,16.7,7,3,6,2,0,54,860,15.9,7,13,73,975,13.4,5,3,30,10,0,76,1005,13.2,5,13,53,754,14.2,2,2,25,12.5,0,55,779,14.2,2,DEVIN,STREET,22,198,4.55,37,14.82580645,124,6.89,4.01,146,2014,75,29.2
139,143,2340,16.4,12,7,77,11,0,150,2417,16.1,12,"Odell Beckham, Jr.",SEC,JR,13,59,1152,19.5,8,5,58,11.6,0,64,1210,18.9,8,13,43,713,16.6,2,0,0,0,0,43,713,16.6,2,14,41,475,11.6,2,2,19,9.5,0,43,494,11.5,2,ODELL,BECKHAM,21,198,4.38,38.5,7,122,6.69,3.94,12,2014,71,910.9
25,178,3043,17.1,17,7,75,10.7,1,185,3118,16.9,18,Kenny Britt,Big East,JR,12,87,1371,15.8,7,7,75,10.7,1,94,1446,15.4,8,13,62,1232,19.9,8,0,0,0,0,62,1232,19.9,8,9,29,440,15.2,2,0,0,0,0,29,440,15.2,2,KENNY,BRITT,20,218,4.47,37,23,124,6.886183206,4.47,30,2009,75,363.5
76,147,2243,15.3,13,10,75,7.5,2,157,2318,14.8,15,Rishard Matthews,WAC,SR,12,91,1364,15,8,5,-1,-0.2,0,96,1363,14.2,8,14,56,879,15.7,5,5,76,15.2,2,61,955,15.7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,RISHARD,MATTHEWS,22,217,4.54,36,20,121.2294118,6.88,4.19,227,2012,72,161.7
263,98,1716,17.5,24,2,75,37.5,1,100,1791,17.9,25,Henry Ruggs III,SEC,JR,12,40,746,18.7,7,2,75,37.5,1,42,821,19.5,8,14,46,741,16.1,11,0,0,0,0,46,741,16.1,11,14,12,229,19.1,6,0,0,0,0,12,229,19.1,6,HENRY,RUGGS,21,188,4.27,42,15.5,131,7.116666667,4.35125,12,2020,71,0
102,99,1230,12.4,13,12,72,6,0,111,1302,11.7,13,Ace Sanders,SEC,JR,13,45,531,11.8,9,3,1,0.3,0,48,532,11.1,9,13,29,383,13.2,2,4,15,3.8,0,33,398,12.1,2,14,25,316,12.6,2,5,56,11.2,0,30,372,12.4,2,ACE,SANDERS,21,173,4.58,32,7,117,6.81,4.37,101,2013,67,120.14
18,90,1429,15.9,12,10,68,6.8,0,100,1497,15,12,Brian Hartline,Big Ten,JR,13,21,479,22.8,4,3,17,5.7,0,24,496,20.7,4,13,52,694,13.3,6,6,46,7.7,0,58,740,12.8,6,12,17,256,15.1,2,1,5,5,0,18,261,14.5,2,BRIAN,HARTLINE,22,195,4.49,34.5,14.82580645,120,6.65,4.12,108,2009,74,316.5
65,128,2337,18.3,16,5,68,13.6,0,133,2405,18.1,16,Jon Baldwin,Big East,JR,13,53,822,15.5,5,3,3,1,0,56,825,14.7,5,13,57,1111,19.5,8,1,61,61,0,58,1172,20.2,8,13,18,404,22.4,3,1,4,4,0,19,408,21.5,3,JON,BALDWIN,21,228,4.49,42,20,129,7.07,4.34,26,2011,76,0
48,152,2215,14.6,19,21,66,3.1,1,173,2281,13.2,20,Torrey Smith,ACC,JR,13,67,1055,15.7,12,9,7,0.8,0,76,1062,14,12,12,61,824,13.5,5,11,59,5.4,1,72,883,12.3,6,13,24,336,14,2,1,0,0,0,25,336,13.4,2,TORREY,SMITH,22,204,4.41,41,19,126,6.72,4.13,58,2011,73,567.2
6,164,2653,16.2,14,11,64,5.8,0,175,2717,15.5,14,Sammie Stroughter,Pac-10,SR,13,70,1040,14.9,7,7,52,7.4,0,77,1092,14.2,7,3,15,262,17.5,2,1,4,4,0,16,266,16.6,2,14,74,1293,17.5,5,3,8,2.7,0,77,1301,16.9,5,SAMMIE,STROUGHTER,23,189,4.45,30,13,110,7.03,4.28,233,2009,69,125.6
200,147,2114,14.4,17,7,64,9.1,0,154,2178,14.1,17,Damian Williams,Pac-10,JR,12,70,1010,14.4,6,2,16,8,0,72,1026,14.3,6,13,58,869,15,9,4,43,10.8,0,62,912,14.7,9,13,19,235,12.4,2,1,5,5,0,20,240,12,2,DAMIAN,WILLIAMS,21,197,4.52,38,19,118,6.79,4.24,77,2010,73,235
2,132,1931,14.6,16,19,63,3.3,0,151,1994,13.2,16,Tiquan Underwood,Big East,SR,13,40,494,12.4,5,0,0,0,0,40,494,12.4,5,13,65,1100,16.9,7,0,0,0,0,65,1100,16.9,7,12,23,290,12.6,4,0,0,0,0,23,290,12.6,4,TIQUAN,UNDERWOOD,22,184,4.31,41.5,7,129,6.62,4.11,253,2009,73,25.1
75,170,2861,16.8,28,8,63,7.9,0,178,2924,16.4,28,Marvin McNutt,Big Ten,SR,13,82,1315,16,12,6,58,9.7,0,88,1373,15.6,12,13,53,861,16.2,8,1,5,5,0,54,866,16,8,13,34,674,19.8,8,0,0,0,0,34,674,19.8,8,MARVIN,MCNUTT,22,216,4.48,37,14.82580645,122,7.15,4.07,194,2012,75,0
168,92,1497,16.3,13,7,61,8.7,0,99,1558,15.7,13,Mario Alford,Big 12,SR,13,65,945,14.5,11,2,14,7,0,67,959,14.3,11,9,27,552,20.4,2,5,47,9.4,0,32,599,18.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MARIO,ALFORD,23,180,4.43,34,13,121,6.64,4.07,238,2015,68,2.5
100,252,3117,12.4,24,19,59,3.1,0,271,3176,11.7,24,Ryan Swope,SEC,SR,13,72,913,12.7,8,1,-2,-2,0,73,911,12.5,8,13,89,1207,13.6,11,7,3,0.4,0,96,1210,12.6,11,13,72,825,11.5,4,11,58,5.3,0,83,883,10.6,4,RYAN,SWOPE,22,205,4.34,37,16,125,6.76,4.25,174,2013,72,0
54,103,1532,14.9,5,9,56,6.2,1,112,1588,14.2,6,Niles Paul,Big 12,SR,12,39,516,13.2,1,5,14,2.8,0,44,530,12,1,14,40,796,19.9,4,3,48,16,1,43,844,19.6,5,13,23,214,9.3,0,1,-6,-6,0,24,208,8.7,0,NILES,PAUL,21,224,4.45,34.5,24,117,6.9,4.14,155,2011,73,0
69,306,4187,13.7,32,4,56,14,0,310,4243,13.7,32,Jordan White,MAC,SR,13,140,1911,13.7,17,1,27,27,0,141,1938,13.7,17,12,94,1378,14.7,10,3,29,9.7,0,97,1407,14.5,10,9,53,681,12.8,4,0,0,0,0,53,681,12.8,4,JORDAN,WHITE,23,208,4.63,35,14,119,6.84,4.13,244,2012,72,2.3
178,174,2350,13.5,16,9,55,6.1,0,183,2405,13.1,16,Malcolm Mitchell,SEC,SR,13,58,865,14.9,5,0,0,0,0,58,865,14.9,5,8,31,248,8,3,0,0,0,0,31,248,8,3,13,40,572,14.3,4,5,17,3.4,0,45,589,13.1,4,MALCOLM,MITCHELL,23,198,4.45,36,15,129,6.94,4.34,112,2016,72,96.1
315,146,2037,14,17,14,53,3.8,1,160,2090,13.1,18,K.J. Osborn,ACC,SR,13,50,547,10.9,5,5,15,3,0,55,562,10.2,5,13,53,892,16.8,7,5,16,3.2,0,58,908,15.7,7,12,35,493,14.1,4,4,22,5.5,1,39,515,13.2,5,KJ,OSBORN,23,203,4.48,37.5,18,123,7,4.35,176,2020,71,0
153,149,2247,15.1,15,6,51,8.5,1,155,2298,14.8,16,Tony Lippett,Big Ten,SR,13,65,1198,18.4,11,2,51,25.5,1,67,1249,18.6,12,12,44,613,13.9,2,1,3,3,0,45,616,13.7,2,13,36,392,10.9,2,2,0,0,0,38,392,10.3,2,TONY,LIPPETT,22,192,4.61,36,10,114,6.92,4.13,156,2015,74,0
162,228,3463,15.2,31,6,51,8.5,0,234,3514,15,31,Amari Cooper,SEC,JR,14,124,1727,13.9,16,5,23,4.6,0,129,1750,13.6,16,11,45,736,16.4,4,1,28,28,0,46,764,16.6,4,14,59,1000,16.9,11,0,0,0,0,59,1000,16.9,11,AMARI,COOPER,20,211,4.42,33,14.82580645,120,6.71,3.98,4,2015,73,602
266,301,3949,13.1,39,10,50,5,0,311,3999,12.9,39,James Proche,American,SR,13,111,1225,11,15,4,18,4.5,0,115,1243,10.8,15,12,93,1199,12.9,12,2,17,8.5,0,95,1216,12.8,12,12,40,816,20.4,6,0,0,0,0,40,816,20.4,6,JAMES,PROCHE,23,201,4.49,34.5,20,125.1111111,7.27,4.4,201,2020,71,0
316,175,2159,12.3,16,6,47,7.8,0,181,2206,12.2,16,Van Jefferson,SEC,SR,12,49,657,13.4,6,1,7,7,0,50,664,13.3,6,11,35,503,14.4,6,0,0,0,0,35,503,14.4,6,10,42,456,10.9,1,0,0,0,0,42,456,10.9,1,VAN,JEFFERSON,23,200,4.49,37.10714286,15.5,125.1111111,7.116666667,4.35125,57,2020,73,0
290,93,1496,16.1,13,9,46,5.1,0,102,1542,15.1,13,Quintez Cephus,Big Ten,JR,14,59,901,15.3,7,0,0,0,0,59,901,15.3,7,10,30,501,16.7,6,4,5,1.3,0,34,506,14.9,6,6,4,94,23.5,0,5,41,8.2,0,9,135,15,0,QUINTEZ,CEPHUS,22,202,4.73,38.5,23,124,7.2,4.33,166,2020,73,0
89,165,2658,16.1,8,13,45,3.5,0,178,2703,15.2,8,Danny Coale,ACC,SR,14,60,904,15.1,3,4,26,6.5,0,64,930,14.5,3,14,39,732,18.8,3,1,-3,-3,0,40,729,18.2,3,13,30,614,20.5,2,2,8,4,0,32,622,19.4,2,DANNY,COALE,23,201,4.42,35,12,115,6.69,4.15,152,2012,72,0
108,123,1734,14.1,12,8,45,5.6,0,131,1779,13.6,12,Chris Harper,Big 12,SR,13,58,857,14.8,3,0,-7,0,0,58,850,14.7,3,13,40,547,13.7,5,3,5,1.7,0,43,552,12.8,5,13,25,330,13.2,4,5,47,9.4,0,30,377,12.6,4,CHRIS,HARPER,23,229,4.55,35.5,20,116,6.89,4.39,123,2013,73,0
9,181,2840,15.7,21,7,43,6.1,1,188,2883,15.3,22,Hakeem Nicks,ACC,JR,13,68,1222,18,12,5,34,6.8,1,73,1256,17.2,13,12,74,958,12.9,5,1,-1,-1,0,75,957,12.8,5,11,39,660,16.9,4,1,10,10,0,40,670,16.8,4,HAKEEM,NICKS,21,212,4.51,36,14.82580645,121.2294118,6.886183206,4.220289855,29,2009,73,645
285,234,3045,13,22,6,41,6.8,0,240,3086,12.9,22,Bryan Edwards,SEC,SR,10,71,816,11.5,6,2,22,11,0,73,838,11.5,6,13,55,846,15.4,7,0,0,0,0,55,846,15.4,7,13,64,793,12.4,5,4,19,4.8,0,68,812,11.9,5,BRYAN,EDWARDS,21,212,4.49,37.10714286,15.5,125.1111111,7.116666667,4.35125,81,2020,75,0
30,285,3791,13.3,34,9,40,4.4,0,294,3831,13,34,Emmanuel Sanders,CUSA,SR,13,98,1339,13.7,7,1,6,6,0,99,1345,13.6,7,10,67,958,14.3,9,0,0,0,0,67,958,14.3,9,12,74,889,12,9,6,28,4.7,0,80,917,11.5,9,EMMANUEL,SANDERS,22,186,4.4,39.5,12,126,6.64,4.1,82,2010,71,248
120,156,2412,15.5,21,9,38,4.2,0,165,2450,14.8,21,Paul Richardson,Pac-12,JR,12,83,1343,16.2,10,1,7,7,0,84,1350,16.1,10,9,39,555,14.2,5,2,24,12,0,41,579,14.1,5,12,34,514,15.1,6,6,7,1.2,0,40,521,13,6,PAUL,RICHARDSON,21,175,4.4,38,14.82580645,124,7.09,4.220289855,45,2014,72,123.4
35,175,2517,14.4,25,8,37,4.6,1,183,2554,14,26,Brandon LaFell,SEC,SR,13,57,792,13.9,11,5,13,2.6,0,62,805,13,11,13,63,929,14.7,8,2,6,3,0,65,935,14.4,8,14,50,656,13.1,4,1,18,18,1,51,674,13.2,5,BRANDON,LAFELL,23,211,4.58,36,14.82580645,115,6.81,4.23,78,2010,74,351.3
44,219,3240,14.8,31,4,37,9.3,1,223,3277,14.7,32,Dezmon Briscoe,Big 12,JR,11,84,1337,15.9,9,2,19,9.5,1,86,1356,15.8,10,13,92,1407,15.3,15,2,18,9,0,94,1425,15.2,15,13,43,496,11.5,7,0,0,0,0,43,496,11.5,7,DEZMON,BRISCOE,20,207,4.66,33,9,115,7.1,4.57,191,2010,74,135.3
103,183,2594,14.2,24,11,37,3.4,0,194,2631,13.6,24,Quinton Patton,WAC,SR,12,104,1392,13.4,13,1,-5,-5,0,105,1387,13.2,13,13,79,1202,15.2,11,10,42,4.2,0,89,1244,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,QUINTON,PATTON,22,204,4.53,33,8,118,6.91,4.01,128,2013,72,92.3
119,177,2479,14,17,6,36,6,0,183,2515,13.7,17,Allen Robinson,Big Ten,JR,12,97,1432,14.8,6,6,36,6,0,103,1468,14.3,6,12,77,1018,13.2,11,0,0,0,0,77,1018,13.2,11,11,3,29,9.7,0,0,0,0,0,3,29,9.7,0,ALLEN,ROBINSON,20,220,4.6,39,14.82580645,127,7,4,61,2014,75,620.1
281,135,2448,18.1,27,1,36,36,1,136,2484,18.3,28,Tee Higgins,ACC,JR,15,59,1167,19.8,13,1,36,36,1,60,1203,20.1,14,15,59,936,15.9,12,0,0,0,0,59,936,15.9,12,7,17,345,20.3,2,0,0,0,0,17,345,20.3,2,TEE,HIGGINS,21,216,4.49,37.10714286,15.5,125.1111111,7.116666667,4.35125,33,2020,76,0
13,158,2282,14.4,16,2,35,17.5,0,160,2317,14.5,16,Mohamed Massaquoi,SEC,SR,13,58,920,15.9,8,0,0,0,0,58,920,15.9,8,13,32,491,15.3,4,1,12,12,0,33,503,15.2,4,12,30,366,12.2,2,0,0,0,0,30,366,12.2,2,MOHAMED,MASSAQUOI,22,210,4.51,36.5,14.82580645,127,6.886183206,4.220289855,50,2009,73,292.66
12,207,2781,13.4,19,13,34,2.6,0,220,2815,12.8,19,Kenny McKinley,SEC,SR,10,54,642,11.9,4,2,2,1,0,56,644,11.5,4,12,77,968,12.6,9,5,15,3,0,82,983,12,9,13,51,880,17.3,5,1,0,0,0,52,880,16.9,5,KENNY,MCKINLEY,22,189,4.37,37,14.82580645,113,6.96,4.1,141,2009,72,0
64,209,3110,14.9,23,7,34,4.9,0,216,3144,14.6,23,Vincent Brown,MWC,SR,13,69,1352,19.6,10,1,-13,-13,0,70,1339,19.1,10,7,45,778,17.3,6,3,10,3.3,0,48,788,16.4,6,12,64,631,9.9,5,3,37,12.3,0,67,668,10,5,VINCENT,BROWN,22,187,4.68,33.5,12,121,6.64,4.25,82,2011,71,158.1
70,171,2447,14.3,18,6,34,5.7,0,177,2481,14,18,Nick Toon,Big Ten,SR,13,64,926,14.5,10,0,0,0,0,64,926,14.5,10,9,36,459,12.8,3,2,10,5,0,38,469,12.3,3,13,54,805,14.9,4,4,24,6,0,58,829,14.3,4,NICK,TOON,23,215,4.49,37.5,18,121.2294118,6.886183206,4.220289855,122,2012,74,53.7
286,176,2468,14,16,11,34,3.1,1,187,2502,13.4,17,Devin Duvernay,Big 12,SR,13,106,1386,13.1,9,10,24,2.4,1,116,1410,12.2,10,14,41,546,13.3,4,1,10,10,0,42,556,13.2,4,8,9,124,13.8,0,0,0,0,0,9,124,13.8,0,DEVIN,DUVERNAY,22,200,4.39,35.5,15.5,123,7.13,4.2,92,2020,70,0
138,84,1506,17.9,19,2,33,16.5,0,86,1539,17.9,19,Kelvin Benjamin,ACC,SO,14,54,1011,18.7,15,0,0,0,0,54,1011,18.7,15,14,30,495,16.5,4,2,33,16.5,0,32,528,16.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,KELVIN,BENJAMIN,23,240,4.61,32.5,13,119,7.33,4.39,28,2014,77,422.9
27,120,2339,19.5,15,4,32,8,0,124,2371,19.1,15,Demaryius Thomas,ACC,JR,14,46,1154,25.1,8,1,3,3,0,47,1157,24.6,8,12,39,627,16.1,3,2,29,14.5,0,41,656,16,3,13,35,558,15.9,4,1,0,0,0,36,558,15.5,4,DEMARYIUS,THOMAS,22,224,4.52,35.96571429,14.82580645,121.2294118,6.886183206,4.220289855,22,2010,75,461.4
86,271,3686,13.6,37,4,30,7.5,1,275,3716,13.5,38,Michael Floyd,Ind,SR,13,100,1147,11.5,9,2,13,6.5,1,102,1160,11.4,10,12,79,1025,13,12,1,9,9,0,80,1034,12.9,12,7,44,795,18.1,9,1,8,8,0,45,803,17.8,9,MICHAEL,FLOYD,22,220,4.4,36.5,16,122,6.886183206,4.220289855,13,2012,75,475.6
180,74,1432,19.4,9,3,30,10,0,77,1462,19,9,Kolby Listenbee,Big 12,SR,10,30,597,19.9,5,1,11,11,0,31,608,19.6,5,13,41,753,18.4,4,2,19,9.5,0,43,772,18,4,2,2,23,11.5,0,0,0,0,0,2,23,11.5,0,KOLBY,LISTENBEE,22,197,4.39,35.5,15,129,6.886183206,4.220289855,192,2016,72,0
277,165,2415,14.6,24,6,30,5,0,171,2445,14.3,24,Justin Jefferson,SEC,JR,15,111,1540,13.9,18,0,0,0,0,111,1540,13.9,18,13,54,875,16.2,6,5,26,5.2,0,59,901,15.3,6,2,0,0,0,0,1,4,4,0,1,4,4,0,JUSTIN,JEFFERSON,20,202,4.43,37.5,15.5,126,7.116666667,4.35125,22,2020,73,0
270,154,2572,16.7,19,5,28,5.6,0,159,2600,16.4,19,Darnell Mooney,American,SR,13,48,713,14.9,5,0,0,0,0,48,713,14.9,5,13,48,993,20.7,8,1,6,6,0,49,999,20.4,8,11,34,599,17.6,4,0,0,0,0,34,599,17.6,4,DARNELL,MOONEY,22,176,4.38,37,9,124,7.116666667,4.35125,173,2020,70,0
261,68,996,14.6,15,4,27,6.8,0,72,1023,14.2,15,Freddie Swain,SEC,SR,12,38,517,13.6,7,4,27,6.8,0,42,544,13,7,11,14,265,18.9,5,0,0,0,0,14,265,18.9,5,8,8,96,12,1,0,0,0,0,8,96,12,1,FREDDIE,SWAIN,22,197,4.46,36.5,16,124,7.05,4.26,214,2020,72,0
36,204,3003,14.7,25,7,26,3.7,1,211,3029,14.4,26,Mardy Gilyard,Big East,SR,13,87,1191,13.7,11,5,16,3.2,1,92,1207,13.1,12,14,81,1276,15.8,11,2,10,5,0,83,1286,15.5,11,13,36,536,14.9,3,0,0,0,0,36,536,14.9,3,MARDY,GILYARD,23,187,4.61,39,14.82580645,116,6.92,4.4,99,2010,72,13.8
177,119,2301,19.3,26,4,26,6.5,0,123,2327,18.9,26,Chris Moore,American,SR,11,40,870,21.8,7,2,10,5,0,42,880,21,7,11,30,673,22.4,8,0,0,0,0,30,673,22.4,8,13,45,645,14.3,9,2,16,8,0,47,661,14.1,9,CHRIS,MOORE,22,206,4.53,37,10,130,6.76,4.2,107,2016,73,119.7
15,119,1710,14.4,17,5,25,5,0,124,1735,14,17,Manuel Johnson,Big 12,SR,13,42,714,17,9,2,4,2,0,44,718,16.3,9,14,31,448,14.5,4,0,0,0,0,31,448,14.5,4,12,36,378,10.5,3,2,13,6.5,0,38,391,10.3,3,MANUEL,JOHNSON,22,189,4.5,35.96571429,14.82580645,121.2294118,6.886183206,4.220289855,229,2009,71,1.6
79,167,2432,14.6,19,6,25,4.2,0,173,2457,14.2,19,A.J. Jenkins,Big Ten,SR,13,90,1276,14.2,8,5,26,5.2,0,95,1302,13.7,8,13,56,746,13.3,7,0,0,0,0,56,746,13.3,7,8,10,123,12.3,1,1,-1,-1,0,11,122,11.1,1,AJ,JENKINS,22,190,4.37,38.5,12,124,6.886183206,4.220289855,30,2012,72,39.7
33,105,1648,15.7,9,5,24,4.8,0,110,1672,15.2,9,Carlton Mitchell,Big East,JR,11,40,706,17.7,4,0,0,0,0,40,706,17.7,4,13,28,405,14.5,1,1,7,7,0,29,412,14.2,1,13,37,537,14.5,4,4,17,4.3,0,41,554,13.5,4,CARLTON,MITCHELL,21,215,4.46,36,16,122,6.96,4.55,177,2010,75,7
101,204,2594,12.7,24,3,23,7.7,0,207,2617,12.6,24,Kenny Stills,Big 12,JR,13,82,959,11.7,11,2,22,11,0,84,981,11.7,11,11,61,849,13.9,8,1,1,1,0,62,850,13.7,8,14,61,786,12.9,5,0,0,0,0,61,786,12.9,5,KENNY,STILLS,20,194,4.38,33.5,16,124,6.886183206,4.35,144,2013,72,390
157,126,1715,13.6,15,8,23,2.9,0,134,1738,13,15,Devin Funchess,Big Ten,JR,11,62,733,11.8,4,2,-11,-5.5,0,64,722,11.3,4,13,49,748,15.3,6,6,34,5.7,0,55,782,14.2,6,13,15,234,15.6,5,0,0,0,0,15,234,15.6,5,DEVIN,FUNCHESS,20,232,4.7,38.5,17,122,6.886183206,4.220289855,41,2015,76,387.4
182,238,3648,15.3,31,2,21,10.5,0,240,3669,15.3,31,Rashard Higgins,MWC,JR,12,74,1061,14.3,8,2,21,10.5,0,76,1082,14.2,8,12,96,1750,18.2,17,0,0,0,0,96,1750,18.2,17,14,68,837,12.3,6,0,0,0,0,68,837,12.3,6,RASHARD,HIGGINS,21,196,4.64,32,13,116,6.886183206,4.220289855,172,2016,73,200.5
272,173,3292,19,32,9,20,2.2,1,182,3312,18.2,33,CeeDee Lamb,Big 12,JR,13,62,1327,21.4,14,9,20,2.2,1,71,1347,19,15,14,65,1158,17.8,11,0,0,0,0,65,1158,17.8,11,13,46,807,17.5,7,0,0,0,0,46,807,17.5,7,CEEDEE,LAMB,20,198,4.5,34.5,11,124,7.116666667,4.35125,17,2020,74,0
10,77,1245,16.2,13,3,19,6.3,0,80,1264,15.8,13,Louis Murphy,SEC,SR,14,38,655,17.2,7,2,7,3.5,0,40,662,16.6,7,13,37,548,14.8,5,1,12,12,0,38,560,14.7,5,12,2,42,21,1,0,0,0,0,2,42,21,1,LOUIS,MURPHY,21,203,4.32,35.96571429,12,121.2294118,6.886183206,4.220289855,124,2009,74,281.4
19,182,2756,15.1,17,10,19,1.9,0,192,2775,14.5,17,Brandon Gibson,Pac-10,SR,13,57,673,11.8,2,10,19,1.9,0,67,692,10.3,2,11,67,1180,17.6,9,0,0,0,0,67,1180,17.6,9,12,49,731,14.9,4,0,0,0,0,49,731,14.9,4,BRANDON,GIBSON,21,210,4.59,35.96571429,14.82580645,121.2294118,6.886183206,4.220289855,194,2009,72,289.3
31,106,1615,15.2,11,5,19,3.8,1,111,1634,14.7,12,David Reed,MWC,SR,13,81,1188,14.7,5,4,4,1,0,85,1192,14,5,13,25,427,17.1,6,1,15,15,1,26,442,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,DAVID,REED,22,191,4.56,37,15,114,6.95,4.38,156,2010,72,13.1
112,165,2398,14.5,24,3,19,6.3,0,168,2417,14.4,24,Aaron Dobson,CUSA,SR,10,57,679,11.9,3,0,0,0,0,57,679,11.9,3,13,49,668,13.6,12,1,1,1,0,50,669,13.4,12,12,44,689,15.7,5,2,18,9,0,46,707,15.4,5,AARON,DOBSON,21,210,4.37,35.96571429,14.82580645,121.2294118,6.886183206,4.220289855,59,2013,75,146.8
156,87,1278,14.7,17,6,19,3.2,0,93,1297,13.9,17,Dorial Green-Beckham,SEC,SO,14,59,883,15,12,1,3,3,0,60,886,14.8,12,11,28,395,14.1,5,5,16,3.2,0,33,411,12.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DORIAL,GREEN-BECKHAM,21,237,4.49,33.5,13,119,6.89,4.45,40,2015,77,200.1
169,178,2572,14.4,20,7,18,2.6,0,185,2590,14,20,Nelson Agholor,Pac-12,JR,13,104,1313,12.6,12,4,3,0.8,0,108,1316,12.2,12,14,56,918,16.4,6,2,8,4,0,58,926,16,6,13,18,341,18.9,2,1,7,7,0,19,348,18.3,2,NELSON,AGHOLOR,21,198,4.42,35.96571429,12,121.2294118,6.886183206,4.220289855,20,2015,72,336.7
98,202,3334,16.5,27,3,17,5.7,0,205,3351,16.3,27,Terrance Williams,Big 12,SR,13,97,1832,18.9,12,2,14,7,0,99,1846,18.6,12,13,59,957,16.2,11,0,0,0,0,59,957,16.2,11,13,43,484,11.3,4,1,3,3,0,44,487,11.1,4,TERRANCE,WILLIAMS,23,208,4.52,32.5,11,119,7.01,4.32,74,2013,74,447.1
137,61,1354,22.2,13,1,17,17,0,62,1371,22.1,13,Martavis Bryant,ACC,JR,13,42,828,19.7,7,0,0,0,0,42,828,19.7,7,10,10,305,30.5,4,1,17,17,0,11,322,29.3,4,14,9,221,24.6,2,0,0,0,0,9,221,24.6,2,MARTAVIS,BRYANT,22,211,4.42,39,16,124,7.18,4.15,118,2014,76,300.3
42,147,2425,16.5,29,2,16,8,0,149,2441,16.4,29,Dez Bryant,Big 12,JR,3,17,323,19,4,0,0,0,0,17,323,19,4,13,87,1480,17,19,0,0,0,0,87,1480,17,19,12,43,622,14.5,6,2,16,8,0,45,638,14.2,6,DEZ,BRYANT,21,225,4.52,35.96571429,14.82580645,121.2294118,6.886183206,4.220289855,24,2010,74,643.1
181,143,1706,11.9,27,2,15,7.5,0,145,1721,11.9,27,Kenny Lawler,Pac-12,JR,12,52,658,12.7,13,2,15,7.5,0,54,673,12.5,13,11,54,701,13,9,0,0,0,0,54,701,13,9,11,37,347,9.4,5,0,0,0,0,37,347,9.4,5,KENNY,LAWLER,21,203,4.64,31,14.82580645,111,7.13,4.2,243,2016,74,0
41,81,1496,18.5,18,1,14,14,0,82,1510,18.4,18,Riley Cooper,SEC,SR,14,51,961,18.8,9,1,14,14,0,52,975,18.8,9,14,18,261,14.5,3,0,0,0,0,18,261,14.5,3,10,8,182,22.8,3,0,0,0,0,8,182,22.8,3,RILEY,COOPER,22,222,4.53,33,14.82580645,114,6.886183206,4.220289855,159,2010,75,143.9
